"site_ID","LAT","LONG","ELEV","IGBP","Climate_class","MAP","NEE","NEE_day","NEE_night","MATA","SSTA","IATA","DRTA","warm_rate","warm_ratep","EVI","NDVI","LAI","GPP","SOC","TAS_tot","TAS_totp","TAS","TASp","Tmin1","Tmin2","Tmin3","Tmin4","Tmin5","Tmin6","Tmin7","Tmin8","Tmin9","Tmin10","Tmin11","Tmin12","TS_TA","TSmin_c","TSmin_c_gs","NEE_night_mod_p","NEE_night_mod_f","NEE_night_mod_fa"
"US-Uaf",64.8663,-147.8555,155,"ENF","Dwc",263,-82.4098785848934,-226.442533672999,144.032655088106,-2.98242513312722,15.1682248231281,0.764873017055125,11.8988759496096,-0.0472264460774142,0.371064739016024,0.138765740865376,0.305327436168788,0.670178301866125,0.629977960955799,92,-0.018487302,0.344072828,-0.003888349,0.856007934,2.97142872810364,1.11318678855896,3.57765588760376,2.07347993850708,1.63875453472137,1.79531152248383,2.07875471115112,2.2603663444519,1.97010991573334,1.00820516347885,3.16937646865845,2.38688640594482,0,0,0,0,0,0
"CA-Ca3",49.5346,-124.9004,171,"ENF","Cfb",1676,-455.379272064802,-958.64314143784,503.263869373037,12.3304552756665,6.67563836786394,0.93605259403359,7.00047781096128,0.110074860107799,0.0106460272603033,0.483764765512812,0.85744878269744,2.77160019655826,1.44717717497676,128.279004970315,-0.029574834,0.003970784,-0.004701671,0.588521897,1.15413920879364,2.22556777000427,1.97736265659332,2.09201459884644,1.97860813140869,1.93128225803375,1.90805876255035,2.17450561523437,1.90673990249634,1.85230770111084,2.1779486656189,1.86637361049652,0,0,0,0,0,0
"CA-Cbo",44.3167,-79.9333,120,"DBF","Dfb",876.34,-300.199848448426,-800.529843316956,500.32999486853,7.35925840562685,10.0567792588981,0.718274965343145,9.29275605685464,-0.0130511814354397,0.652754701327582,0.306037317543821,0.526104282298632,2.21825544270992,1.26107559415306,67.8214263916016,0.00665918,0.654554449,0.044179369,0.005579359,3.94783878326416,3.618608045578,3.15824165344238,2.26725273132324,1.88600721359253,1.84974348545074,2.31919412612915,2.61692314147949,2.19142851829529,2.23648357391357,2.27999997138977,3.19575080871582,0,0,0,0,0,0
"US-Ha1",42.5378,-72.1715,340,"DBF","Dfb",1071,-244.266941455332,-726.418409183445,482.151467728113,8.32220900826177,9.81751761960352,0.870550745716291,8.14704732107939,0.0571375311003442,0.000575453382687706,0.403562789555175,0.704857136150235,2.48065787418768,1.30998248936802,76,0.027781794,0.025661553,0.05791525,2.36e-06,2.85882792472839,2.58336997032166,2.52893776893616,1.92051284313202,1.79120872020721,1.80989022254944,2.04139189720154,2.31369962692261,1.79721610546112,1.43992671966553,2.12739930152893,2.3806592464447,0,0,0,0,0,0
"US-Ha2",42.5393,-72.1779,360,"ENF","Dfb",1071,-466.607232945502,-773.273021999474,306.665789053973,8.32043241266792,9.95033172808188,0.503583083891284,8.1801403643712,0.0474844017279113,0.0194231380642968,0.403562789555175,0.704857136150235,2.55671206501928,1.31751084286925,110.267678767598,0.028963413,0.098593204,0.049905068,0.006115164,2.85882792472839,2.58336997032166,2.52893776893616,1.92051284313202,1.79120872020721,1.80989022254944,2.04139189720154,2.31369962692261,1.79721610546112,1.43992671966553,2.12739930152893,2.3806592464447,0,0,0,0,0,0
"US-Var",38.4133,-120.9508,129,"GRA","Csa",559,1.64906657902231,-263.838225322312,265.487291901334,16.0559375266963,6.71603565406507,0.620708747030054,14.5005042461328,0.0529599659863525,0.0232152789405197,0.272531467822636,0.47574838228951,1.07455556791319,0.980143759988571,42,-0.114785326,8.45e-06,0.010058718,0.526090982,1.11772894859314,1.56908414363861,0.887252700328827,0.606666827201843,0.828278338909149,0.856629860401154,1.25934128761292,1.60300419330597,1.6567033290863,1.89318675994873,1.30761916637421,0.798974406719208,0,0,0,0,0,0
"US-Ton",38.4309,-120.966,177,"WSA","Csa",559,-84.6129620112258,-507.36652990114,422.753567889913,16.5282453976011,6.73374212043556,0.613127176763326,11.7137604111652,0.0624550077100981,0.015110757019099,0.242400506411767,0.460178900708436,1.03399091637775,0.993069105378879,36,-0.020384811,0.049517005,0.012638487,0.121470628,1.11575093269348,1.60798528194427,0.906520128250122,0.598901009559631,0.87025636434555,0.87252744436264,1.26776578426361,1.61472582817078,1.69369962215424,1.86439566612244,1.31941397190094,0.797948741912842,0,0,0,0,0,0
"US-Los",46.0827,-89.9792,480,"WET","Dfb",828,-117.433639043415,-384.33487064991,266.901231606495,5.36522281925666,11.3020797468289,1.0157027431399,11.1512904845288,0.0417188973253086,0.208034506741468,0.286608488108726,0.508468292594242,1.77880646882053,1.22605060174205,122.700215103146,0.0217947,0.03215439,0.027860953,0.01182646,2.40117206573486,4.54102535247803,3.03780212402344,2.0057142496109,2.15509171485901,1.79560418128967,2.26989006996155,2.84395594596863,2.02139201164246,2.44139189720154,1.70468862056732,2.88432230949402,0,0,0,0,0,0
"US-Wkg",31.7365,-109.9419,1531,"GRA","Bsk",407,-35.4361337700021,-110.98694255209,75.5508087820874,17.511085831915,7.05644724256866,0.545548007366159,10.3176792355922,0.0433206161287641,0.0232567432690844,0.130699385324435,0.217351349119165,0.292958322588121,0.309915430274057,65.1997345512359,-0.073551037,0.00019263,0.04193735,0.028319919,0.413772851228714,0.705274748802185,0.0932600274682045,0.203003692626953,0.927545845508575,0.642343640327454,1.00293035507202,1.21677665710449,1.39296677112579,1.6970695734024,0.821684944629669,0.616336977481842,0,0,0,0,0,0
"US-SRM",31.8214,-110.8661,1120,"WSA","Bsk",380,2.03561792041462,-122.985637885282,125.021255805696,19.2913015739938,7.3281085994924,0.577868190401718,12.3191787308821,0.0582794120627016,0.00271572249531103,0.156863848719954,0.264012355237655,0.386180139526337,0.364387015876334,68.5313912932019,-0.136182406,8.65e-11,-0.026523236,0.116414877,0.647472536563873,0.923150157928467,0.264981752634048,0.449450677633286,1.08256416320801,0.926373827457428,1.24747233390808,1.54952359199524,1.7206591129303,1.99428594112396,1.02615391016006,0.827765536308289,0,0,0,0,0,0
"US-CMW",31.6637,-110.1777,1199,"DBF","Bsh",288,-369.464200716224,-670.080599991403,300.61639927518,17.0168684470823,7.43436510752022,0.398825587697862,18.122716661306,0.0345299107036784,0.0168003042097724,0.165785472859125,0.312382748061759,0.524831264939185,0.452409511124914,12,-0.110202501,1.67e-14,-0.034111207,0.014086567,0.49516481757164,0.692161178588867,0.137729059159756,0.269304025173187,0.967765772342682,0.735824239253998,0.979340577125549,1.3032968044281,1.53025584220886,1.75875475406647,0.89032963514328,0.6983149766922,0,0,0,0,0,0
"US-Ho1",45.2041,-68.7402,60,"ENF","Dfb",1070,-299.357336404256,-763.340820623971,463.983484219715,6.61769827178531,10.3894591738177,0.611917349046751,11.8398848333476,0.038067653653065,0.00535919339752955,0.38629961278147,0.741637895710001,2.28759384411156,1.2763492036023,77.0823702411732,0.024561883,0.06830705,0.046846749,0.000120885,2.95956058502197,3.17970700263977,3.05040302276611,2.58205132484436,2.06798539161682,2.27662992477417,2.5275456905365,2.52329659461975,1.96813180446625,1.75853471755981,2.10131864547729,2.49626379013062,0,0,0,0,0,0
"US-Ho2",45.2091,-68.747,61,"ENF","Dfb",1064,-324.212943556417,-817.887001502639,493.674057946223,7.69243464477616,10.4029092117817,1.16021966967335,12.0846137054206,0.0742128569765034,0.0130654323936122,0.388248776323485,0.733546110231947,2.40223919768634,1.28013658333766,77.8201251446013,0.004974976,0.506038254,0.005559752,0.428403497,2.9701099395752,3.15304064750671,3.08029308319092,2.58776559829712,2.05963382720947,2.27509140968323,2.53706960678101,2.51684975624084,1.96842474937439,1.78468854427338,2.09750909805298,2.52285709381104,0,0,0,0,0,0
"US-GLE",41.3665,-106.2399,3197,"ENF","Dfc",1200,-37.152363456363,-298.512825917667,261.360462461305,0.306559371279824,9.34453712236106,0.790596463534332,6.95888723863901,0.0600694096151506,0.246992689208926,0.19259468702435,0.394892674484259,0.437811560046835,0.412233439218874,34,0.005762112,0.697968336,0.03433815,0.046478027,1.88014633655548,3.30681304931641,2.38879141807556,2.4797803401947,2.73765568733215,2.71194133758545,2.37684984207153,3.09780216217041,2.69289374351501,3.36131868362427,2.49120855331421,2.58527460098267,0,0,0,0,0,0
"US-Me2",44.4526,-121.5589,1253,"ENF","Csb",523,-346.514256965136,-807.457463189287,460.943206224151,8.08920572233032,7.944652949175,0.896802521542189,7.77378526525542,0.0423645500437839,0.396330354647347,0.307782037271677,0.613216335402696,1.92881377807634,1.22255615035829,61.1751452800194,-0.001709185,0.901471448,0.002530307,0.849463358,1.33347988128662,1.9653480052948,1.66300373077393,1.31267397403717,0.944395565986633,1.31457877159119,1.74732608795166,2.19194145202637,1.9167765378952,1.6544322013855,2.1380952835083,1.68608062267303,0,0,0,0,0,0
"US-NR1",40.0329,-105.5464,3050,"ENF","Dfc",800,-195.897704722897,-441.824568366568,245.926863643671,2.43212310956397,8.79207169660132,0.546592284659531,7.4157547916116,0.0293418347507852,0.0876539995121583,0.260572977824396,0.513702302610155,1.28948856696981,0.916444570729847,41,-0.035833751,0.001005675,0.028033753,0.019457747,1.7884982585907,3.00615396499634,2.38388285636902,2.32417578697205,2.5538462638855,2.57582411766052,2.19465198516846,2.78673992156982,2.54915747642517,3.15868129730225,2.47501816749573,2.54197793006897,0,0,0,0,0,0
"US-WCr",45.8059,-90.0799,520,"DBF","Dfb",787,-279.449879830527,-615.298718055585,335.848838225058,5.25320701878075,11.6162168594292,0.905934512325543,8.5221571727508,-0.0176721325200623,0.647530322115885,0.314963571918326,0.509575196835433,1.87511823846096,1.1605769742107,133.362310447064,0.019419522,0.234647722,0.044980537,0.002766255,2.35772938728333,4.25626363754272,2.99531154632568,2.00065934658051,1.9894505739212,1.64908409118652,2.19516468048096,2.7384617805481,2.06959714889526,2.38732600212097,1.80424904823303,2.91626386642456,0,0,0,0,0,0
"US-UMB",45.5598,-84.7138,234,"DBF","Dfb",803,-222.070158376689,-651.483264313517,429.413105936828,7.14666806092529,10.5814384833498,0.94486991907631,7.38299038654482,-0.00800046013654534,0.857886018135628,0.324729545576914,0.516272400014923,2.12886593098486,1.68618118277874,80.2383217725046,0.000624612,0.942427165,0.009332058,0.383545739,3.66600751876831,3.80600733757019,3.22732605934143,2.28102560043335,1.72608065605164,1.68651988506317,2.19531154632568,2.42630019187927,2.09706974029541,2.39985337257385,2.00871794223785,3.48153853416443,0,0,0,0,0,0
"US-MMS",39.3232,-86.4131,275,"DBF","Cfa",1032,-362.721084655538,-767.337495782485,404.616411126947,12.4799725167441,9.99122154421021,0.722759136978528,7.96366122221873,0.0213180507294298,0.310978684378144,0.397461544346683,0.658723739603568,2.35535341726433,1.5498247075054,35,-0.023867027,0.014001904,-0.007258884,0.343472094,2.07956027984619,2.27304034233093,1.79956037998199,0.832820570468903,1.01985354423523,1.56549465656281,2.527618932724,2.36688642501831,2.04468894004822,1.79238085746765,2.30644693374634,2.03597068786621,0,0,0,0,0,0
"US-PFa",45.9459,-90.2723,470,"MF","Dfb",823,5.43055146062493,-312.708607148692,318.139158609317,5.75627147552502,11.5264183402542,1.24042261438011,8.67869466339043,-0.0251817271389587,0.544102170222266,0.318687832903812,0.571651959815896,1.85520053387414,1.19569368035885,133.362310447064,-0.018355311,0.091456584,0.008661066,0.547349581,2.40117201805115,4.32520141601563,3.0239559173584,2.01509163379669,2.09098896980286,1.80549454689026,2.27245435714722,2.82556757926941,2.02783913612366,2.49641032218933,1.76666662693024,2.85487146377563,0,0,0,0,0,0
"US-Syv",46.242,-89.3477,540,"MF","Dfb",826,-137.448386267437,-554.997720678821,417.549334411384,4.5960791753273,11.5954027312467,0.997032232795844,8.02176506287872,0.0437420464591823,0.368304989851837,0.269013311491147,0.526037184085669,1.86648920751807,1.1863850450208,136.091491259954,-0.012237626,0.569419655,0.012555575,0.544788703,2.44549512863159,4.15032939910889,2.95531158447266,1.97245416641235,2.06820516586304,1.72146518230438,2.16102571487427,2.5744321346283,1.7479122877121,2.26681323051453,1.68783884048462,2.86717948913574,0,0,0,0,0,0
"US-Whs",31.7438,-110.0522,1370,"OSH","Bsk",320,15.9964070075305,-28.9365759127006,44.9329829202311,17.1486577242603,7.39092625755831,0.442867115889557,15.0780040053702,-0.0190172638562046,0.360180118652857,0.116940293796712,0.197097685124003,0.253273051307468,0.264389196033975,7,-0.120116669,0.027606622,0.061565833,0.164850392,0.490842497348785,0.680659306049347,0.0553847479633987,0.207252781093121,0.93450562953949,0.698461222648621,1.01648358106613,1.20300395488739,1.45641038417816,1.71794893741608,0.877142953872681,0.706446886062622,0,0,0,0,0,0
"US-ICt",68.6063,-149.3041,930,"OSH","ET",318,-2.78557041035211,-70.9323072183004,68.1467368079484,-5.46855087016162,11.9086137021756,0.850603751493354,6.80457350683604,0.0646708363066545,0.13092668997312,0.100842193763491,0.173642229577809,0.738432515753046,0.546040890951644,128,-0.032629237,0.489135359,0.003895279,0.9036386,4.07230787277222,1.4528936624527,3.26791219711304,1.66886479854584,1.47194132804871,1.99333336353302,2.13736271858215,2.32109889984131,2.10446891784668,1.31047623157501,3.45509123802185,2.99406614303589,0,0,0,0,0,0
"US-ICh",68.6068,-149.2958,940,"OSH","ET",318,9.13126007274838,-51.1951355801885,60.3263956529366,-6.72227740285918,12.7357222104726,1.18693018478249,7.38724373443969,0.0395359586460171,0.540479168434299,0.0995435118851559,0.172997456219807,0.690528112414545,0.538789719132594,128,-0.005913294,0.668823074,-0.007104441,0.607430206,4.07230787277222,1.4528936624527,3.26791219711304,1.66886479854584,1.47194132804871,1.99333336353302,2.13736271858215,2.32109889984131,2.10446891784668,1.31047623157501,3.45509123802185,2.99406614303589,0,0,0,0,0,0
"US-ICs",68.6058,-149.311,920,"WET","ET",318,82.0125714683597,-26.7417805991426,108.754352067502,-6.53046964990086,12.9340777001579,1.30793692024931,8.27389388621167,0.0894657260163079,0.342146356076211,0.100842193763491,0.173642229577809,0.763480373584811,0.581711018032912,128,0.027916905,0.254928787,0.011541103,0.67013513,4.07230787277222,1.4528936624527,3.26791219711304,1.66886479854584,1.47194132804871,1.99333336353302,2.13736271858215,2.32109889984131,2.10446891784668,1.31047623157501,3.45509123802185,2.99406614303589,0,0,0,0,0,0
"US-SRG",31.7894,-110.8277,1291,"GRA","Bsk",420,-36.8785175429861,-225.969524333358,189.091006790372,18.9902663875562,7.18886643613711,0.535970302560669,11.7968486809869,0.0465765105618003,0.0780549473104573,0.171173770915011,0.283310399193134,0.428213064752866,0.416332844745107,25,-0.093268698,7.08e-09,-0.003155288,0.713381478,0.686959743499756,0.926886439323425,0.263370046019554,0.501025694608688,1.10747239589691,0.951354992389679,1.24871783256531,1.57347948551178,1.75684969425201,1.97523813247681,1.0493040561676,0.85040295124054,0,0,0,0,0,0
"US-IB2",41.8406,-88.241,226.5,"GRA","Dfa",930.25,-205.231668550004,-634.721482735422,429.489814185417,9.05986855528352,10.913591156998,0.98865834638271,10.1388701363178,-0.104625501335597,0.112917962411534,0.310126466584292,0.486912829940522,1.23416281203187,1.09620459798158,95.8746270868286,0.01100524,0.29083039,0.024344915,0.051911339,2.37963347434998,3.42835168838501,2.56249094009399,1.53978021144867,1.41619057655334,1.53970718383789,2.32754564285278,2.42857117652893,2.0026371717453,2.04534800052643,1.76791210174561,2.35963377952576,0,0,0,0,0,0
"US-Kon",39.0824,-96.5603,417,"GRA","Cfa",867,-167.403101191744,-685.656655353222,518.253554161478,12.9724541103807,10.7884603889836,1.1133106352026,11.9674716398881,0.0443136881951921,0.572217428946922,0.291339014144935,0.464675108759893,1.12033214202857,0.895653983126464,55,-0.059086873,0.000178457,-0.015136667,0.179031888,1.55750916004181,2.86315031051636,1.88754577636719,1.77494511604309,1.97150201797485,1.95538423061371,2.60029306411743,3.23963289260864,2.71934041976929,3.22835164070129,2.13904767036438,2.17487187385559,0.860363715079078,2.01551486601505,2.10415191031839,7.7976132403618,9.33324174875256,8.24209576609326
"US-MOz",38.7441,-92.2,219.4,"DBF","Cfa",986,-351.783780508019,-764.161967685249,412.378187177229,13.6013677377156,10.36737614374,1.02098978627484,9.67622945697368,0.043052478291191,0.415629782028635,0.374392750793528,0.650998563211805,2.50168066426332,1.50145676256468,45,-0.007498319,0.667686972,0.05991933,5.15e-06,1.5259340763092,2.5776556968689,1.91399269104004,1.281098985672,1.38798546791077,1.67084209918976,2.49721646308899,2.72337021827698,2.36014666557312,2.57956042289734,2.08644685745239,1.99274723529816,0,0,0,0,0,0
"US-NC2",35.803,-76.6685,5,"ENF","Cfa",1320,-384.90875878803,-1172.15500225084,787.246243462808,16.0910711073935,7.99146930423251,0.432484858044764,10.2808308239762,0.0503665626297051,0.007244774507536,0.408015094608534,0.736809984982715,4.32742858664516,1.77079085842252,134,0.003605498,0.727384348,0.029071135,0.031834892,1.75113554000854,1.37076919078827,1.58556795120239,0.938827562332153,1.02293004989624,0.996483469009399,1.71157569885254,1.46996297836304,1.82168464660645,1.3168496131897,2.40739960670471,1.61318681240082,0,0,0,0,0,0
"US-Bar",44.0646,-71.2881,272,"DBF","Dfb",1245.77,-183.175889860034,-592.007455403479,408.831565543445,7.52986439001788,10.1449619932176,0.583123730176216,9.80362671633294,0.0356407455729726,0.128628841229037,0.387836521406084,0.65511303091792,2.26231966819736,1.27286049885849,69.1446739654002,-0.000632532,0.97092842,0.009598403,0.61582044,3.09890098571777,2.94234437942505,2.84080595970154,2.21413927078247,1.75509159564972,2.01904737949371,2.23216128349304,2.38263726234436,1.77230763435364,1.6513552904129,2.36146521568298,2.69655656814575,0,0,0,0,0,0
