site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MAT,SST,IAT,DRT,EVI,NDVI,LAI,GPP,SOC,nyear,TRS,TRS_p,SWC_use,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
US-Uaf,64.8663,-147.8555,155,ENF,Dwc,263,-43.44210835,-203.1938797,159.7517714,-3.158701326,15.18247267,0.813147273,11.98598139,0.179164665,0.394520554,0.712008287,0.56765336,92,9,-0.035127135,0.510365237,YES,2.971428728,1.113186789,3.577655888,2.073479939,1.638754535,1.795311522,2.078754711,2.260366344,1.970109916,1.008205163,3.169376469,2.386886406,0.723623327,1.570474665,1.452301742,3.172900457,3.533606645,3.357859987
CA-Ca3,49.5346,-124.9004,171,ENF,Cfb,1676,-401.9615861,-911.5711569,509.6095708,12.11220326,6.648384293,0.790508783,7.023772043,0.476286339,0.839664297,3.910329136,1.358377202,134.0891517,13,-0.243719511,0.035192316,NO,1.154139209,2.22556777,1.977362657,2.092014599,1.978608131,1.931282258,1.908058763,2.174505615,1.906739902,1.852307701,2.177948666,1.86637361,0.898900516,1.741238383,1.816708481,3.752751107,4.013713546,2.577834181
CA-Cbo,44.3167,-79.9333,120,DBF,Dfb,876.34,-317.773761,-829.9273287,512.1535677,7.399306436,9.96851082,0.711017084,9.215556747,0.306903643,0.518906739,2.195338242,1.270836305,67.82142639,13,-0.069839854,0.000533816,YES,3.947838783,3.618608046,3.158241653,2.267252731,1.886007214,1.849743485,2.319194126,2.616923141,2.191428518,2.236483574,2.279999971,3.195750809,0.775142358,2.03910706,1.75081704,6.103792535,6.595946073,5.836775025
US-Ha1,42.5378,-72.1715,340,DBF,Dfb,1071,-249.878731,-730.1211945,480.2424635,8.333618946,9.826442988,0.824807467,8.063295217,0.407885428,0.696744261,2.523674626,1.316334653,76,17,-0.133216892,0.067933564,NO,2.858827925,2.58336997,2.528937769,1.920512843,1.79120872,1.809890223,2.041391897,2.313699627,1.797216105,1.43992672,2.127399302,2.380659246,0.691535523,1.474874713,1.372324246,4.634098078,4.882306703,4.066574595
US-Ha2,42.5393,-72.1779,360,ENF,Dfb,1071,-451.4456613,-789.6537293,338.208068,8.380819942,9.992757385,0.454056189,8.221450739,0.407885428,0.696744261,2.580073167,1.319673153,114.5196877,14,-0.035192583,0.450574642,NO,2.858827925,2.58336997,2.528937769,1.920512843,1.79120872,1.809890223,2.041391897,2.313699627,1.797216105,1.43992672,2.127399302,2.380659246,0.599653138,1.278912246,1.126070058,3.364721466,3.753120854,3.607295806
US-Var,38.4133,-120.9508,129,GRA,Csa,559,-2.382595006,-272.8074046,270.4248096,16.06884679,6.689476718,0.635297252,14.50298739,0.275641348,0.479888525,1.064990867,0.945197162,42,19,-0.003581033,0.92476708,YES,1.117728949,1.569084144,0.8872527,0.606666827,0.828278339,0.85662986,1.259341288,1.603004193,1.656703329,1.89318676,1.307619166,0.798974407,0.989188394,1.185745895,0.886280223,3.644734526,3.893992881,3.881653723
US-Ton,38.4309,-120.966,177,WSA,Csa,559,-87.78523895,-518.0675461,430.2823071,16.5034199,6.711133234,0.635855937,11.68929128,0.244297268,0.462846084,1.022669113,0.965097332,36,16,0.014446721,0.71680776,YES,1.115750933,1.607985282,0.906520128,0.59890101,0.870256364,0.872527444,1.267765784,1.614725828,1.693699622,1.864395666,1.319413972,0.797948742,0.710055755,0.859752714,0.754420969,3.063618411,3.254059792,3.289719467
US-Los,46.0827,-89.9792,480,WET,Dfb,828,-97.09165032,-364.569071,267.4774207,5.136668083,11.57599535,0.866939282,11.27276168,0.289120765,0.503046447,1.670840976,1.235168488,128.0277475,14,-0.005963527,0.889861894,NO,2.401172066,4.541025352,3.037802124,2.00571425,2.155091715,1.795604181,2.26989007,2.843955946,2.021392012,2.441391897,1.704688621,2.884322309,0.898671639,2.254321591,2.08517847,3.485919552,4.338204171,4.284592545
US-Wkg,31.7365,-109.9419,1531,GRA,Bsk,407,-34.94999402,-113.5659558,78.61596176,17.46696084,7.024189303,0.548858371,10.31235518,0.130761566,0.216930055,0.295155393,0.308057877,65.55297065,17,0.038144086,0.54352076,YES,0.413772851,0.705274749,0.093260027,0.203003693,0.927545846,0.64234364,1.002930355,1.216776657,1.392966771,1.697069573,0.821684945,0.616336977,1.159296693,0.940282949,1.489829191,1.027818634,1.105007798,1.169621935
US-SRM,31.8214,-110.8661,1120,WSA,Bsk,380,-2.048663385,-128.0577189,126.0090555,19.1929747,7.268810499,0.527757959,12.23006917,0.15647541,0.262902186,0.387477148,0.359231676,69.17284495,17,-0.109916588,0.001184557,YES,0.647472537,0.923150158,0.264981753,0.449450678,1.082564163,0.926373827,1.247472334,1.549523592,1.720659113,1.994285941,1.02615391,0.827765536,1.04704181,1.10461633,1.72194637,1.510880284,1.607675831,1.330452464
