"siteID","year","RMSE_window","Rsquared_window","RMSE_base","Rsquared_base","RMSE_water","Rsquared_water","RMSE_gpp","Rsquared_gpp","RMSE_water_gpp","Rsquared_water_gpp","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"AU-Tum",2005,4.88577432319424,0.133891629991887,4.9400449427093,0.110275260823709,4.87104066734249,0.13727712906064,4.92716045009907,0.114776900734323,4.82030005081338,0.158938865820648,4.81336591979865,0.163602749742102,4.81426669045951,0.164177188309653,4.84207374789824,0.151236431062693,4.85050926258252,0.147540004444971,4.87730759931542,0.135262434963162,4.87182831958565,0.138609773548539,4.87563899954601,0.136454453741251,4.88001651783762,0.134429994555837,4.88057132510763,0.134556135101344
"AU-Tum",2009,4.1610554975339,0.239982912455863,4.10194540216111,0.261970170639279,4.08331332343151,0.269008230627566,4.07635898786717,0.268154901318676,4.06579319749022,0.272751949371251,4.07417226688304,0.268877253641915,4.07532110510397,0.269067531263935,4.09269506063532,0.264475116773599,4.09659405341335,0.262859158339392,4.05849861818157,0.276147220938647,4.08541774020532,0.267142438429813,4.0893016354192,0.265747523726424,4.09576884000359,0.263903264298703,4.09766306107922,0.262994486816262
"BE-Vie",2014,2.32708619767869,0.254619298944673,2.32389754827348,0.262583076292762,2.3243809989862,0.262537000399809,2.32697721044459,0.259300275864577,2.3264316407803,0.259656092618254,2.33128519636016,0.25639899440866,2.33138033970082,0.256287511467972,2.32138272215073,0.262644883384137,2.31944719471513,0.264234847897338,2.3213564343324,0.263694151970034,2.32787873716026,0.259338903113075,2.32813863347251,0.259168018606676,2.32596254848356,0.260693907203912,2.32585832368537,0.260958317622701
"BE-Vie",2015,2.62691503709214,0.166495861770989,2.63278173045263,0.162290106966215,2.61384331707032,0.17364263309457,2.63680288928224,0.159915527243821,2.61721152854085,0.171478287856326,2.61513895763518,0.172603965870976,2.61486703470859,0.17277639609846,2.61289749288217,0.17402187673977,2.60554987636845,0.178569200356013,2.6169731841545,0.171563486014525,2.61645157840596,0.171865792376957,2.61684101808037,0.171623372942047,2.61569475766931,0.172301227233805,2.61127500976068,0.174993227484224
"CH-Lae",2019,4.5263926063916,0.157356199292973,4.74663949351321,0.0673001468680326,4.74962818506894,0.0655809618883754,4.75746318249948,0.0629476354529176,4.7606613585325,0.0610158363709299,4.75838990629144,0.0621057804000217,4.75916886920447,0.061775913392881,4.76012112195466,0.0615103908342952,4.7597071618322,0.0614364941319499,4.72098902103606,0.0762937036150903,4.70942891692719,0.0807445109343555,4.73342349059638,0.0714077664548136,4.72532509426556,0.0747137186986625,4.72896111865962,0.0733719377339586
"CH-Lae",2020,4.24375830602843,0.0699538325508835,4.38755874497041,0.00824447704301686,4.33750461084375,0.0342673337822807,4.38878583775312,0.00686645798622572,4.34633950369598,0.0256619316516785,4.33877515517996,0.0296091336166051,4.34075418957612,0.028429445413635,4.33734143764944,0.0288326806568377,4.32740074134878,0.0324400481475499,4.33450364310652,0.0295673038217327,4.32459517514753,0.0344386532388673,4.32767501282147,0.0332323437123382,4.33869550199625,0.0285808328049904,4.34303462540721,0.0261564066436252
"CZ-BK1",2018,2.90894110993482,0.326600079660287,3.31476808118417,0.138791733740976,2.94512749071377,0.314864072545474,3.31983115828893,0.135886505388423,2.94804040731656,0.312932352648348,2.94748618576113,0.31318649053371,2.94830575207033,0.313097307169723,2.94257376543022,0.31449559151731,2.94193057139649,0.314896610387995,2.94828040887859,0.312470899738522,2.94778756831873,0.312442701247834,2.94821924896913,0.312159449436883,2.9315138454118,0.317255551038384,2.93431385437744,0.316494280650023
"CZ-BK1",2010,2.35482707964558,0.125862058613096,2.43370854218253,0.071813818111527,2.42752904131301,0.0764164717231644,2.43278012021785,0.0716785515390597,2.42630955820648,0.0767392052795291,2.42868756283409,0.0751086114128766,2.43035067759154,0.0738006570163936,2.43063514158213,0.0732719736811102,2.43027195686976,0.0729881780818982,2.41142855957023,0.0868694990035259,2.41483998244231,0.0842163383900492,2.4182162729774,0.0818508082454401,2.41359430064063,0.0844085569873241,2.40731409945879,0.0882929451869681
"DE-Hai",2008,1.58638321620084,0.338374609840749,1.88441123576728,0.0549086872742203,1.71232455895632,0.292011720225625,1.88323294178637,0.0634520660653527,1.71522580589307,0.291985230461521,1.71346332106103,0.296072555250016,1.71325641186104,0.296806466888688,1.71456107471213,0.294169753375601,1.71560829536298,0.292366942366792,1.71520743517079,0.292410555092831,1.71400062117989,0.295648239754404,1.71583545845842,0.293528212458518,1.71636546675542,0.289156480255315,1.71652423568885,0.289832204694525
"DE-Hai",2001,1.43016484867233,0.272750322447518,1.63477179781258,0.0610869332043666,1.61892876785302,0.0703892795136791,1.58643797626067,0.140888770124207,1.55120631831667,0.169304454941749,1.54253314624749,0.182855001994295,1.55874528767444,0.164608000518266,1.58348290488818,0.132182562540666,1.58026707500998,0.141069192353393,1.49968580206846,0.222597714801412,1.49611069699812,0.230824812331619,1.51122338514043,0.217844679202101,1.55156938390795,0.175037720948452,1.55369136932591,0.179132531708022
"DE-Tha",2019,1.55683251036376,0.31280646571566,1.62131089399639,0.257637826571572,1.5766978361844,0.296795806256114,1.60528366845604,0.271289942664495,1.57459762895954,0.298468646475874,1.57574744875366,0.297253376424193,1.57560267665649,0.297008336276822,1.57044828385296,0.300708171968324,1.56986760322075,0.30130586213109,1.57783778875739,0.295708198232965,1.57742417130947,0.29595645035939,1.57746607249637,0.295886977016755,1.57534502574114,0.297152995621292,1.57430637805087,0.297803118221515
"DE-Tha",1999,1.49650249498265,0.447827803377802,1.74358980708321,0.249862557800507,1.73708988239312,0.255384255255445,1.68053031693755,0.302547590122977,1.66473669536597,0.315514673464761,1.62581313554884,0.346742474122828,1.58939694029579,0.37598096762564,1.59201192035828,0.374425394197682,1.56404544012,0.396651771252866,1.61485918029133,0.355579358781675,1.59502704456751,0.371202707164947,1.56654045901327,0.393443953238705,1.54482858538808,0.410397353848947,1.54203544446515,0.412620507838735
"DK-Sor",2010,2.41790248758923,0.334749560407799,2.83758811450023,0.114503307454,2.83929633856265,0.11364488402541,2.65976660616375,0.20082742550766,2.65847330383932,0.20117089586241,2.60017806981263,0.233860197414317,2.56075313908037,0.256460115953034,2.6174694245747,0.22597099605383,2.61548308680203,0.22698917503809,2.51615077701174,0.277841966726827,2.50105140355924,0.286754730691455,2.48450178327539,0.295571052326532,2.56130527053562,0.254447851527122,2.57937496383719,0.245523093463688
