"siteID","year","RMSE_window","Rsquared_window","RMSE_base","Rsquared_base","RMSE_water","Rsquared_water","RMSE_gpp","Rsquared_gpp","RMSE_water_gpp","Rsquared_water_gpp","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"AU-Tum",2007,4.70943776175603,0.13250561604415,4.73597642729653,0.1220839880739,4.73067417023975,0.123548585905737,4.69665996897798,0.136465607241662,4.66945554351346,0.145997463698323,4.68982590642047,0.138596449497854,4.7087600426826,0.131530586432316,4.70260010372306,0.133968554352406,4.68729122693618,0.139641971223958,4.71231392897137,0.130364649766769,4.71040290149556,0.13114222827893,4.71643937923139,0.128735292823465,4.57417005188651,0.180480915344713,4.65503813242505,0.151163503564557,4.67541542784789,0.143686280008142,4.68807399039891,0.139024233232501,4.68384957650541,0.140514649502119,4.70936955386118,0.131145985203709,4.71418700221511,0.129372595405902,4.7287867871156,0.124002042010323
"AU-Tum",2010,4.40570052232207,0.138661030516876,4.27736785752903,0.189589031814131,4.27996433533903,0.189066523193706,4.24876650381639,0.200594816652983,4.24998840565854,0.202059740031633,4.2756824512062,0.191987679236355,4.27830466606138,0.191023865463239,4.26669458310232,0.195509338755247,4.2660718725491,0.195990566519372,4.26927305260068,0.194809976896001,4.27445796011462,0.19297561190213,4.27821968154687,0.191293449805835,4.27752737643598,0.190937222180668,4.28503500720964,0.188160501531,4.28843971595506,0.186810023525285,4.28093704402911,0.189901535142189,4.278757296197,0.190676914885601,4.28128057719938,0.189671813309188,4.28660169264687,0.187654350588637,4.29355862222274,0.184950166192287
"BE-Vie",2022,4.49409311388466,0.117720210825508,4.58736965755608,0.0779810847622268,4.53195602728655,0.100130898549899,4.59107432506968,0.076546822482085,4.53740352470533,0.0979062746897836,4.53635062750113,0.0983449756648982,4.53671821367263,0.0981767427239277,4.53570204211883,0.0985867036844798,4.53627737189836,0.098358515124681,4.53570139891089,0.0985920252306054,4.53644051567921,0.0982840265393758,4.53750897694427,0.0978426139842006,4.52974321126196,0.101026130824617,4.53183446546192,0.100163321321821,4.53448724803338,0.0991085545010733,4.53609981539034,0.0984357461681635,4.53694157956538,0.0980940274454091,4.53778251439533,0.0978070501828726,4.53835234451882,0.0975690491810201,4.53817599708098,0.0976533028193523
"BE-Vie",2016,2.45784014169163,0.313615267094971,2.68911427096754,0.180401248724808,2.60913673983329,0.227051645681421,2.66189977444576,0.196523607407047,2.60195963291596,0.231373765712177,2.57774161811449,0.245797176615812,2.55463169020744,0.259070149548573,2.5428536515417,0.266245508182045,2.55150961531219,0.261342661035139,2.53956326505977,0.268413174756936,2.5292918864913,0.274196852301982,2.5321645875597,0.272163580386926,2.58861803129854,0.240050559127551,2.57351483151809,0.249168737825534,2.55420627387184,0.260360329758817,2.54623478169426,0.265100740851735,2.54147054188562,0.267948096659624,2.53442985681062,0.272123077042744,2.53715131657268,0.27051093260087,2.56544462286406,0.253536200411264
"CH-Lae",2014,4.61205463778235,0.0298658343596183,4.64481499843917,0.0199622487455726,4.65110686765679,0.015705703942699,4.65402147409218,0.012859863046248,4.65977184401854,0.010299354732349,4.66097790530574,0.00974480685628154,4.66072274429219,0.00997412229771258,4.66109623625164,0.00987965522650204,4.65957370656355,0.0106686150170088,4.66001867273589,0.0103617043027998,4.66121605691577,0.00973685086840208,4.66160994630106,0.00959221608278322,4.65846544156681,0.0113736747534371,4.65904168384463,0.0109518832135338,4.65921771591553,0.0109401549532306,4.65951449154643,0.0108056388959463,4.66044003660196,0.0103018972223113,4.65966861749777,0.0106578889557352,4.66024174551981,0.0104416452576992,4.66119825565809,0.00981926924030179
"CH-Lae",2019,4.52863526122531,0.156275202903564,4.74664417243516,0.0672547502770548,4.74949359879383,0.0656676646288251,4.75851762357297,0.0626813598250314,4.76078574825582,0.060964334702366,4.7577800290484,0.0623887244937222,4.75877802921921,0.0619769171253642,4.75957885733601,0.0615535434710832,4.76004629481145,0.0616035853470605,4.76000132672122,0.0614534938497059,4.76000325362713,0.0613593906277357,4.75911823203447,0.0617206061760477,4.72134609393228,0.0761146646265317,4.70910111617147,0.0808626134153869,4.73389542160237,0.071215017602093,4.73056963203214,0.0725827456277464,4.72511460221709,0.07476424991227,4.72786793442215,0.0736320807814883,4.7293374273769,0.0732551818840538,4.73108562266795,0.0725523209021771
"CZ-BK1",2022,2.90466811177941,0.450513846011323,3.25837455055348,0.310099499823884,3.13123670975904,0.360865816731785,3.26238924324055,0.308209446490122,3.13393417918458,0.359738619633894,3.13371087520016,0.359821576853299,3.13339802375169,0.359958282584605,3.13035464962974,0.361197139988749,3.1233692787315,0.364117198404915,3.12861168284671,0.361955418247771,3.12840616576391,0.362032777803055,3.13191808730536,0.360586967531835,3.04657487822655,0.395093918686644,3.03160237523291,0.400918006162862,3.02801381708864,0.402310529270774,3.02222115713562,0.404617865708294,3.02000104505985,0.405482120084483,3.0290337618649,0.401951503383954,3.0310856933946,0.401243631368108,3.03785880662432,0.399214381553078
"DE-Hai",2008,1.58659065469824,0.338243381661292,1.88455746418507,0.0547954737467141,1.71227791309873,0.291587860670866,1.88290411130922,0.0636226928705248,1.71475153635704,0.291130792737109,1.71346413349449,0.29569310763189,1.71332949194667,0.296831454786918,1.71417702874509,0.295017418994226,1.71502416193441,0.293617427950016,1.71447766415356,0.291937379209442,1.71539558976019,0.291443653157712,1.71626910052563,0.291067668528225,1.7152915101094,0.291821724927302,1.71452074135597,0.296177490509069,1.71557891356513,0.293356478739818,1.7158322179282,0.291131971881768,1.71651305962417,0.288855170724836,1.71694095591332,0.289526146578003,1.71630549878419,0.289209725643894,1.71616298715515,0.289328335933782
"DE-Hai",2009,1.60949002595152,0.233536306857326,1.78330694156956,0.0477811045322324,1.70480352001904,0.130878902276162,1.77238762403554,0.0592893244226875,1.70406185801364,0.130870172050144,1.704251797594,0.130721682733685,1.70002785810959,0.135779181705636,1.69966997901508,0.136430069839047,1.70041594646135,0.13565207696585,1.70138413123874,0.13497952644487,1.70100336576983,0.135316135549855,1.70065173785398,0.135570091279979,1.70718803926393,0.127414072831893,1.70755435851192,0.127226666626498,1.70824756683759,0.12673118030863,1.70818937163257,0.126804452541292,1.70844201692657,0.126474629854225,1.70855899242882,0.126387655831114,1.70818668150075,0.126694142902466,1.70874392957653,0.12603484509979
"DE-Tha",2002,1.76739984902029,0.416106209761714,1.88530699090997,0.336867057937495,1.88486208427878,0.337390995815434,1.87511355706161,0.343246648957486,1.87869996455875,0.341034393685418,1.87741195736398,0.341370130272012,1.87966927956264,0.339797612422162,1.88323628986273,0.337522249000466,1.87970629170419,0.33969552577842,1.88206507139439,0.338081261972505,1.88245959399242,0.33773218217015,1.88678108343778,0.334916506823931,1.81991372315479,0.380542064274685,1.82146523488207,0.379266524223082,1.82662433995826,0.375707085174056,1.83137073641772,0.372496398222364,1.82342616366297,0.377940651496204,1.82871517940436,0.374431861696009,1.83328274985117,0.371504371372171,1.85561357586503,0.356081477357303
"DE-Tha",2012,1.61262814176068,0.353096781372084,1.7495616427218,0.238322096677011,1.65215142068492,0.32106994366823,1.67766846686671,0.299365427027409,1.6272325430241,0.341631480424388,1.63589788185091,0.334930042316974,1.62862387487071,0.341308273165936,1.62149007385456,0.347695778311323,1.62650232553497,0.34373724400322,1.6304089108804,0.340400940677794,1.63173186662539,0.339511397308205,1.631190997043,0.340330878025847,1.58776791253083,0.372704178550552,1.58471635874401,0.37515391844837,1.5868922063012,0.373407117269157,1.59032026184656,0.370702698008673,1.60250216096864,0.360910607511947,1.61636951516394,0.34975085164134,1.6235579000828,0.343936887755228,1.6370585891401,0.332929892236509
"DK-Sor",2020,2.58712245082089,0.143335965170785,2.78224158940423,0.0409210180634711,2.74566976155785,0.0546709607294603,2.78864072548595,0.0232549431072256,2.75174948507518,0.0503827632440734,2.74828692904841,0.0526847988704369,2.75626115039141,0.0479336606514346,2.75383905800506,0.0495125529650665,2.74936610766913,0.0522126372970749,2.75160540386833,0.0515524421816807,2.75247084684097,0.0507387575037231,2.74874956786681,0.0535961378427576,2.72018084500499,0.0704334865693595,2.72063628080315,0.0706680957282093,2.73501586719904,0.0617108634130825,2.73771263121248,0.0597340594370581,2.7378566549284,0.0594603663780944,2.73923697272522,0.0586458100109416,2.74051866990112,0.0579160893946245,2.7319100034623,0.0639231245659747
"DK-Sor",2003,2.09466010900285,0.392217058106083,2.68220072445594,0.01722866022547,2.18443760888486,0.339687695312188,2.47868882763712,0.149262574845246,2.17396259110208,0.344766036697357,2.1584759505256,0.353672086411402,2.15805825387251,0.353912588112696,2.15726717582667,0.354373885945148,2.16134928479649,0.351992310738092,2.1557749490216,0.355374526629794,2.14859685747105,0.35963571353046,2.13183569440544,0.369744514780867,2.18311043911301,0.34032216981752,2.18483243927286,0.339238870739292,2.18557347287026,0.338856144505294,2.18646603907272,0.338249468342436,2.18664647294472,0.338110227740557,2.18605649155397,0.338412223069707,2.18291620466972,0.340222152402054,2.162406067347,0.353118145873524
"FI-Hyy",2005,1.3559427852986,0.503406330029471,1.39174877719029,0.491656100391618,1.39345508273915,0.489925469502161,1.3904983536925,0.493444953840736,1.39242281274593,0.492230553840959,1.39617788503299,0.48831690718684,1.39671811287749,0.487950960176081,1.39379742668447,0.491522912525099,1.39274234284627,0.492042836395061,1.39720581477538,0.487447478573893,1.39643259254463,0.488032028916918,1.39698452259691,0.487409543909193,1.39482939998883,0.489474279880873,1.39547258201803,0.488567323836295,1.3951010646427,0.489013297982025,1.393642751782,0.490879599100873,1.39353774489705,0.490759561185461,1.39464342824594,0.489823029182017,1.39588911690518,0.488891678628641,1.39696504778306,0.487088878396037
"FI-Hyy",2019,1.30385307482694,0.458969494479786,1.26068238493358,0.494291268601822,1.23991998786645,0.510606416659303,1.26312909304851,0.492378130572413,1.24302439508694,0.50814955981015,1.24251660448546,0.508555895777483,1.24259920280596,0.508511618214978,1.24208116705264,0.508891324759963,1.24156521070757,0.509366133471699,1.24194724426752,0.509040049091916,1.24231129338182,0.508743871906985,1.24247472047884,0.508611689667053,1.24321439091554,0.507975413607929,1.24314150516532,0.508080995469783,1.24302130935934,0.508095838351988,1.24238135330915,0.50865231674107,1.24169086525416,0.509206101315788,1.24207712490192,0.509009167915533,1.24235206815557,0.508660365356702,1.2423898725507,0.508669446574669
"FI-Sod",2009,2.01868421615723,0.204700817737983,2.01595507035986,0.204845462853869,2.0117629109665,0.20842173894595,2.01778178455521,0.203345339012077,2.01313625558839,0.207243004433473,2.01504590852999,0.205786632311756,2.0151693934797,0.205742397670393,2.01518161593171,0.20577374969308,2.01491490056065,0.205952937628917,2.01444065210821,0.206226476871435,2.01380194159711,0.206711872461335,2.01271447028123,0.20750826711082,1.99935209234598,0.21776217209788,2.00957680522239,0.209698332958858,2.0138573145676,0.206456198647157,2.01444611190191,0.206066155532031,2.00875398083864,0.210431287407578,2.00850724744349,0.210673075784206,2.00767741651241,0.211334029470515,2.00789353523795,0.211370844911103
"FI-Sod",2008,1.36405572319299,0.446096854536834,1.36885852664676,0.442060089108675,1.37178841808148,0.439426274511832,1.36983863397635,0.441333955983638,1.37251260567317,0.438959690243309,1.37308560401141,0.438420784485331,1.36853112357057,0.442222133426647,1.36561228313955,0.444810939856629,1.36712117689378,0.443455715613969,1.370017259874,0.441166618178707,1.37177176846992,0.439646093078236,1.36330403224629,0.446753304732116,1.36934597234195,0.441552209390817,1.37229364826519,0.439151232078087,1.36880481315139,0.44194862773294,1.3695656909899,0.441318360890206,1.36897221259899,0.44177392750299,1.37088833787984,0.440210583570136,1.37170374563679,0.439567711161729,1.37070591671384,0.440341765274437
"FR-Pue",2010,0.88670179593095,0.662440666153233,1.08507783771627,0.550829979154207,1.08343903467429,0.523505471401318,1.08500486263736,0.525204995367472,1.08283566788498,0.520663287967791,1.078388684951,0.520818041058207,1.07122814524077,0.521574450787523,1.06631620222344,0.523441354293604,1.06626169486719,0.521635060596282,1.06313590998074,0.522787883622355,1.05631268074989,0.527713061075904,1.04232558259427,0.538573794113763,1.04667180372876,0.537210433467111,1.01084880470094,0.565601923831701,0.968961214361508,0.599976834863801,0.952578610414347,0.614196589010608,0.957176744072283,0.610472879891,0.957603670146926,0.609568836836205,0.955828171614935,0.610348716241724,0.971211032725114,0.598295341608778
