"site_ID","LAT","LONG","ELEV","IGBP","Climate_class","MAP","NEE","NEE_day","NEE_night","MATA","SSTA","IATA","DRTA","EVI","NDVI","LAI","GPP","SOC","TAS_tot","TAS_totp","TAS","TASp","Tmin1","Tmin2","Tmin3","Tmin4","Tmin5","Tmin6","Tmin7","Tmin8","Tmin9","Tmin10","Tmin11","Tmin12","TS_TA","TSmin_c","TSmin_c_gs","NEE_night_mod_p","NEE_night_mod_f","NEE_night_mod_fa","R2"
"US-Uaf",64.8663,-147.8555,155,"ENF","Dwc",263,-82.4098785848934,-227.616982291394,145.207103706501,-2.98242513312722,15.1682248231281,0.764873017055125,11.8988759496096,0.138765740865376,0.305327436168788,0.670178301866125,0.629977960955799,92,-0.00612861809474113,0.730422297493718,0.00162759517485909,0.934604827349802,2.9714282989502,1.11318664550781,3.57765579223633,2.07347993850708,1.63875451087952,1.79531135559082,2.07875442504883,2.2603663444519,1.97010989189148,1.0082052230835,3.16937637329102,2.38688621520996,0.584971038551484,1.26955850213751,1.17146532881407,3.4490763456111,3.61217039560725,3.58632982141966,0.198422479820167
"CA-Ca3",49.5346,-124.9004,171,"ENF","Cfb",1676,-455.379272064802,-959.058466780296,503.679194715493,12.3304552756665,6.67563836786394,0.93605259403359,7.00047781096128,0.483764765512812,0.85744878269744,2.77160019655826,1.44717717497676,128.729441314436,-0.0357383165080094,0.00609423053817541,-0.0342190194228189,0.00318605859010371,1.1541392326355,2.22556777000427,1.97736258506775,2.09201474189758,1.97860794067383,1.93128204345703,1.9080587387085,2.17450580596924,1.90673990249634,1.85230779647827,2.1779486656189,1.86637370586395,0.834250356507622,1.61600613007483,1.67864355948147,3.71622002619451,3.75882632219782,3.53995800998381,0.218209352272344
"CA-Cbo",44.3167,-79.9333,120,"DBF","Dfb",876.34,-300.199848448426,-801.286378847198,501.086530398772,7.35925840562685,10.0567792588981,0.718274965343145,9.29275605685464,0.306037317543821,0.526104282298632,2.21825544270992,1.26107559415306,67.8214263916016,0.011584509534612,0.165769859699591,-0.000600380800224812,0.940344884716237,3.94783878326416,3.61860799789429,3.15824160575867,2.26725273132324,1.88600721359253,1.84974327087402,2.31919403076172,2.61692276000977,2.191428565979,2.23648357391357,2.27999997138977,3.19575080871582,0.777559161754756,2.04546471110201,1.75627575982584,6.25079706375254,6.53499525904926,6.66931539273853,0.042363028652585
"US-Ha1",42.5378,-72.1715,340,"DBF","Dfb",1071,-255.803522299046,-728.151618969721,472.348096670675,8.2974453235681,9.80788057960202,0.876678292570585,8.10571834127547,0.403562789555175,0.704857136150235,2.48065787418768,1.30998248936802,76,0.0326894544474087,0.0261893620316853,0.0426832576082622,0.00134458571470405,2.85882797241211,2.58337001800537,2.52893776893616,1.92051284313202,1.7912088394165,1.80989017486572,2.04139213562012,2.31369934082031,1.79721603393555,1.4399266242981,2.12739930152893,2.38065919876099,0.685667824315953,1.46236035225297,1.36279354240563,4.46855745555524,4.80661536481609,5.02558641930601,0.0396827292950421
"US-Ha2",42.5393,-72.1779,360,"ENF","Dfb",1071,-456.612319351924,-777.356309420832,320.743990068909,8.43907282155701,9.89675258261986,0.453299541819657,8.09572215282013,0.403562789555175,0.704857136150235,2.55671206501928,1.31751084286925,110.968812901361,-0.0169421996186461,0.284922038598946,-0.0121859995738483,0.433102038390145,2.85882797241211,2.58337001800537,2.52893776893616,1.92051284313202,1.7912088394165,1.80989017486572,2.04139213562012,2.31369934082031,1.79721603393555,1.4399266242981,2.12739930152893,2.38065919876099,0.597368044394125,1.27403870043977,1.11804794571483,3.31172182918213,3.82127708808332,3.74957496735484,0.313255849439205
"US-Var",38.4133,-120.9508,129,"GRA","Csa",559,1.64906657902231,-263.339095509817,264.988162088839,16.0559375266963,6.71603565406507,0.620708747030054,14.5005042461328,0.272531467822636,0.47574838228951,1.07455556791319,0.980143759988571,42,-0.113945971244626,1.36898005278688e-06,-0.00230366706783181,0.870773940856814,1.11772890090942,1.5690842628479,0.887252712249756,0.606666946411133,0.828278350830078,0.856629943847656,1.25934143066406,1.60300445556641,1.65670337677002,1.893186378479,1.30761919021606,0.798974466323852,0.999440772943502,1.19803551917215,0.895466079971762,4.16948282489049,4.37700463956055,3.95242717939235,0.0714340136108997
"US-Ton",38.4309,-120.966,177,"WSA","Csa",559,-84.6129620112258,-506.98591472212,422.372952710894,16.5282453976011,6.73374212043556,0.613127176763326,11.7137604111652,0.242400506411767,0.460178900708436,1.03399091637775,0.993069105378879,36,-0.0225209959260528,0.0218148219175217,0.00629722773045811,0.39733180755474,1.11575083732605,1.60798530578613,0.906520175933838,0.598901176452637,0.870256614685059,0.872527503967285,1.2677661895752,1.61472587585449,1.69369983673096,1.86439533233643,1.31941394805908,0.797948837280273,0.714756452437008,0.865444483216918,0.759415472912755,2.97806033146135,3.09437976595788,3.04190722261754,0.129885858542425
"US-Los",46.0827,-89.9792,480,"WET","Dfb",828,-117.433639043415,-385.021874940024,267.58823589661,5.36522281925666,11.3020797468289,1.0157027431399,11.1512904845288,0.286608488108726,0.508468292594242,1.77880646882053,1.22605060174205,123.228302047386,0.0225817718852772,0.051230364701126,0.0265025110791946,0.0177783223749649,2.40117206573486,4.54102554321289,3.03780212402344,2.00571429729462,2.15509166717529,1.79560413360596,2.2698902130127,2.84395618438721,2.02139186859131,2.44139194488525,1.70468864440918,2.88432235717773,0.898662655827507,2.25429909471802,2.07512926550753,4.14799210305595,4.70688895335193,4.93270375159027,0.108887274668753
"US-Wkg",31.7365,-109.9419,1531,"GRA","Bsk",407,-35.4361337700021,-111.110564125889,75.6744303558872,17.511085831915,7.05644724256866,0.545548007366159,10.3176792355922,0.130699385324435,0.217351349119165,0.292958322588121,0.309915430274057,66.5281647470214,-0.176656302200158,0.00184770150213326,-0.0182227645058247,0.501481327312192,0.41377284526825,0.705274772644043,0.0932600021362305,0.20300350189209,0.927546119689941,0.642343521118164,1.00293006896973,1.21677665710449,1.39296722412109,1.69706935882568,0.82168493270874,0.616337013244629,1.1572587161042,0.938629979796331,1.12139692598959,0.773712698271558,0.776866099344768,0.637252630383075,0.168940833540859
"US-SRM",31.8214,-110.8661,1120,"WSA","Bsk",380,2.03561792041463,-123.12621010535,125.161828025765,19.2913015739938,7.3281085994924,0.577868190401718,12.3191787308821,0.156863848719954,0.264012355237655,0.386180139526337,0.364387015876334,69.8134485028087,-0.1358079876858,9.05651559975981e-11,-0.0233181948782527,0.132647013534332,0.64747257232666,0.923150157928467,0.264981651306152,0.44945068359375,1.08256397247314,0.926374053955078,1.24747276306152,1.5495231628418,1.72065925598145,1.99428577423096,1.02615385055542,0.827765655517578,1.04679144782947,1.10435220257184,1.7215345304185,1.65347958301698,1.4984826099407,1.18608131713708,0.15293173862879
"US-CMW",31.6637,-110.1777,1199,"DBF","Bsh",288,-369.464200716224,-670.418407669486,300.954206953262,17.0168684470823,7.43436510752022,0.398825587697862,18.122716661306,0.165785472859125,0.312382748061759,0.524831264939185,0.452409511124914,12,-0.0832901379329113,9.86210710233087e-17,-0.0464930943469888,2.64610774538001e-10,0.495164799690247,0.692161130905151,0.137729072570801,0.269304275512695,0.967765808105469,0.735824584960938,0.979340362548828,1.30329704284668,1.53025550842285,1.75875473022461,0.890329551696777,0.698315000534058,0.808469166446767,0.704597173794674,1.01697990653727,2.94342192710274,3.02178988713771,2.77637171559409,0.449943396507971
"US-Ho1",45.2041,-68.7402,60,"ENF","Dfb",1070,-299.357336404256,-764.269802694207,464.912466289951,6.61769827178531,10.3894591738177,0.611917349046751,11.8398848333476,0.38629961278147,0.741637895710001,2.28759384411156,1.2763492036023,78.2454072577412,0.0207577801329238,0.15157423451309,0.0301629324738408,0.0164447573602032,2.95956058502197,3.17970733642578,3.05040302276611,2.58205132484436,2.06798534393311,2.27662982940674,2.52754611968994,2.5232967376709,1.96813163757324,1.75853476524353,2.10131864547729,2.49626379013062,0.570237484787589,1.40142653121243,1.26881515609783,4.53441956195359,4.8972677507296,5.02796451762228,0.305831774111777
"US-Ho2",45.2091,-68.747,61,"ENF","Dfb",1064,-324.212943556417,-818.803083262039,494.590139705622,7.69243464477616,10.4029092117817,1.16021966967335,12.0846137054206,0.388248776323485,0.733546110231947,2.40223919768634,1.28013658333766,78.972893426846,0.0212833811297406,0.0108725800197316,0.020642626404526,0.0061468787102333,2.9701099395752,3.15304050445557,3.08029289245605,2.58776559829712,2.05963363647461,2.27509136199951,2.53706970214844,2.51684989929199,1.96842479705811,1.78468852043152,2.09750909805298,2.52285718917847,0.693628058181476,1.70825175652382,1.53983245719108,4.86686723119097,5.09839435772261,5.26825137136991,0.346723727210928
