site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MATA,SSTA,IATA,DRTA,warm_rate,warm_ratep,EVI,NDVI,LAI,GPP,SOC,TAS_tot,TAS_totp,TAS,TASp,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
US-Uaf,64.8663,-147.8555,155,ENF,Dwc,263,-82.40987858,-226.4425337,144.0326551,-2.982425133,15.16822482,0.764873017,11.89887595,-0.047226446,0.371064739,0.138765741,0.305327436,0.670178302,0.629977961,92,-0.018487302,0.344072828,-0.003888349,0.856007934,2.971428728,1.113186789,3.577655888,2.073479939,1.638754535,1.795311522,2.078754425,2.260366344,1.970109916,1.008205163,3.169376373,2.386886406,0.584971039,1.269558552,1.16902547,3.542884687,3.688306021,3.609449086
CA-Ca3,49.5346,-124.9004,171,ENF,Cfb,1676,-455.3792721,-958.6431414,503.2638694,12.33045528,6.675638368,0.936052594,7.000477811,0.11007486,0.010646027,0.483764766,0.857448783,2.771600197,1.447177175,128.279005,-0.029574834,0.003970784,-0.004701671,0.588521897,1.154139209,2.22556777,1.977362657,2.092014599,1.978608131,1.931282258,1.908058739,2.174505615,1.906739902,1.852307701,2.177948666,1.86637361,0.687486394,1.331713214,1.383314251,2.933584609,3.347539864,3.213351321
CA-Cbo,44.3167,-79.9333,120,DBF,Dfb,876.34,-300.1998484,-800.5298433,500.3299949,7.359258406,10.05677926,0.718274965,9.292756057,-0.013051181,0.652754701,0.306037318,0.526104282,2.218255443,1.261075594,67.82142639,0.00665918,0.654554449,0.044179369,0.005579359,3.947838783,3.618608046,3.158241653,2.267252731,1.886007214,1.849743485,2.319194031,2.616923141,2.191428518,2.236483574,2.279999971,3.195750809,0.777559162,2.045464753,1.755605304,6.417601677,6.535544509,6.612399227
US-Ha1,42.5378,-72.1715,340,DBF,Dfb,1071,-244.2669415,-726.4184092,482.1514677,8.322209008,9.81751762,0.870550746,8.147047321,0.057137531,0.000575453,0.40356279,0.704857136,2.480657874,1.309982489,76,0.027781794,0.025661553,0.05791525,2.36E-06,2.858827925,2.58336997,2.528937769,1.920512843,1.79120872,1.809890223,2.041392136,2.313699627,1.797216105,1.43992672,2.127399302,2.380659246,0.687683913,1.466660191,1.366513417,4.863871424,5.261268877,5.464848631
US-Ha2,42.5393,-72.1779,360,ENF,Dfb,1071,-466.6072329,-773.273022,306.6657891,8.320432413,9.950331728,0.503583084,8.180140364,0.047484402,0.019423138,0.40356279,0.704857136,2.556712065,1.317510843,110.2676788,0.028963413,0.098593204,0.049905068,0.006115164,2.858827925,2.58336997,2.528937769,1.920512843,1.79120872,1.809890223,2.041392136,2.313699627,1.797216105,1.43992672,2.127399302,2.380659246,0.597368044,1.274038717,1.117995317,3.249721585,3.643795719,3.763716418
US-Var,38.4133,-120.9508,129,GRA,Csa,559,1.649066579,-263.8382253,265.4872919,16.05593753,6.716035654,0.620708747,14.50050425,0.052959966,0.023215279,0.272531468,0.475748382,1.074555568,0.98014376,42,-0.114785326,8.45E-06,0.010058718,0.526090982,1.117728949,1.569084144,0.8872527,0.606666827,0.828278339,0.85662986,1.259341431,1.603004193,1.656703329,1.89318676,1.30761919,0.798974407,0.999440773,1.198035495,0.895076286,4.007061328,4.175882158,3.768149409
US-Ton,38.4309,-120.966,177,WSA,Csa,559,-84.61296201,-507.3665299,422.7535679,16.5282454,6.73374212,0.613127177,11.71376041,0.062455008,0.015110757,0.242400506,0.460178901,1.033990916,0.993069105,36,-0.020384811,0.049517005,0.012638487,0.121470628,1.115750933,1.607985282,0.906520128,0.59890101,0.870256364,0.872527444,1.26776619,1.614725828,1.693699622,1.864395666,1.319413948,0.797948742,0.714756452,0.865444455,0.759180978,3.10290539,3.200760766,3.151607878
US-Los,46.0827,-89.9792,480,WET,Dfb,828,-117.433639,-384.3348706,266.9012316,5.365222819,11.30207975,1.015702743,11.15129048,0.041718897,0.208034507,0.286608488,0.508468293,1.778806469,1.226050602,122.7002151,0.0217947,0.03215439,0.027860953,0.01182646,2.401172066,4.541025352,3.037802124,2.00571425,2.155091715,1.795604181,2.269890213,2.843955946,2.021392012,2.441391897,1.704688644,2.884322309,0.898662656,2.25429907,2.07461656,4.510903378,5.158293242,5.396882129
US-Wkg,31.7365,-109.9419,1531,GRA,Bsk,407,-35.43613377,-110.9869426,75.55080878,17.51108583,7.056447243,0.545548007,10.31767924,0.043320616,0.023256743,0.130699385,0.217351349,0.292958323,0.30991543,65.19973455,-0.073551037,0.00019263,0.04193735,0.028319919,0.413772851,0.705274749,0.093260027,0.203003693,0.927545846,0.64234364,1.002930069,1.216776657,1.392966771,1.697069573,0.821684933,0.616336977,1.157262645,0.938633144,1.120646735,0.810585533,0.835906439,0.769770149
US-SRM,31.8214,-110.8661,1120,WSA,Bsk,380,2.03561792,-122.9856379,125.0212558,19.29130157,7.328108599,0.57786819,12.31917873,0.058279412,0.002715722,0.156863849,0.264012355,0.38618014,0.364387016,68.53139129,-0.136182406,8.65E-11,-0.026523236,0.116414877,0.647472537,0.923150158,0.264981753,0.449450678,1.082564163,0.926373827,1.247472763,1.549523592,1.720659113,1.994285941,1.026153851,0.827765536,1.046791448,1.104352234,1.721722885,1.572071075,1.557001307,1.23157442
