0,site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MATA,SSTA,IATA,DRTA,EVI,NDVI,LAI,GPP,SOC,TAS_tot,TAS_totp,TAS,TASp,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
57,AU-Tum,-35.6566,148.1517,1200,EBF,Cfb,1159.01,-666.4303636,-1557.725801,891.2954371,9.53248649,6.151570981,0.896021748,6.046908514,0.345878013,0.748531321,4.145199453,2.483637077,123.3451004,-0.02207937,0.129664257,-0.008283975,0.610976414,1.055677795,1.473772812,1.540732574,1.31267395,2.081684971,0.987472546,0.77670331,1.250769281,1.22300365,1.421685028,0.832381153,1.344395638,0.653008603,0.832637813,0.736838033,5.849970755,6.232072278,6.131503485
58,BE-Bra,51.3076,4.5198,16,MF,Cfb,750,-166.288564,-749.2666622,582.9780983,10.97053541,6.051532438,0.804565076,6.561212808,0.358924365,0.694204121,2.136142275,1.351740612,79.58034515,0.01723598,0.301472259,0.063891151,0.000154877,0.757289314,0.563003659,1.102710581,0.145641041,0.809962845,0.667472458,1.568571472,1.492234421,1.568058586,1.073919487,0.594871807,1.311648369,0.494744479,0.480536409,0.565401378,4.576946407,4.831420947,4.878734502
78,BE-Dor,50.311876,4.968113,250,GRA,Cfb,581.795,-97.47695411,-959.9526312,862.4756771,10.10352937,6.154928779,0.581677068,8.683038069,0.445718876,0.64723544,1.458163337,1.156422753,83.44987488,0.013769491,0.069613671,0.015402553,0.039579234,0.915604377,0.755384648,1.126007318,0.09516468,0.787765694,0.85391922,1.715458107,1.780805779,1.62857132,0.987399387,0.574285555,1.397875452,0.80947363,0.851177816,0.920332771,6.937097421,7.538857517,7.6350017
59,BE-Vie,50.3049,5.9981,493,MF,Cfb,1062,-478.5766696,-1021.335334,542.7586639,8.46045321,6.51403277,0.900086419,6.285451708,0.347086027,0.70812739,2.020672443,1.301817589,129.024826,0.001483281,0.874257725,0.030131689,0.004216308,1.164395642,0.822124565,1.286959696,0.096483564,0.848717976,0.89186821,1.793772697,1.844835091,1.855458069,1.073479652,0.641904831,1.605714297,0.583335115,0.676946512,0.723903025,4.124334344,4.477481799,4.482292083
109,BR-Ma2,-2.6091,-60.2093,130,EBF,Af,2252,-601.7608594,-1902.266888,1300.506029,25.74492134,1.592071109,0.338008698,7.129099562,0.521716502,0.839047799,5.193108112,2.625819234,84.68534438,0.04670901,0.143557889,0.078366519,0.0215021,0.920072937,1.137802124,1.111209106,1.043223572,0.845714188,0.684981918,0.739121628,0.970696259,1.316044235,1.214066315,1.08805809,1.068498611,1,1.011624082,1.009753617,8.731306379,8.510494527,8.921504904
110,BR-Sa1,-2.8567,-54.9589,88,EBF,Am,2074.79,336.7161841,-1220.876676,1557.592861,26.75353537,1.254503601,0.321042668,6.582838064,0.54180111,0.855908843,4.268514066,2.821230184,44.28781891,-0.086818447,2.26E-05,-0.055737261,0.004311954,1.36791153,1.700512695,1.762417603,1.624981689,1.302636719,1.357069397,1.48146553,1.428718185,1.849157333,2.019707108,1.932966995,1.270330429,1,1.591489601,1.587376296,10.07787616,10.37802293,9.041967962
37,CA-Ca1,49.8673,-125.3336,300,ENF,Cfb,1369,-373.7580182,-1083.818877,710.0608591,8.065500196,6.161815897,0.45007738,5.357712276,0.367616227,0.761267813,2.140919438,1.369223569,114.8103363,0.02939538,0.008107449,0.038403709,0.001805515,1.171501827,2.294432211,1.968498135,2.122710705,2.012014627,2.065494442,1.967619133,2.287838936,1.876483631,1.942710686,2.179413891,1.869597077,0.615413029,1.218431398,1.269932763,5.688852153,6.592676104,6.843433014
2,CA-Ca3,49.5346,-124.9004,171,ENF,Cfb,1676,-455.3792721,-959.0584668,503.6791947,12.33045528,6.675638368,0.936052594,7.000477811,0.483764766,0.857448783,2.771600197,1.447177175,128.279005,-0.033329204,0.041003694,-0.011864473,0.43969609,1.154139233,2.22556777,1.977362585,2.092014742,1.978607941,1.931282043,1.908058739,2.174505806,1.906739902,1.852307796,2.177948666,1.866373706,0.687486394,1.331713218,1.383331272,2.698494293,3.161449263,3.018998699
3,CA-Cbo,44.3167,-79.9333,120,DBF,Dfb,876.34,-300.1998484,-801.2863788,501.0865304,7.359258406,10.05677926,0.718274965,9.292756057,0.306037318,0.526104282,2.218255443,1.261075594,67.82142639,0.011325078,0.530018735,0.046217673,0.028442494,3.947838783,3.618607998,3.158241606,2.267252731,1.886007214,1.849743271,2.319194031,2.61692276,2.191428566,2.236483574,2.279999971,3.195750809,0.777559162,2.045464711,1.75627576,6.945700408,7.217796984,7.362795911
38,CA-Gro,48.2167,-82.1556,340,MF,Dfb,831,-113.4663209,-453.8777994,340.4114785,3.579075587,12.38930135,1.060415327,9.19250709,0.291918607,0.565476151,1.717918042,1.019259642,77.94115998,-0.021830743,0.504046009,0.016339819,0.594312035,3.340146637,3.865494919,3.210109711,2.683662939,2.208058643,2.036336803,2.288644791,2.520879364,2.059780502,2.652234364,2.642637157,4.013553619,0.70962135,1.982300008,1.613285693,3.95107763,4.571146253,4.41295604
