site_ID,gStart,gEnd,tStart,tEnd,nyear
US-Uaf,117,255,0,11.96778661,12
CA-Ca3,58,257,3.040606315,16.42888932,16
CA-Cbo,152,271,13.85689816,20.29335395,17
US-Ha1,148,272,11.9301154,16.88301985,27
US-Ha2,97,298,3.701419792,18.12954917,16
US-Var,49,135,10.7007227,20.99632,20
US-Ton,30,221,10.14824827,26.86007145,18
US-Los,153,252,12.58666424,17.19397133,16
US-Wkg,103,277,19.31401198,28.086898,21
US-SRM,208,281,25.27601406,31.10104959,19
US-CMW,136,309,13.28460386,27.84772354,19
US-Ho1,97,298,3.911897111,14.45727882,24
US-Ho2,94,303,2.852746117,15.97172854,25
US-GLE,138,276,2,13.23797454,12
US-Me2,62,312,1.074008108,21.0267362,10
US-NR1,127,284,0.187067313,10.26132506,21
US-WCr,149,259,13.04909748,18.08831525,15
US-UMB,149,272,12.80540792,18.61118524,16
US-MMS,127,280,14.38050675,21.11042265,23
US-PFa,152,245,15.48383959,20.48304145,14
US-Syv,150,248,12.28627907,17.27613846,11
US-Whs,214,286,21.39137035,31.13238686,18
US-ICt,166,224,2.576630841,6.008331005,16
US-ICh,172,223,4.307718659,7.568889699,16
US-ICs,171,222,2.896533366,5.451531284,12
US-SRG,85,265,13.12374249,26.49158151,17
US-IB2,124,242,15.16036086,24.07590769,14
US-Kon,134,235,18.46591182,26.72821459,12
US-MOz,130,272,15.50709663,23.73741648,16
US-NC2,5,362,7.112974781,24.59417672,15
US-Bar,139,269,10.39365211,17.41063806,17
CA-Oas,152,251,8.584087928,14.01359839,14
CA-TP4,105,282,6.554314867,21.08394602,20
CA-TP3,100,311,5.792980634,21.40231563,16
CA-Man,123,200,2.019142446,11.99497939,14
CA-LP1,52,250,0,15.82833067,12
CA-Ca1,32,310,3.233974957,14.10657252,12
CA-Gro,148,253,4.185875,15.7676174,9
CA-Obs,112,266,0,10.8867469,11
CA-Ojp,112,281,1.441678165,15.83760429,11
US-Jo2,65,315,10.30797161,34.71462188,10
US-MtB,60,359,0.981414263,20.22244271,12
US-LL1,66,180,9.74327921,27.89657998,12
US-BZB,127,237,1.498056885,14.9290076,12
US-BZF,156,232,8.300718317,14.78439524,12
US-KL2,145,261,20.08308323,28.11026242,13
US-Ro4,161,251,16.16490101,19.53094571,11
US-KM4,113,215,7.835365034,20.60865199,12
US-MBP,115,283,2.627998112,16.64302397,16
US-Myb,123,283,17.86301192,21.45946986,10
US-NC4,75,291,10.63376711,23.70518107,10
US-Tw1,156,292,13.91595214,17.33856101,12
US-Ced,99,271,10.46405163,22.04145419,9
US-Oho,143,281,15.07464819,22.48733981,10
US-Slt,138,279,14.9665013,23.0648487,10
US-Wrc,90,270,1.904965465,17.56267422,11
CA-Mer,120,264,3.305856785,15.36025331,21
CA-TPD,144,273,13.77485113,19.94944076,12
US-BZS,119,256,0.41805223,5.50842286,10
US-Cwt,131,231,15.19694055,19.05171428,14
US-Rls,100,242,5.854492072,25.77205324,9
US-Rws,78,195,0,26.11355093,8
BR-Ma2,1,366,24.647354,27.39528,8
BR-Sa1,1,366,25.27205,28.24839,14
