"site_ID","gStart","gEnd","tStart","tEnd","nyear"
"AU-Tum",185,380,3.08533333333333,16.3983365384615,12
"BE-Bra",114,258,9.76167234002976,16.0579780505952,18
"BE-Vie",77,274,4.45798510044643,14.7120101472701,25
"CH-Lae",122,278,10.4538092653509,17.2948407346491,18
"CZ-BK1",91,305,1.26639791666667,13.3443050595238,21
"CZ-wet",132,203,10.2741440515351,16.2568503289474,18
"DE-Gri",95,205,6.91121052631579,19.7593625,20
"DE-Hai",130,280,9.75721801215278,15.8474835069444,19
"DE-Tha",75,288,3.6995408045977,16.5590783405172,27
"DK-Sor",126,263,8.52769699074074,14.4149952752976,24
"FI-Hyy",110,243,1.52163405172414,14.9068744252874,25
"FI-Sod",124,270,0,13.8343684001897,10
"FR-Pue",19,202,7.40582235104832,22.996184319243,15
"IT-Lav",121,300,0.32811255787037,13.0574764178241,17
"IT-MBo",130,192,9.18094035087719,16.0795270833333,18
"IT-Noe",10,169,8.74079401041667,19.378692609127,11
"IT-Ren",77,303,0.33953775,13.6371860243056,19
"IT-SRo",21,246,6.32378385416667,22.5626411458333,11
"NL-Loo",120,269,6.53097078804348,16.5055188125,16
"RU-Fyo",97,190,0.283568729166667,12.515932411859,22
"ZA-Kru",335,440,26.7158521267361,30.580700400641,11
"IT-Tor",150,255,8.05832421875,13.2217815563725,14
"BE-Dor",71,270,5.49775694444444,17.16625,11
"CH-Fru",92,272,5.29773764467593,18.3124181469298,17
"CZ-RAJ",70,278,3.64228645011461,14.4588013403385,11
"CZ-Stn",126,276,9.48607828525641,17.064775400641,13
"DE-Obe",80,257,1.59889851190476,14.6187166666667,13
"DE-RuR",85,223,5.02571931089744,17.0795830357143,13
"CH-Aws",121,258,5.37924607843137,14.2915733796296,12
"ES-LJu",100,270,8.81594140625,21.9873051470588,13
"FR-FBn",22,280,7.54286528013779,20.4366359432576,14
"FR-Fon",122,288,11.8102425218621,17.0960746197622,18
"GF-Guy",1,365,25.0522619047619,25.854306969246,16
"IL-Yat",1,150,11.16124546875,23.2957604947917,16
"SE-Deg",142,246,9.47458491753472,15.5954696397569,22
"IT-SR2",40,270,9.4137384469697,22.9748241319444,10
"CH-Dav",95,270,2.65312082183073,9.37317044193448,28
"DE-Akm",137,218,10.1009294438197,14.5018488186723,13
"DE-Hte",138,236,12.0778788878738,16.2261296578741,9
"DE-Hzd",147,211,12.020581875,16.5825190277778,12
"DE-RuC",132,190,9.3488015625,17.3663290625,10
"DE-RuW",91,330,1.82151642628205,13.2879799278846,11
"DE-SfS",69,313,1.86381411458333,14.8905793087121,10
"FR-Bil",39,271,9.6843188027466,19.8661775206813,10
"IT-TrF",121,300,0.757885243055555,13.108407051282,12
"SE-Nor",100,171,2.82175946969697,13.5708589015151,11
"SE-Svb",109,224,0.451971212121212,12.6362470643939,9
"UK-AMo",146,246,9.31656854166667,13.166225546875,16
