"","site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"1","US-Uaf",2.2797640713327,0.156880805031468,2015,14,10,0.0137758549927286,0.405099837038942
"2","CA-Ca3",2.27762699597007,0.337808468296546,2013,14,14,-0.0333423737461139,0.00785086087794366
"3","CA-Cbo",4.60844591949693,0.117427791221703,2020,14,9,-0.00240858814540057,0.750518344569514
"4","US-Ha1",3.36056202291629,0.111253731467534,2001,14,9,0.0328578487464256,0.0201631018444744
"5","US-Ha2",2.2221781308079,0.377114088946946,2022,14,14,-0.0122866769160102,0.434852676081633
"6","US-Var",3.33714124537624,0.167468863805458,2002,14,6,0.00166690010797826,0.904384077828977
"7","US-Ton",2.40643983353177,0.206003898845916,2020,14,14,0.00418471491108815,0.559072819030143
"8","US-Los",3.31019852461113,0.135958804525846,2001,14,7,0.0212482083751796,0.027457982126225
"9","US-Wkg",1.09322115205933,0.291423984480249,2006,14,12,-0.0168638875808327,0.537945087920882
"10","US-SRM",1.17152470727587,0.356182457101537,2005,14,5,-0.0256852553516859,0.0698943408026591
"11","US-CMW",1.14928929424921,0.634743901445086,2021,14,12,-0.0465440018432094,2.49711885058814e-10
"12","US-Ho1",2.94329684869562,0.359565815962618,1998,14,14,0.0334410696914739,0.00532693223559832
"13","US-Ho2",2.93451067873133,0.391622647512934,2020,14,15,0.0154238921459103,0.046093605225575
"14","US-GLE",1.24052655022103,0.457857815385678,2016,14,10,0.0103995471623449,0.314313526133355
"15","US-Me2",1.35068609924713,0.729442912579429,2002,14,18,-0.0320300301918477,0.0140832690559361
"16","US-NR1",1.63433471852401,0.258306513706837,2010,14,11,-0.0144752726485533,0.100500324356845
"17","US-WCr",3.10454098861455,0.110808010840868,2015,14,8,0.0210483030700028,0.150054758945301
"18","US-UMB",2.93646161754084,0.155385800105843,2006,14,9,0.00122673726806369,0.857719710546321
"19","US-MMS",2.14565522283311,0.210830445470225,2015,14,11,-0.0185168411551968,0.0108940022799085
"20","US-PFa",5.73569388506061,0.0967004082322937,2018,14,7,-0.00858628213708873,0.563169978148772
"21","US-Syv",3.78538805692461,0.258386093554833,2018,14,7,0.00458835093929451,0.808876172082094
"22","US-Whs",1.15113501508975,0.165153696497613,2012,14,5,-0.0435450703641536,0.406715321548162
"23","US-ICt",1.88531041336862,0.132166570928616,2023,59,1,-0.313099011024207,0.03263081851834
"24","US-ICh",1.48635933618072,0.0620675631028362,2024,52,1,0.00953580057477306,0.88376794075381
"25","US-ICs",1.69482490848558,0.104878974381193,2014,52,1,0.0519297948279401,0.572453899944129
"26","US-SRG",0.996295984991404,0.614286703940227,2012,14,13,-0.00507262838395086,0.498195212542815
"27","US-IB2",1.82059448081933,0.421640495151869,2013,14,8,-0.0110171107818208,0.158885845508891
"28","US-Kon",3.32803514045636,0.307511704031004,2015,14,7,-0.00986143964194832,0.19817321169989
"29","US-MOz",3.6025372753901,0.10705955572354,2021,14,10,0.0367559709421632,0.000728242375559944
"30","US-NC2",2.82413903446761,0.446770518311989,2008,14,26,-0.00960193625212735,0.272435229975831
"31","US-Bar",3.5517188314667,0.126302429149091,2016,14,9,-0.0449323700781405,0.0357644971127798
"32","CA-Oas",2.176580734887,0.250554907995726,2005,14,7,-0.0190407259779562,0.0992200490333705
"33","CA-TP4",3.60209786112216,0.280308976642552,2022,14,13,-0.0036655206869281,0.634694335664356
"34","CA-TP3",2.7606839128762,0.341576268645235,2018,14,15,-0.0693785181079769,3.79396304747674e-26
"35","CA-Man",0.827318620235967,0.765541950145525,1995,14,6,0.0200771895953783,0.296967724276691
"36","CA-LP1",2.39068202849679,0.183699669972977,2009,14,14,-0.0222759939065086,0.16774855515417
"37","CA-Ca1",3.67696543725955,0.468923666729492,2002,14,20,0.034177534360642,0.00140518660198741
"38","CA-Gro",3.16719241009584,0.172054852661634,2011,14,8,0.0395166720853796,0.0493177619474722
"39","CA-Obs",1.39918500346477,0.470620792265696,2005,14,11,-0.037981071642512,0.000851309862906138
"40","CA-Ojp",1.72493396127752,0.367222625545141,2005,14,12,0.00158484224093791,0.84741851204903
"41","US-Jo2",0.972645464329068,0.118159212597645,2019,14,18,-0.00822805342206052,0.738489216722428
"42","US-MtB",1.30135299302118,0.259332183982944,2023,14,21,-0.0423920640977566,0.00479377600203197
"43","US-LL1",1.96029807788331,0.28556354680975,2020,14,8,-0.00904233233574963,0.111982220247326
"44","US-BZB",4.25417391125342,0.102277469229512,2017,14,8,-0.0406524986807898,0.00304686770181652
"45","US-BZF",4.1291499412749,0.0655432031552932,2014,14,6,-0.0280845075548555,0.137711529513231
"46","US-KL2",3.10655289892317,0.268332250662843,2019,14,8,-0.0176225957781249,0.0031185899856938
"47","US-Ro4",2.01787547989476,0.308221528978378,2016,14,6,-0.00691281148027209,0.516424836727386
"48","US-KM4",3.18359290720029,0.342229546916086,2020,14,7,0.00376632644400185,0.75844234463671
"49","US-MBP",1.20536621125007,0.303140146714302,2019,14,12,-0.057396670430946,1.4738024530245e-05
"50","US-Myb",1.46472437333121,0.428415985235404,2020,14,12,0.0689643080981365,0.0744851290987862
"51","US-NC4",3.54985174696899,0.374030639143675,2014,14,16,0.000393943317008993,0.984883702576287
"52","US-Tw1",1.13501146989741,0.53940534074498,2017,14,10,0.0140404919590115,0.58545427220289
"53","US-Ced",2.30256888213076,0.451516613187363,2008,14,12,0.0111469084550606,0.548615266767005
"54","US-Oho",2.89366382782948,0.146004319364418,2012,14,10,0.0224043334758017,0.0225381315723974
"55","US-Slt",3.12154203044605,0.285686872053335,2013,14,10,0.0199433275706637,0.506622637084217
