"","site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"1","US-Uaf",2.35724859349136,0.127841684514829,2015,21,7,0.0140634031975129,0.564059552901589
"2","CA-Ca3",2.27474184516499,0.33398006622282,2013,21,10,-0.0446818593456991,0.00839147257317515
"3","CA-Cbo",4.61053073646987,0.108124903962667,2020,21,6,-0.000202039477735521,0.983536337884216
"4","US-Ha1",3.35940244736779,0.101092150264056,2001,21,6,0.0334614169782554,0.0824065495707244
"5","US-Ha2",2.20925038883752,0.371206419592748,2022,21,10,-0.015111752665204,0.407160378745747
"6","US-Var",3.36966480157034,0.15495875845592,2002,21,4,0.00511657149974513,0.765646990959416
"7","US-Ton",2.42251616445205,0.208339297414274,2020,21,9,0.0059388659996938,0.554009615490297
"8","US-Los",3.29269050284455,0.137829703534983,2001,21,5,0.0223692445780685,0.0741458331150896
"9","US-Wkg",1.08743898832693,0.288032992409026,2006,21,8,-0.0144167623869502,0.76022079439947
"10","US-SRM",1.15905265186796,0.361707241697706,2005,21,4,-0.0351615161741875,0.0381848596699312
"11","US-CMW",1.18182984078651,0.615764482044232,2021,21,8,-0.042777902367346,1.38908102735717e-07
"12","US-Ho1",2.93508969172803,0.354360232740709,1998,21,10,0.0262843348373436,0.0818988012714198
"13","US-Ho2",2.94682668787981,0.384659066801452,2020,21,10,0.00183227376213619,0.846534629221952
"14","US-GLE",1.25090373656454,0.447304692258004,2016,21,7,0.00984669076161901,0.473486601669838
"15","US-Me2",1.34340600853814,0.736079000713809,2002,21,12,-0.0431074761840767,0.0128870580798077
"16","US-NR1",1.60188954418962,0.279680299046391,2010,21,8,-0.0123700335665645,0.192433663209802
"17","US-WCr",3.17134762792291,0.0951363088004073,2015,21,5,0.014841607347532,0.438462223471802
"18","US-UMB",2.9289188796158,0.155035764367997,2006,21,6,-0.0151305506136347,0.127539970023064
"19","US-MMS",2.18075014399048,0.197747669071868,2015,21,7,-0.0306200087187367,0.00351180062615591
"20","US-PFa",5.86664751131187,0.0835542788419372,2018,21,4,-0.0208697296948248,0.349757415047651
"21","US-Syv",3.78742273137342,0.249615957351204,2018,21,5,0.00905592914219239,0.713189212763191
"22","US-Whs",1.21004610205133,0.137016693588169,2012,21,3,-0.00872719022415735,0.878559272360137
"23","US-ICt",1.87203692051694,0.139449840219065,2023,21,3,-0.210049920351357,0.0236254677571201
"24","US-ICh",1.45850116422816,0.0624877508638274,2024,21,2,0.0339236411256869,0.454308652244603
"25","US-ICs",1.59557771357612,0.131685392418349,2014,21,2,0.0194215830654667,0.805167970674671
"26","US-SRG",1.05546527802849,0.594745020401701,2012,21,9,0.00170678199594224,0.854186206999899
"27","US-IB2",1.83061542577613,0.404288660525664,2013,21,6,-0.0249664558785704,0.014307747904918
"28","US-Kon",3.34445716495312,0.294761095778303,2015,21,5,-0.012087853836273,0.200967140761188
"29","US-MOz",3.61554522041791,0.102980997998805,2021,21,7,0.0346817743394583,0.00646385966513984
"30","US-NC2",2.79418689222675,0.463877047411696,2008,21,17,-0.0226793251033134,0.0712432694529482
"31","US-Bar",3.54986155971556,0.128078751616626,2016,21,6,-0.0612786272987003,0.0362847104447479
"32","CA-Oas",2.1593035775933,0.255451948145734,2005,21,5,-0.027094289347555,0.0462996280019021
"33","CA-TP4",3.65104621512899,0.277914120689736,2022,21,8,-0.00146378418528782,0.891678250449129
"34","CA-TP3",2.76603140369643,0.334587947153457,2018,21,10,-0.0831984024549386,4.07524506316067e-26
"35","CA-Man",0.807709300031279,0.728448863088363,1995,21,4,0.0120064757039216,0.648657327227807
"36","CA-LP1",2.30065693748441,0.209136041774171,2009,21,9,-0.0239279068875768,0.258176214758157
"37","CA-Ca1",3.72698089730366,0.46707336064781,2002,21,13,0.0437906549783783,0.001168132404671
"38","CA-Gro",3.18810991091951,0.171700035298551,2011,21,5,0.0432273577995372,0.156433532499151
"39","CA-Obs",1.4659048624773,0.355751412678146,2005,21,7,-0.0333595896833684,0.0228474618491314
"40","CA-Ojp",1.63139088070448,0.408626322010073,2005,21,8,0.0103217100878214,0.350915342033928
"41","US-Jo2",0.97562188464266,0.114468640887722,2019,21,12,-0.00673110774131465,0.81847168467675
"42","US-MtB",1.32384513981857,0.245152027054142,2023,21,14,-0.0434703869201928,0.0271599313193192
"43","US-LL1",1.97267759708739,0.273017164721307,2020,21,5,-0.00741337711194029,0.325988834932814
"44","US-BZB",4.25384738475306,0.10509229929587,2017,21,5,-0.0476627914382003,0.00956604473671899
"45","US-BZF",4.08113543062359,0.0752492457470093,2014,21,4,-0.0310910900944526,0.193440275697296
"46","US-KL2",3.08608443022684,0.27743439525394,2019,21,6,-0.0202147685969866,0.00393352834157024
"47","US-Ro4",2.00488716988768,0.301555014408003,2016,21,4,-0.0178689170828589,0.231806549476851
"48","US-KM4",3.16710367948642,0.342265508954841,2020,21,5,-0.00364197890856718,0.825756972852305
"49","US-MBP",1.20880257208012,0.299198373451043,2019,21,8,-0.0610400236975569,0.000118187421302997
