,site_ID,growing_year,window,nobsv,extend_days,alpha,beta,C0,Hs,k2,TS,ERref,lnRatio
1,DE-SfS,2011,69_96,148,0,0.142282031,-0.004619645,1.052756513,NA,0.613973378,2.157433036,2.467584184,-0.008642358
2,DE-SfS,2012,69_96,138,0,0.092058019,-0.005057683,0.945823747,NA,0.515852713,0.72360119,1.894710928,-0.272815685
3,DE-SfS,2013,69_96,234,0,0.08116046,-0.005022286,0.228773602,NA,0.122145512,1.935662202,0.439447158,-1.734119767
4,DE-SfS,2014,69_96,137,3,0.076620849,-0.005156577,1.611260283,NA,0.459325988,3.239427083,2.489002348,0
5,DE-SfS,2015,69_96,164,0,0.147022872,-0.004315126,0.504093416,NA,0.633029348,2.499529762,1.751093855,-0.351641314
6,DE-SfS,2016,69_96,213,0,0.107885631,-0.005228989,0.150296056,NA,0.624583574,3.462172619,1.102544561,-0.814261221
7,DE-SfS,2017,69_96,161,0,0.066125006,-0.005526853,0.820412945,NA,0.097507101,3.438876488,1.053519327,-0.859745667
8,DE-SfS,2018,69_96,190,0,0.072165835,-0.005144313,0.964876478,NA,0.357962641,1.661688988,1.597172155,-0.443647305
9,DE-SfS,2019,69_96,189,0,0.051952281,-0.005869856,1.441254296,NA,0.167531577,3.256316964,1.781406642,-0.334478667
10,DE-SfS,2020,69_96,185,0,0.071410498,-0.005372965,0.599920917,NA,0.181815931,3.276837798,0.9256846,-0.989103674
11,DE-SfS,2011,96_123,112,3,0.06116853,-0.00573738,0.93914192,NA,0.26436937,6.44546875,1.732857936,-0.574216891
12,DE-SfS,2012,96_123,166,0,0.097775835,-0.004397511,1.079945607,NA,0.221462525,5.000037202,2.294757533,-0.293361734
13,DE-SfS,2013,96_123,150,0,0.068379258,-0.00573691,1.229589477,NA,0.276737139,5.542514881,2.186280729,-0.34178712
14,DE-SfS,2014,96_123,110,3,0.060511314,-0.00575352,1.906509935,NA,0.362279916,5.942537202,3.077104085,0
15,DE-SfS,2015,96_123,148,6,0.090785469,-0.004259193,1.426460938,NA,0.16379219,5.403675595,2.538138867,-0.19255784
16,DE-SfS,2016,96_123,103,0,0.070499858,-0.005393057,1.591630631,NA,0.16519701,6.320766369,2.32279285,-0.281218646
17,DE-SfS,2017,96_123,106,9,0.127894162,-0.003534272,0.966458254,NA,0.271859397,5.041383929,2.796363572,-0.095669073
18,DE-SfS,2018,96_123,120,0,0.113885698,-0.004359572,0.805344638,NA,0.231594815,6.14249256,2.109486532,-0.377544354
19,DE-SfS,2019,96_123,131,0,0.073525275,-0.00527851,0.611983887,NA,0.417277229,5.722745536,1.901853739,-0.48115986
20,DE-SfS,2020,96_123,146,0,0.104887407,-0.004222262,0.501726505,NA,0.43102708,5.036325149,2.230213817,-0.32189146
21,DE-SfS,2011,123_150,117,6,0.11475012,-0.003169188,0.821219425,NA,0.265782415,9.645639881,3.106500953,-0.282544871
22,DE-SfS,2012,123_150,101,0,0.09880721,-0.003531777,1.402315944,NA,0.094874204,9.140066964,2.631381525,-0.448532866
23,DE-SfS,2013,123_150,129,0,0.051475967,-0.006306817,3.548003823,NA,0.351920426,8.784717262,4.114595007,-0.001501458
