"site_ID","growing_year","window","nobsv","extend_days","alpha","beta","C0","Hs","k2","TS","ERref","lnRatio"
"US-Uaf",2009,"131_145",61,24,0.1845775065,-0.0035095046425,0.9636385685,NA,NA,3.53044626388889,1.66044976398795,-0.532026992730934
"US-Uaf",2010,"131_145",56,24,0.110661277805,-0.00475784065995,2.30975278,NA,NA,3.26539388194445,3.10431198861296,0.0936766085028117
"US-Uaf",2011,"131_145",100,24,0.190680038,-0.001473381802845,1.2201311065,NA,NA,1.4979105,2.19138642473496,-0.254581086383652
"US-Uaf",2013,"131_145",79,24,0.14525973235,-0.007195404543,1.710218135,NA,NA,0.303137152777778,2.51304637615271,-0.117619787673734
"US-Uaf",2014,"131_145",99,24,0.14330817765,-0.00367262680414,1.43871944,NA,NA,2.19313252777778,2.18288169513069,-0.258469618173502
"US-Uaf",2015,"131_145",110,24,0.1533672615,-0.004847026360545,1.8347763,NA,NA,3.75629059722222,2.82671567987163,0
"US-Uaf",2016,"131_145",116,18,0.10303170716,-0.003776881781333,1.6813382525,NA,NA,5.24185310625,2.22166448444478,-0.240858817845931
"US-Uaf",2017,"131_145",115,21,0.1826523135,-0.0035782497861,0.8517082245,NA,NA,4.52204623833333,1.45924263875137,-0.661197940016053
"US-Uaf",2018,"131_145",99,24,0.1944087165,-0.00150481575792,1.080227006,NA,NA,2.64074538129319,1.96238815312781,-0.364953323549068
"US-Uaf",2020,"131_145",107,18,0.1846210885,-0.003029342500115,0.9641386435,NA,NA,4.03916712708333,1.67309775891789,-0.524438646960897
"US-Uaf",2021,"131_145",66,24,0.1880957115,-0.001814068276648,1.710611905,NA,NA,3.98075868763889,3.03773591868304,0.0719969737902428
"US-Uaf",2024,"131_145",108,24,0.06321110385195,-0.002490036159525,1.96884639,NA,NA,3.34731031972222,2.3395317214523,-0.189164710256958
"US-Uaf",2009,"145_159",34,24,0.16375007133,-0.004171192288942,1.0819035845,NA,NA,6.49136866490741,2.46232510343517,-0.494485356048711
"US-Uaf",2010,"145_159",45,24,0.134998336865,-0.0051868327126,1.96177094,NA,NA,7.58778861111111,3.6203968334548,-0.10900778127388
"US-Uaf",2011,"145_159",77,24,0.175122056,-0.00494239466978,1.317819928,NA,NA,4.94649266666667,3.14098600688171,-0.251054658046504
"US-Uaf",2013,"145_159",66,24,0.13087478705,-0.0072123858115,1.739942175,NA,NA,4.12229218055556,2.93675498814337,-0.318286197359336
"US-Uaf",2014,"145_159",28,24,0.082085873461,-0.00470257692695,1.806315908,NA,NA,4.86369388888889,2.51492753554652,-0.473347433372143
