site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
US-Uaf,2.28439667,0.157696164,2015,14,10,-0.00451107,0.819845243
CA-Ca3,2.302384712,0.327701788,2013,14,14,-0.034249873,0.003160173
CA-Cbo,4.604594304,0.119031495,2020,14,9,-0.006518193,0.402730165
US-Ha1,3.354715864,0.114328098,2001,14,9,0.042946116,0.001225084
US-Ha2,2.224569377,0.375702222,2022,14,14,-0.012368107,0.426598052
US-Var,3.350102204,0.161387363,2002,14,6,-0.00868079,0.429689467
US-Ton,2.405152574,0.206726653,2020,14,14,-0.003257136,0.661656103
US-Los,3.306842622,0.137737239,2001,14,7,0.026741086,0.016617233
US-Wkg,1.095730663,0.287816284,2006,14,12,-0.060046267,0.142397072
US-SRM,1.20840272,0.315648048,2005,14,5,-0.020348932,0.16649381
US-CMW,1.158133683,0.629126222,2021,14,12,-0.078890762,1.31E-19
US-Ho1,2.944128193,0.359190406,1998,14,14,0.029927769,0.017297393
US-Ho2,2.935503562,0.391239517,2020,14,15,0.02067981,0.005994132
US-GLE,1.241688068,0.456800712,2016,14,10,0.017553194,0.081833459
US-Me2,1.352709716,0.727711277,2002,14,18,-0.031458478,0.010737496
US-NR1,1.634317479,0.25833581,2010,14,11,-0.00686462,0.494148985
US-WCr,3.108024265,0.10857188,2015,14,8,0.017284362,0.236012183
US-UMB,2.935959416,0.155359949,2006,14,9,0.011573566,0.112480825
US-MMS,2.146483579,0.209875621,2015,14,11,-0.020540628,0.005416084
US-PFa,5.734486965,0.097148596,2018,14,7,-0.002302142,0.876090682
US-Syv,3.797263079,0.253924397,2018,14,7,0.003883156,0.852287673
US-Whs,1.155449186,0.158144632,2012,14,5,-0.00034675,0.993815996
US-ICt,1.925569972,0.132417939,2023,14,4,-0.177599332,0.048358021
US-ICh,1.472502385,0.064796862,2024,14,4,0.020724382,0.449600823
US-ICs,1.694737764,0.111736502,2014,14,4,0.048943989,0.325934461
US-SRG,1.072045868,0.553454228,2012,14,13,-0.024015049,0.021365931
US-IB2,1.812857291,0.426601796,2013,14,8,-0.022967705,0.005320131
US-Kon,3.325226828,0.308679518,2015,14,7,-0.011710733,0.082378931
US-MOz,3.601823185,0.107408473,2021,14,10,0.033145778,0.006497171
US-NC2,2.817033738,0.449569844,2008,14,26,-0.005304756,0.548982692
US-Bar,3.553608841,0.125172909,2016,14,9,-0.053122684,0.011995895
CA-Oas,2.184114866,0.245068975,2005,14,7,-0.006733696,0.560786011
CA-TP4,3.720720952,0.236227826,2022,14,13,-0.053845675,4.66E-10
CA-TP3,2.791780022,0.326812418,2018,14,15,-0.079249272,3.51E-31
CA-Man,0.835037327,0.76114141,1995,14,6,0.024463041,0.20272168
CA-LP1,2.382246787,0.189343968,2009,14,14,-0.015094341,0.333494033
CA-Ca1,3.681488406,0.467556411,2002,14,20,0.029600723,0.006418774
CA-Gro,3.165904912,0.172680711,2011,14,8,0.02527912,0.213187448
CA-Obs,1.399313267,0.470681182,2005,14,11,-0.036107485,0.001927507
CA-Ojp,1.738146045,0.356845083,2005,14,12,-0.012747472,0.164340017
US-Jo2,0.982550916,0.100308036,2019,14,18,-0.045409967,0.124657074
US-MtB,1.300044809,0.260779547,2023,14,21,-0.033973024,0.021589316
US-LL1,1.957507683,0.287608752,2020,14,8,-0.007195876,0.207234345
US-BZB,4.254686338,0.102074892,2017,14,8,-0.040142789,0.003564997
US-BZF,4.131043939,0.064725317,2014,14,6,-0.033979749,0.077870414
US-KL2,3.111205949,0.266150368,2019,14,8,-0.022880271,0.000493937
US-Ro4,2.012547151,0.31194508,2016,14,6,-0.008639544,0.457372207
US-KM4,3.171979436,0.347052639,2020,14,7,0.006827336,0.616307408
US-MBP,1.207172859,0.300947734,2019,14,12,-0.056039309,2.25E-05
US-Myb,1.476916859,0.418261034,2020,14,12,0.050097143,0.156366648
US-NC4,3.553795856,0.372534836,2014,14,16,0.00560137,0.810837426
US-Tw1,1.185081901,0.498224965,2017,14,10,-0.015435914,0.550386881
US-Ced,2.292325879,0.456299304,2008,14,12,0.020754218,0.23705431
US-Oho,2.88899244,0.148781437,2012,14,10,0.023078034,0.025678925
US-Slt,3.097155661,0.296983213,2013,14,10,0.014506064,0.510828846
US-Wrc,3.878985327,0.073730537,2004,14,13,0.019718078,0.244922189
AU-Tum,4.546377725,0.202098303,2001,14,14,-0.011130252,0.362719303
BE-Bra,3.11590368,0.138823837,2007,14,10,-0.007765154,0.669650532
BE-Vie,3.116591249,0.24309117,1999,14,14,0.007229908,0.411635294
CH-Lae,4.439614161,0.108793284,2014,14,11,-0.037888193,0.000277921
CZ-BK1,2.660342577,0.27536539,2016,14,15,0.003546795,0.766091004
CZ-wet,2.121037278,0.422356517,2012,14,5,0.009102665,0.58329902
DE-Gri,1.916918246,0.583110002,2016,14,8,0.014293386,0.251301158
DE-Hai,1.620083609,0.241185392,2009,14,11,-0.00488532,0.529349246
DE-Tha,1.659706826,0.408219515,2006,14,15,-0.004033739,0.375492514
DK-Sor,2.560819988,0.253355108,2007,14,10,-0.030004353,4.49E-07
FI-Hyy,1.233707988,0.622498369,2005,14,10,-0.03035483,6.49E-12
FI-Sod,1.896955483,0.344706024,2007,14,10,-0.053030561,2.86E-07
FR-Pue,1.118020053,0.59561956,2011,14,13,0.014592802,0.243955709
IT-Lav,2.215774288,0.104478323,2014,14,13,-0.009239681,0.568332258
IT-MBo,2.792090121,0.338900891,2010,14,4,-0.027599886,0.030716086
IT-Noe,1.480180951,0.382600767,2006,14,11,0.053324879,0.002366894
IT-Ren,2.092420361,0.270174664,2004,14,16,-0.029772463,0.006918905
IT-SRo,2.454856803,0.35591957,2002,14,16,-0.021986367,0.027070099
NL-Loo,2.851684627,0.107379675,2012,14,11,-0.029203712,0.021740287
RU-Fyo,2.520652519,0.476140153,2013,14,7,-0.032986375,0.02207315
ZA-Kru,1.809853058,0.548965867,2008,14,8,-0.042820108,0.00233904
IT-Tor,2.710187746,0.089185064,2011,14,8,-0.013832124,0.583404554
BE-Dor,1.867098064,0.601701107,2014,14,14,-0.007339804,0.369894929
CH-Fru,3.508088965,0.371993844,2011,14,13,0.003849008,0.550600882
CZ-RAJ,1.680374738,0.464611046,2019,14,15,0.013462433,0.34910502
CZ-Stn,2.730619435,0.157574697,2021,14,11,-0.002596846,0.813894782
DE-Obe,2.167797358,0.536063561,2014,14,13,0.00942116,0.346621393
DE-RuR,2.027491145,0.562676286,2016,14,10,0.00561515,0.513703878
CH-Aws,3.839506261,0.256741157,2020,14,10,-0.023630645,0.022750572
ES-LJu,0.614327057,0.220955482,2020,14,12,-0.133799005,0.000841113
FR-FBn,1.38705147,0.363859601,2016,14,18,0.074126648,1.62E-07
FR-Fon,3.777921623,0.147200325,2024,14,12,0.050645136,5.56E-05
GF-Guy,5.783168502,0.045724568,2005,14,26,0.045239683,0.001135669
IL-Yat,0.782060386,0.40762377,2005,14,11,-0.009935314,0.29821232
SE-Deg,0.363748349,0.57593465,2020,14,8,0.019394612,0.060189771
IT-SR2,3.309629756,0.343947798,2023,14,16,-0.005766818,0.617241513
CH-Dav,5.339626024,0.123198049,2012,14,13,-0.024420302,0.003411809
DE-Akm,2.839664958,0.317594208,2022,14,6,0.017572528,0.465271153
DE-Hte,1.831264943,0.289371954,2016,14,7,0.093591413,0.004852639
DE-Hzd,4.246496386,0.183354855,2019,14,5,-0.063938724,0.02924905
DE-RuC,1.188291783,0.577306781,2023,14,4,0.001387638,0.953925898
DE-RuW,3.138652114,0.360175215,2017,14,17,0.032336827,0.044218851
DE-SfS,4.963715253,0.112815992,2014,14,18,0.006085326,0.735180879
FR-Bil,1.698624535,0.446709111,2015,14,17,-0.005718499,0.577783106
IT-TrF,2.892124031,0.030719187,2017,14,13,0.033681398,0.021306618
SE-Nor,2.033524288,0.460022653,2015,14,5,-0.009720149,0.571603043
SE-Svb,1.756914927,0.474616741,2023,14,8,-0.01573723,0.355919291
UK-AMo,1.365853804,0.311345461,2007,14,7,0.012067144,0.408544429
