site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
US-Uaf,2.258269984,0.166380913,2015,14,10,-0.018487302,0.344072828
CA-Ca3,2.267848303,0.353353288,2014,14,14,-0.029574834,0.003970784
CA-Cbo,4.59163903,0.123263163,2019,14,9,0.00665918,0.654554449
US-Ha1,3.37838344,0.135057809,1992,14,9,0.027781794,0.025661553
US-Ha2,2.054560678,0.450752162,2023,14,14,0.028963413,0.098593204
US-Var,3.343832106,0.157960516,2002,14,6,-0.114785326,8.45E-06
US-Ton,2.429324002,0.198412349,2020,14,14,-0.020384811,0.049517005
US-Los,3.304272,0.1372179,2001,14,7,0.0217947,0.03215439
US-Wkg,1.285096761,0.177206431,2006,14,12,-0.073551037,0.00019263
US-SRM,1.207522325,0.315868706,2005,14,5,-0.136182406,8.65E-11
US-CMW,1.149242492,0.634706012,2007,14,12,-0.110202501,1.67E-14
US-Ho1,2.931468285,0.363999196,1998,14,14,0.024561883,0.06830705
US-Ho2,2.901662821,0.40502443,2020,14,15,0.004974976,0.506038254
US-GLE,1.18342512,0.490240269,2013,14,7,0.005762112,0.697968336
US-Me2,1.284737663,0.725748765,2002,14,18,-0.001709185,0.901471448
US-NR1,1.649935018,0.256648767,2015,14,11,-0.035833751,0.001005675
US-WCr,3.108034323,0.110004576,2015,14,8,0.019419522,0.234647722
US-UMB,2.952726721,0.150323313,2006,14,9,0.000624612,0.942427165
US-MMS,2.133293369,0.206315817,2015,14,11,-0.023867027,0.014001904
US-PFa,5.763179732,0.092911181,2018,14,7,-0.018355311,0.091456584
US-Syv,3.78396314,0.255079356,2018,14,7,-0.012237626,0.569419655
US-Whs,1.24514135,0.122061091,2012,14,5,-0.120116669,0.027606622
US-ICt,2.137735842,0.09605929,2015,14,4,-0.032629237,0.489135359
US-ICh,1.523612421,0.046643846,2024,14,4,-0.005913294,0.668823074
US-ICs,1.752849885,0.094893957,2014,14,4,0.027916905,0.254928787
US-SRG,1.078130898,0.547461664,2012,14,13,-0.093268698,7.08E-09
US-IB2,1.835471443,0.411258077,2016,14,8,0.01100524,0.29083039
US-Kon,3.238734728,0.344360813,2010,14,7,-0.059086873,0.000178457
US-MOz,3.60314647,0.106753493,2021,14,10,-0.007498319,0.667686972
US-NC2,2.81521031,0.447861891,2008,14,26,0.003605498,0.727384348
US-Bar,3.548206568,0.130499454,2006,14,9,-0.000632532,0.97092842
CA-Oas,2.192091628,0.24516615,2005,14,7,-0.013845264,0.379780391
CA-TP4,3.617551081,0.272933751,2019,14,13,0.015735102,0.077755699
CA-TP3,2.764220176,0.339782486,2023,14,15,0.008687055,0.294981574
CA-Man,0.827027536,0.764921765,1995,14,6,0.042804153,0.004818486
CA-LP1,2.394066559,0.189304534,2009,14,14,-0.045368641,0.002676387
CA-Ca1,3.73250367,0.455782764,2002,14,20,0.022729621,0.042014916
CA-Gro,3.185578991,0.143715546,2006,14,8,0.008618474,0.457683159
CA-Obs,1.263760297,0.644330679,2008,14,11,-0.031577982,0.012372754
CA-Ojp,1.739316433,0.360649782,2005,14,12,-0.016802897,0.100125426
US-Jo2,1.000072138,0.100953883,2016,14,18,-0.050444034,0.024242951
US-MtB,1.295043534,0.261803366,2023,14,21,-0.048609137,0.001699231
US-LL1,1.930293238,0.30756349,2009,14,8,-0.007059348,0.427149961
US-BZB,4.28525355,0.1191441,2021,14,8,0.030300754,0.176906383
US-BZF,4.133370553,0.063594827,2021,14,6,-0.030223507,0.536094778
US-KL2,3.024201215,0.305651831,2011,14,8,0.006091276,0.710329767
US-Ro4,2.023543989,0.305007647,2016,14,6,0.003830034,0.793779167
US-KM4,3.16369956,0.343899711,2020,14,7,-0.002762046,0.856273185
US-MBP,1.187521576,0.324466293,2020,14,12,0.009631692,0.597309921
US-Myb,1.300854139,0.481996578,2019,14,12,0.005474645,0.904118078
US-NC4,3.46287306,0.403748707,2015,14,16,0.082402336,0.000379329
US-Tw1,1.082019797,0.578413377,2021,14,10,-0.040318829,0.312271766
US-Ced,2.29506773,0.454495481,2008,14,12,-0.003158591,0.864654056
US-Oho,2.893074375,0.14851694,2012,14,10,0.014666115,0.195705788
US-Slt,3.056953471,0.31119122,2013,14,10,-0.019407152,0.592117771
US-Wrc,3.861242938,0.077821326,2004,14,13,0.03654644,0.055871405
AU-Tum,4.458949319,0.20504639,2001,14,14,-0.018594541,0.186068235
BE-Bra,3.004755319,0.178973604,2009,14,10,-0.003712409,0.807628063
BE-Vie,3.095412155,0.248811476,1999,14,14,-0.004547287,0.513000595
CH-Lae,4.443172104,0.107057982,2021,14,11,0.032613006,0.001158388
CZ-BK1,2.514892013,0.34201644,2016,14,15,-0.007554362,0.541414746
CZ-wet,2.109645714,0.426059013,2009,14,5,0.006934751,0.648902908
DE-Gri,1.991526188,0.56069459,2016,14,8,0.025977947,0.11611386
DE-Hai,1.604747978,0.258918479,2011,14,11,-0.031247279,0.005229361
DE-Tha,1.645080691,0.417743723,2006,14,15,-0.014108656,0.022730607
DK-Sor,2.553171406,0.259900931,2007,14,10,-0.026402476,0.000242637
