site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
US-Uaf,2.268594439,0.167253744,2015,14,10,-0.015431182,0.439700386
CA-Ca3,2.270800736,0.352153783,2014,14,14,-0.031808353,0.001629291
CA-Cbo,4.605499613,0.118177005,2019,14,9,0.009964802,0.495442866
US-Ha1,3.360186948,0.112838338,1992,14,9,0.018607024,0.098713841
US-Ha2,2.087749254,0.451125733,2011,14,14,0.016618476,0.405960737
US-Var,3.357444164,0.150758241,2002,14,6,-0.115590703,3.12E-06
US-Ton,2.42376717,0.198307647,2020,14,14,-0.020505778,0.046921311
US-Los,3.3143514,0.133761586,2001,14,7,0.012313328,0.139622602
US-Wkg,1.104439877,0.277125239,2006,14,12,-0.177925621,0.00209947
US-SRM,1.216492693,0.305906969,2005,14,5,-0.13005967,2.41E-10
US-CMW,1.162492172,0.626438763,2007,14,12,-0.090327189,2.41E-12
US-Ho1,2.953044424,0.355295073,1998,14,14,0.009408455,0.501787033
US-Ho2,2.913458864,0.400281598,2020,14,15,0.001655225,0.821840252
US-GLE,1.215613522,0.470702946,2005,14,7,0.020997044,0.36384541
US-Me2,1.270600667,0.718557287,2002,14,18,-0.033514622,0.026543724
US-NR1,1.639569824,0.253450954,2010,14,11,-0.03591343,0.000939011
US-WCr,3.117009369,0.103801004,2015,14,8,0.00968164,0.529013235
US-UMB,2.953970203,0.149554708,2006,14,9,0.000881744,0.918878466
US-MMS,2.140875022,0.204739491,2015,14,11,-0.024885466,0.010767122
US-PFa,5.787563779,0.083823798,2018,14,7,-0.017566872,0.078684811
US-Syv,3.80478142,0.247761248,2018,14,7,-0.009032492,0.628902758
US-Whs,1.161105801,0.150128243,2012,14,5,-0.175606645,0.000198331
US-ICt,2.166147888,0.096205181,2015,14,4,-0.148804162,0.060097991
US-ICh,1.523251471,0.047069985,2024,14,4,-0.005662524,0.679355036
US-ICs,1.753958229,0.094271215,2014,14,4,0.028991315,0.262051769
US-SRG,1.09004176,0.538193726,2012,14,13,-0.07919206,1.93E-07
US-IB2,1.842602618,0.40768961,2016,14,8,0.013318813,0.279362115
US-Kon,3.298459967,0.303755757,2010,14,7,-0.077471259,3.82E-05
US-MOz,3.610819943,0.102944,2021,14,10,-0.015736751,0.355183648
US-NC2,2.822812489,0.444716495,2008,14,26,-0.006646948,0.503274456
US-Bar,3.547475577,0.129706169,2006,14,9,-0.002116326,0.905448483
CA-Oas,2.196087888,0.242921065,2005,14,7,-0.020112793,0.205226237
CA-TP4,3.646201322,0.262351155,2019,14,13,0.022263411,0.020013684
CA-TP3,2.779589054,0.332147289,2023,14,15,0.001361789,0.872724011
CA-Man,0.834403879,0.76151894,1995,14,6,0.02936714,0.082013753
CA-LP1,2.395690688,0.188227336,2009,14,14,-0.037643294,0.009700859
CA-Ca1,3.733942946,0.456784515,2002,14,20,0.020248112,0.064472342
CA-Gro,3.235653104,0.135740447,2010,14,8,-0.00041751,0.982143761
CA-Obs,1.277113228,0.637200206,2008,14,11,-0.025763027,0.141758353
CA-Ojp,1.742073788,0.356865384,2005,14,12,-0.018928356,0.060379344
US-Jo2,0.978599304,0.10716034,2016,14,18,-0.086038433,0.002109691
US-MtB,1.302432056,0.258839813,2023,14,21,-0.053653759,0.000592107
US-LL1,1.934951883,0.303841304,2009,14,8,-0.007865428,0.384858456
US-BZB,4.243762296,0.106993769,2021,14,8,0.021024827,0.581075338
US-BZF,4.117188291,0.065151089,2021,14,6,-0.064586013,0.36155863
US-KL2,3.044687455,0.296266584,2011,14,8,0.006081125,0.736968136
US-Ro4,2.023800081,0.30444885,2016,14,6,0.0033898,0.819582403
US-KM4,3.167196001,0.342693192,2020,14,7,-0.004950796,0.753794187
US-MBP,1.167006215,0.350059605,2020,14,12,0.035607158,0.232055559
US-Myb,1.337960086,0.41800233,2019,14,12,-0.001131593,0.977798872
US-NC4,3.46785384,0.402462346,2015,14,16,0.083020756,0.000181401
US-Tw1,1.125570263,0.447213051,2021,14,10,0.02722023,0.622856694
US-Ced,2.302594356,0.452356241,2008,14,12,0.001884361,0.919322003
US-Oho,2.905986483,0.141916613,2012,14,10,0.017849826,0.104456172
US-Slt,3.065314252,0.310353741,2013,14,10,-0.02302778,0.518485987
