"site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"US-Uaf",2.31070438482889,0.155397147627043,2015,14,10,-0.000450947144805401,0.981224987214976
"CA-Ca3",2.25078981871589,0.353244778245926,2014,14,14,-0.0333292041453476,0.0410036943409699
"CA-Cbo",4.59838316855257,0.123126399645052,2019,14,9,0.0113250782592544,0.53001873466127
"US-Ha1",3.35703417953764,0.118647339052565,1992,14,9,0.0266984757486082,0.0339415162917813
"US-Ha2",2.07195697783901,0.455304842690748,2011,14,14,0.0208913206697075,0.340799598797988
"US-Var",3.36035313675527,0.157659309295024,2002,14,6,-0.114055045739129,1.40318243054914e-06
"US-Ton",2.4208450661926,0.199721073109034,2020,14,14,-0.0242983937226731,0.0156363789962283
"US-Los",3.30956484487575,0.137199867811975,2001,14,7,0.0194503223592014,0.110001713316544
"US-Wkg",1.10008921186833,0.282723847453015,2006,14,12,-0.175887342595444,0.00285165044443934
"US-SRM",1.2083929364252,0.315123266863336,2005,14,5,-0.135618118070921,9.74225227909105e-11
"US-CMW",1.14916832243581,0.63478498036943,2007,14,12,-0.0967947419718053,1.44885379334293e-12
"US-Ho1",2.92550659848169,0.364588186808894,1998,14,14,0.0212860910831514,0.144340384166874
"US-Ho2",2.90167436800989,0.404820288658438,2020,14,15,-0.00379319897801513,0.597825886042269
"US-GLE",1.2098861803932,0.477460802292581,2005,14,7,0.0209933218594658,0.367878021161334
"US-Me2",1.3284351453151,0.737258048827263,2002,14,18,-0.0319910800935444,0.0168600252404916
"US-NR1",1.63378401495881,0.258930941048197,2010,14,11,-0.0370734450435949,0.0019040365674443
"US-WCr",3.10693641510612,0.110881000730623,2015,14,8,0.0176757095248262,0.296160219486945
"US-UMB",2.91861837291517,0.1536509146733,2006,14,9,-0.0043011813326002,0.626829089540799
"US-MMS",2.14294693251086,0.199437955011767,2015,14,11,-0.0254852039736073,0.0107790131755582
"US-PFa",5.74278641827545,0.0943122196191446,2018,14,7,-0.0188473865865975,0.0861842362160196
"US-Syv",3.80527951802033,0.254299646505816,2018,14,7,-0.0267265876685419,0.260852702799745
"US-Whs",1.16098796890873,0.153160020220606,2012,14,5,-0.174206710896262,0.00106828746859274
"US-ICt",2.13545858139755,0.0988550007197556,2015,14,4,-0.0907582242405397,0.498988022879968
"US-ICh",1.5184115139563,0.0463076330390694,2024,14,4,-0.00391324268909409,0.83269589541183
"US-ICs",1.6470198751952,0.0981729815396164,2014,14,4,-0.0100075384128488,0.744162605491984
"US-SRG",1.07961492364114,0.546994628878686,2012,14,13,-0.0918333507273565,1.56698142566724e-08
"US-IB2",1.83678838261747,0.412137563584189,2016,14,8,0.00817801777760978,0.565175890782215
"US-Kon",3.27657059886638,0.312755711111478,2010,14,7,-0.0770285008390541,0.000323304636215303
"US-MOz",3.60143521190134,0.106329460760264,2021,14,10,-0.00602507286698371,0.737359071303583
"US-NC2",2.82864447500751,0.445604736038478,2008,14,26,-0.0177850637414732,0.0646779592272004
"US-Bar",3.54264604196837,0.129535571794718,2006,14,9,0.0221876582158506,0.366754356481604
"CA-Oas",2.18939856394118,0.24285948657757,2005,14,7,-0.00766203851370316,0.64638375572811
"CA-TP4",3.62559657739637,0.272011287377228,2019,14,13,0.020965454194604,0.0505179865530586
"CA-TP3",2.74605913335566,0.339302056065218,2023,14,15,0.00943382589937035,0.332382265255429
"CA-Man",0.828429424470852,0.764910828778388,1995,14,6,0.0339223851786235,0.0877488602487775
"CA-LP1",2.38699589181052,0.186279597746437,2009,14,14,-0.0354646326459249,0.0500607670934404
"CA-Ca1",3.61796365897319,0.467111801871975,2002,14,20,0.0293953803730356,0.00810744913241108
"CA-Gro",3.22334877848533,0.142370200587566,2010,14,8,-0.0218307434655872,0.504046008522402
"CA-Obs",1.28234826801062,0.632648963280922,2008,14,11,-0.0191682510140015,0.324152944111304
"CA-Ojp",1.7170619864896,0.355826919543496,2005,14,12,-0.0141689308857538,0.163131576374361
"US-Jo2",0.974918993589944,0.113651554705723,2016,14,18,-0.104599935364939,0.00199753842062364
"US-MtB",1.29853170771804,0.262184504613208,2023,14,21,-0.050094878784337,0.00129867073031165
"US-LL1",1.92993348058998,0.307453381500764,2009,14,8,-0.00649155405709742,0.490264653369427
"US-BZB",4.20568478048798,0.103705109900578,2021,14,8,0.046317919505885,0.320073409962618
"US-BZF",4.11791173139053,0.0694386395808185,2021,14,6,-0.0359407545044411,0.600383130611189
"US-KL2",3.02090731764394,0.305984351769902,2011,14,8,-0.00216430265212826,0.931360705454261
"US-Ro4",2.02361189092715,0.304106888869634,2016,14,6,-0.0169689700472294,0.301213374286396
"US-KM4",3.18535137184724,0.346235802283465,2020,14,7,0.0109987259950425,0.501927268776896
"US-MBP",1.14079475665601,0.366113417355894,2020,14,12,0.00668902868277255,0.85074554936612
"US-Myb",1.3349011453553,0.423461907818719,2019,14,12,-0.0109704987859765,0.821069722606567
"US-NC4",3.48378463574735,0.398566664599487,2015,14,16,0.0958750407676517,0.000124236215487874
"US-Tw1",1.15230946564899,0.432035407138067,2021,14,10,0.005121389823641,0.9240759452545
"US-Ced",2.29230903512871,0.455118025041365,2008,14,12,0.00772045758838994,0.722508104638408
"US-Oho",2.90186190588165,0.1447167211928,2012,14,10,0.0169434808470238,0.121958428076802
"US-Slt",3.11386544227903,0.295206451792183,2013,14,10,-0.00762010565332023,0.813461763257865
"US-Wrc",3.87293492958328,0.0768488058045254,2004,14,13,0.0182391620008128,0.331618364339534
"AU-Tum",4.50163608923625,0.195840885472542,2001,14,14,-0.0220793702886035,0.129664256953379
"BE-Bra",3.03292813687852,0.179477460351216,2009,14,10,0.0172359795719814,0.301472259435882
"BE-Vie",3.11842459841872,0.246703909529367,1999,14,14,0.00148328067128309,0.87425772495067
"CH-Lae",4.3942513643247,0.107204973200794,2021,14,11,0.0560373980222463,7.02399606232975e-08
"CZ-BK1",2.51731177833682,0.344728469238701,2016,14,15,0.0329289440250333,0.0259022327087185
"CZ-wet",2.13280809886662,0.42451971427128,2012,14,5,0.0132122465682787,0.432543276199275
"DE-Gri",1.96381197558376,0.56046058653388,2016,14,8,0.0218259792713488,0.210237780814779
"DE-Hai",1.61469227102548,0.249535124768339,2009,14,11,-0.0330329533730922,0.0015106098239582
"DE-Tha",1.65149338730794,0.409224626878184,2006,14,15,-0.0108265336588984,0.0313707850357589
"DK-Sor",2.57121859136257,0.250909671360038,2007,14,10,-0.0287393443469093,1.08229708084856e-05
"FI-Hyy",1.24045010755439,0.619446457756657,2005,14,10,-0.033550306331303,2.67170269731417e-12
"FI-Sod",1.76279742414289,0.443771894714742,2005,14,10,0.00529449851092915,0.691000041106074
"FR-Pue",1.08664956021332,0.61593512796803,2011,14,13,0.0160652467761841,0.383390731575319
"IT-MBo",2.77791996933351,0.340580557279466,2010,14,4,-0.0272095738531371,0.0477177127495187
"IT-Noe",1.48373045859325,0.3867994076286,2006,14,11,0.0549815887777664,0.00238424266356632
"IT-Ren",1.94723682634992,0.356337417307019,2005,14,16,0.00881519413769732,0.571813900040575
"IT-SRo",2.44694618372325,0.358964068369384,2002,14,16,-0.0353085299934679,0.00107087512124314
"NL-Loo",2.77952284606538,0.140734430838633,2017,14,11,-0.025331325314924,0.0344428368932384
"RU-Fyo",2.51850862027716,0.489205677521179,2013,14,7,-0.0356607945761598,0.0189115645953686
"ZA-Kru",1.8459107998222,0.525296433865971,2001,14,8,-0.172341340770408,0.000817539022322064
"IT-Tor",2.90150337410098,0.091129684635069,2016,14,8,-0.0607042457955819,0.0225163613818182
"BE-Dor",1.8786386388744,0.604213221011315,2016,14,14,0.0137694909315174,0.0696136710602193
"CH-Fru",3.44239062621607,0.377620603973464,2011,14,13,0.00433982168244638,0.533523551673251
"CZ-RAJ",1.44502538765157,0.588308622813568,2019,14,15,0.0159037178554098,0.384261865808702
"CZ-Stn",2.71191643793493,0.176750888098973,2021,14,11,-0.0117398419804809,0.30093947659675
"DE-Obe",2.16669335838717,0.536797958083658,2014,14,13,-0.00352692144474488,0.745950904292352
"DE-RuR",2.07589522177273,0.536687357284196,2016,14,10,0.0078075753455261,0.413661704954367
"CH-Aws",3.77568132614936,0.276027260307223,2020,14,10,5.72995739968995e-05,0.99575499751538
"ES-LJu",0.612411389617418,0.225851734576018,2020,14,12,-0.128619043031089,0.000148378081255793
"FR-FBn",1.39303593336856,0.361374940981865,2016,14,18,0.0649399538351433,0.000140405211499933
"FR-Fon",3.77036560990732,0.151494277458384,2024,14,12,0.00443461255820535,0.733276167644456
"GF-Guy",5.79180814090759,0.0442863840604838,2010,14,26,-0.0204371223257874,0.585729027356264
"IL-Yat",0.781189855712528,0.409727826141772,2005,14,11,-0.0233616615548054,0.0659536988728372
"SE-Deg",0.364814017499098,0.569799913185992,2020,14,8,0.0217817045088194,0.0673206108322541
"IT-SR2",3.3195107361504,0.346355256665085,2023,14,16,0.00652403949511559,0.645720901790632
"CH-Dav",5.14742448164461,0.169586419577074,2012,14,13,-0.0203979101301378,0.0457588601038704
"DE-Akm",2.8299605044361,0.321847009823997,2022,14,6,0.0292785849734273,0.309853240152668
"DE-Hte",1.82386041204176,0.300588226117638,2016,14,7,0.084912527597096,0.0180863027821498
"DE-Hzd",4.104561374184,0.200516363424263,2019,14,5,-0.0369757007349296,0.255097843453471
"DE-RuC",1.15758059712732,0.598783414949467,2019,14,4,0.025581063851446,0.223670454965359
"DE-RuW",3.09599599696477,0.365863641012393,2017,14,17,0.0224558759244421,0.244582475632504
"DE-SfS",4.68067767085073,0.14793722227208,2016,14,18,0.0554955903364959,0.0208004572367619
"FR-Bil",1.70466948146934,0.450853012842404,2017,14,17,-0.0565231473502061,6.51937938300616e-05
"SE-Nor",1.92217240719927,0.500437992097243,2015,14,5,-0.0316575531140329,0.236958538419178
"SE-Svb",1.76518597498005,0.484302757152542,2023,14,8,-0.0234165798278666,0.175776887699165
"UK-AMo",1.28581401106862,0.396126878715942,2004,14,7,0.0188038688030744,0.434553815052832
"CA-Mer",2.09511892030544,0.251770223452183,2002,14,10,0.0920104962139322,0.00118486940106851
"CA-TPD",3.76594229639025,0.160868195246174,2019,14,9,0.0174554924187398,0.337011499849344
"US-BZS",4.42091479134223,0.0919600619698248,2015,14,10,0.028268948701528,0.730658094149141
"US-Cwt",5.67552314964969,0.089875536495204,2024,14,7,-0.0322180198800462,0.458109485608363
"US-Rls",1.12614161087207,0.281271052434407,2015,14,10,-0.0487486424772099,0.00421989854221681
"US-Rws",0.835612490572268,0.271380294756731,2019,14,8,-0.0341351663019921,0.0180962672974733
"BR-Ma2",4.22620343418342,0.217567665313986,2005,14,26,0.0467090095608959,0.143557889476824
"BR-Sa1",4.31398119816756,0.149687567711653,2009,14,26,-0.0868184471012086,2.25698160650863e-05
