"site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"US-Uaf",2.13626009851529,0.259427208282816,2015,14,10,0.00947058319901404,0.503007808283731
"CA-Ca3",2.2660625580667,0.344927644160076,2013,14,14,-0.0318957171950418,0.0022887155891569
"CA-Cbo",4.59400473138119,0.124687743945316,2019,14,9,0.0134821837884983,0.31227325732707
"US-Ha1",3.3532072213773,0.120297432107639,1992,14,9,0.0189161545790901,0.0319509639931719
"US-Ha2",2.0673501048267,0.467753213760704,2011,14,14,-0.000460701498662742,0.960042871162728
"US-Var",3.33008277045469,0.172752076663428,2019,14,6,-0.0364867564916217,0.071074549771708
"US-Ton",2.3898747108946,0.220484747376487,2008,14,14,-0.0113617517143897,0.113912583878303
"US-Los",3.28833837054598,0.148239107526219,2006,14,7,-0.00162758585136767,0.867571046667464
"US-Wkg",1.04011679597224,0.283141282888138,2011,14,12,-0.139278770404118,0.00993683695552151
"US-SRM",1.20857792246772,0.315257486007881,2010,14,5,-0.15839638667539,2.87252111628511e-07
"US-CMW",1.14772513951567,0.635694677329939,2007,14,12,-0.0830048438816232,2.04388279753672e-12
"US-Ho1",2.91032588594501,0.371131158268346,2003,14,14,-0.000597843525145384,0.947756601690439
"US-Ho2",2.89685123978027,0.406423854372445,2020,14,15,-0.00252767728949171,0.613622727262064
"US-GLE",1.18679933521162,0.493370449340299,2015,14,10,-0.0208958669704222,0.0788015625456868
"US-Me2",1.12889216384789,0.819104720628868,2019,14,18,0.00951545193409354,0.358102641432251
"US-NR1",1.57160403348712,0.274269998620637,2005,14,11,-0.0116965727090484,0.0702710985502703
"US-WCr",3.05159376501893,0.137157020503711,2020,14,8,0.00557376641526915,0.636485449596656
"US-UMB",2.94149068859174,0.143550956746471,2010,14,9,0.00756772625950624,0.175515330955985
"US-MMS",2.11948333727859,0.213954490649972,2017,14,11,-0.0171389646264544,0.00661118236745477
"US-PFa",5.74301546127893,0.0942391358450328,2018,14,7,-0.019186415640557,0.0855893393264668
"US-Syv",3.64831121247841,0.314203606393839,2015,14,7,0.000125513812279195,0.992879368668381
"US-Whs",1.15650251419106,0.151827260402228,2011,14,5,-0.164936210216841,0.00168652841273406
"US-ICt",2.11447400089985,0.115393419691471,2015,14,4,-0.0233776004718372,0.578166656484987
"US-ICh",1.5108642576204,0.0555473330955427,2021,14,4,0.0181159433220389,0.167604175234362
"US-ICs",1.64463775431827,0.099496425767077,2021,14,4,0.0263182628513106,0.0123383739035047
"US-SRG",1.14254963988488,0.505668721068663,2009,14,13,-0.0925508653633677,6.76437065060053e-06
"US-IB2",1.8324988439347,0.41488140190491,2016,14,8,0.00580215381534722,0.535703433503731
"US-Kon",3.23577822525453,0.34383451564098,2010,14,7,-0.0494993144432526,0.000630655413719154
"US-MOz",3.57112856233689,0.115115163797103,2006,14,10,-0.0129255582301429,0.26057978618653
"US-NC2",2.72401638610604,0.480331752960111,2008,14,26,0.00779654197436308,0.323919117872797
"US-Bar",3.53809732098251,0.132127961779363,2006,14,9,0.0126793444541711,0.366263525497605
"CA-Oas",2.18684866884982,0.246133949532977,2007,14,7,-0.000543687814602573,0.95471390391314
"CA-TP4",3.62053836096453,0.273964979061675,2019,14,13,0.0135180771264145,0.0718117975566512
"CA-TP3",2.74288019666047,0.340767248128415,2023,14,15,0.00504583173434436,0.476524760129861
"CA-Man",0.764643726544497,0.819369001765561,2008,14,6,0.00200778735301622,0.870154282460686
"CA-LP1",2.2610460959562,0.236952578928261,2022,14,14,-0.000612747793566787,0.965324898570924
"CA-Ca1",3.57150839719702,0.48258831315185,2002,14,20,0.0342297999624996,2.10861216600087e-05
"CA-Gro",3.22000676665712,0.144033803658846,2010,14,8,-0.00878534486538662,0.549068712987082
"CA-Obs",1.25803196239823,0.645005781256135,2008,14,11,-0.00843559251998112,0.145312016897811
"CA-Ojp",1.65386665042247,0.39181643610486,2008,14,12,0.00275155492017427,0.732858953431967
"US-Jo2",0.976087650593308,0.114265041262438,2016,14,18,-0.112268804369032,0.00199749856820441
"US-MtB",1.26770172906327,0.280687517926278,2021,14,21,-0.00710796188552418,0.581802493101074
"US-LL1",1.92969353148483,0.307618652412755,2009,14,8,-0.00590239226877703,0.485823544503693
"US-BZB",4.18811240174711,0.111063648738818,2021,14,8,0.00685688531616989,0.653092886837622
"US-BZF",4.11481292361256,0.070527976402113,2021,14,6,-0.000679160038031506,0.980307665857316
"US-KL2",3.01555251842023,0.308394497056348,2011,14,8,-0.000295696290735797,0.988719426548999
"US-Ro4",2.01259726008739,0.30498984209585,2015,14,6,-0.0173870317345278,0.245480080366298
"US-KM4",3.13235985496934,0.367647152307656,2013,14,7,0.000353855086565702,0.979500171373913
"US-MBP",1.12424573614664,0.383466179255699,2020,14,12,-0.000896161221566532,0.935308798334257
"US-Myb",1.34102543273191,0.52356537416392,2019,14,12,-0.0239589836891228,0.447263248931658
"US-NC4",3.45485262433949,0.412017878242641,2015,14,16,0.0491559804562503,0.0018520241665233
"US-Tw1",1.11287735429098,0.56188412360877,2021,14,10,-0.0145140037231168,0.447781173867169
"US-Ced",2.28516841981709,0.458486575447517,2008,14,12,-0.00620309880442713,0.675035106916823
"US-Oho",2.89138532378562,0.150864497181091,2013,14,10,0.0223556701994056,0.0060592738375958
"US-Slt",3.12223028161378,0.291582964255534,2007,14,10,-0.0080880758742706,0.695800869980325
"US-Wrc",3.91906225646096,0.0825346876480902,2001,14,13,-0.002312603672692,0.883495473253853
"AU-Tum",4.46431774834151,0.207319879140441,2005,14,14,-0.0192490620291224,0.00536422955336971
"BE-Bra",3.02589021658303,0.182863233250809,2009,14,10,0.0067749695580495,0.454936766886761
"BE-Vie",3.09986033250861,0.25548736576181,2005,14,14,0.00677719713564518,0.131386315405987
"CH-Lae",4.37158417096609,0.116395989883436,2021,14,11,0.038563780516367,4.67740279100627e-08
"CZ-BK1",2.48379403590077,0.364486288366735,2022,14,15,0.00720831868111277,0.452878184702293
"CZ-wet",2.14481956016909,0.418032842022183,2006,14,5,0.0349225336006273,0.0121396762060352
"DE-Gri",1.92583521908186,0.576879444560196,2019,14,8,0.00970972979710297,0.448017817279696
"DE-Hai",1.60377979058543,0.257348872391177,2011,14,11,-0.01606634682805,0.0249901580997277
"DE-Tha",1.64294594057663,0.415171054929907,2009,14,15,0.00477621540126581,0.231789590206158
"DK-Sor",2.54278189524252,0.264086525198911,2008,14,10,-0.013628730911703,0.0241129003666165
"FI-Hyy",1.27432727366341,0.600099792551738,2014,14,10,-0.00628902160898372,0.0478193468048485
"FI-Sod",1.75505252085756,0.448627986669744,2005,14,10,0.00351753012400354,0.645160556181604
"FR-Pue",1.08034308060777,0.618984558286228,2009,14,13,0.00761712727767926,0.628627236801888
"IT-Lav",2.20660819472753,0.123078671868964,2011,14,13,0.0198636847465237,0.102895592954319
"IT-MBo",2.77351120288168,0.342402794973995,2007,14,4,-0.0154458003602103,0.186344221977805
"IT-Noe",1.48948883587451,0.376936517124957,2013,14,11,0.0521188405420896,0.0110464925616832
"IT-Ren",2.00846571676011,0.317043756421098,2005,14,16,-0.00343097973008376,0.731195079439212
"IT-SRo",2.41458501430089,0.375636806172458,1999,14,16,-0.0072885608751574,0.614985242500789
"NL-Loo",2.77710033342777,0.141949956119928,2017,14,11,-0.0164190370754873,0.0240511378445125
"RU-Fyo",2.08188206291143,0.634962947323392,2012,14,7,0.000489245784368842,0.95966765267294
"ZA-Kru",1.84464993689169,0.525934824159656,2001,14,8,-0.163339317863148,0.000750885412164071
"IT-Tor",2.84739404637033,0.110437757260728,2016,14,8,-0.0300019558200799,0.0347078871780594
"BE-Dor",1.87613525156374,0.605244001763966,2016,14,14,0.0120886063427238,0.0682436345275192
"CH-Fru",3.37270994126013,0.4024137906742,2007,14,13,0.0113570425419911,0.0348523996116923
"CZ-RAJ",1.42980634551284,0.596972589171041,2019,14,15,-0.00274338534258248,0.79563100191672
"CZ-Stn",2.68851519135177,0.192391959490093,2022,14,11,0.00302990972337493,0.682272481789478
"DE-Obe",2.13362016946998,0.550802432781365,2023,14,13,0.00444613661466398,0.481129562736411
"DE-RuR",2.16837074019969,0.523047172264959,2023,14,10,0.00874068807954446,0.26182417316591
"CH-Aws",3.78586382678855,0.271263145585269,2020,14,10,0.0228148695441154,0.0089637950583273
"ES-LJu",0.549905842344394,0.287189216314551,2020,14,12,-0.0495031260832069,0.195668081753736
"FR-FBn",1.39595228030246,0.358506329788127,2016,14,18,0.0366579123143039,0.00230439994750553
"FR-Fon",3.76094274240273,0.155493339691939,2024,14,12,0.00285397635211082,0.733537737493335
"GF-Guy",5.74531024733176,0.0512531626726689,2010,14,26,-0.0105195229573052,0.360637551997376
"IL-Yat",0.794590925124067,0.365490842263322,2008,14,11,0.0164009523710616,0.0784733739116134
"SE-Deg",0.366318280147639,0.566419689839084,2020,14,8,0.0167114043611485,0.0591275568165741
"IT-SR2",3.31065992777568,0.356497540692329,2020,14,16,-0.021644265571308,0.054384885231721
"CH-Dav",5.13142707326451,0.173087016560033,2012,14,13,-0.0134286385403924,0.0341884098437942
"DE-Akm",2.72585630045017,0.362659936375731,2011,14,6,0.0222075129341248,0.13366671828995
"DE-Hte",1.8205471785278,0.30302148559474,2016,14,7,0.0473438291414571,0.0421389737321003
"DE-Hzd",3.72129242687106,0.340730890096147,2016,14,5,-0.0342499468362214,0.036779237980964
"DE-RuC",1.15346643877781,0.601543651915639,2019,14,4,0.0198080241501986,0.203370793693502
"DE-RuW",3.41710805222876,0.38993279920811,2023,14,17,0.00996134124025031,0.307817867109317
"DE-SfS",4.67151272634799,0.151321556102221,2016,14,18,0.0181533091410713,0.106577665036829
"FR-Bil",1.70196828664035,0.452452837962599,2017,14,17,-0.0415094568239494,3.5734856704367e-05
"IT-TrF",2.85211974339334,0.0447195292367972,2019,14,13,0.0130670655597923,0.275817424041816
"SE-Nor",1.87376905014316,0.524199415883676,2023,14,5,-0.0238461182201271,0.13591076459205
"SE-Svb",1.46042113271196,0.666744822221295,2019,14,8,-0.00537072124733742,0.505727135230513
"UK-AMo",1.28268178696777,0.398835239690664,2004,14,7,0.0128929240050291,0.417039605336668
"CA-Mer",2.08229228142251,0.259788145709483,2002,14,10,0.0243756893988753,0.0176274787409175
"CA-TPD",3.7384758733713,0.172882365442287,2023,14,9,0.0169507977277484,0.186684672720553
"US-BZS",4.15871218002516,0.136449448268139,2015,14,10,-0.00404923483046532,0.834713187378077
"US-Cwt",5.62675116022811,0.10274074653521,2024,14,7,-0.0279463746195231,0.346841869168887
"US-Rls",1.1060322560882,0.306780155380698,2018,14,10,-0.0333969547442402,0.0365374657876597
"US-Rws",0.81608052079841,0.304681199320761,2018,14,8,-0.0235463879136078,0.0686118463917547
