site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
US-Uaf,2.31017106,0.155826146,2015,14,10,0.000224837,0.990635877
CA-Ca3,2.250783808,0.353240124,2014,14,14,-0.033349255,0.040982094
CA-Cbo,4.644275038,0.1057661,2020,14,9,0.011375384,0.528332816
US-Ha1,3.357408288,0.118471887,1992,14,9,0.027096595,0.031243572
US-Ha2,2.216627026,0.377779393,2022,14,14,0.02124225,0.332875257
US-Var,3.360418916,0.157625989,2002,14,6,-0.114545794,1.30E-06
US-Ton,2.42100807,0.199610921,2020,14,14,-0.024441256,0.014939778
US-Los,3.309572162,0.137200732,2001,14,7,0.01953125,0.107684949
US-Wkg,1.100078541,0.282737988,2006,14,12,-0.175895377,0.002888846
US-SRM,1.208401599,0.315118295,2005,14,5,-0.135723155,9.24E-11
US-CMW,1.177977116,0.616683403,2021,14,12,-0.096795771,1.45E-12
US-Ho1,2.925544486,0.364568752,1998,14,14,0.021021446,0.149285809
US-Ho2,2.901713632,0.404803104,2020,14,15,-0.003734023,0.603687975
US-GLE,1.235200028,0.471989377,2015,14,10,-0.047346433,0.048474002
US-Me2,1.328506793,0.737250732,2002,14,18,-0.032086091,0.016445144
US-NR1,1.633728554,0.258979542,2010,14,11,-0.037383546,0.001791583
US-WCr,3.106742168,0.110993162,2015,14,8,0.017681098,0.295905225
US-UMB,2.918654099,0.153643206,2006,14,9,-0.004424393,0.616527005
US-MMS,2.142939384,0.199439212,2015,14,11,-0.025500571,0.010629575
US-PFa,5.742413209,0.094425969,2018,14,7,-0.019113593,0.080769546
US-Syv,3.805427181,0.25424128,2018,14,7,-0.026807392,0.259946713
US-Whs,1.1610114,0.15313149,2012,14,5,-0.175124088,0.000980298
US-ICt,2.130750529,0.101807144,2023,14,4,-0.08870749,0.5180023
US-ICh,1.518266943,0.046199133,2024,14,4,-0.003248239,0.860765325
US-ICs,1.646130426,0.099120576,2014,14,4,-0.009859211,0.748646552
US-SRG,1.079626131,0.546985017,2012,14,13,-0.0887056,2.09E-08
US-IB2,1.820556464,0.422510696,2013,14,8,0.008128626,0.567442287
US-Kon,3.305257638,0.317274122,2015,14,7,-0.0771084,0.000321337
US-MOz,3.601470026,0.106323167,2021,14,10,-0.006177243,0.730961942
US-NC2,2.828654113,0.445601569,2008,14,26,-0.017834173,0.063595885
US-Bar,3.544720203,0.129106338,2016,14,9,0.022454308,0.360491182
CA-Oas,2.189546052,0.242758569,2005,14,7,-0.007581997,0.64926946
CA-TP4,3.613144146,0.277352468,2022,14,13,-0.016932252,0.045584558
CA-TP3,2.746361518,0.339475653,2018,14,15,0.009141609,3.48E-01
CA-Man,0.828388345,0.764933306,1995,14,6,0.033842285,0.088305106
CA-LP1,2.386882624,0.1863488,2009,14,14,-0.03559637,0.049633507
CA-Ca1,3.617988649,0.467102973,2002,14,20,0.029095443,0.008716794
CA-Gro,3.166382621,0.172483655,2011,14,8,0.008555912,0.710516688
CA-Obs,1.388837612,0.477221013,2005,14,11,-0.019301315,0.320296826
CA-Ojp,1.717348887,0.355614152,2005,14,12,-0.014045373,0.165975017
US-Jo2,0.983408154,0.098967932,2019,14,18,-0.104146303,0.002033807
US-MtB,1.29849874,0.262209602,2023,14,21,-0.050050128,0.001310878
US-LL1,1.955289325,0.289173329,2020,14,8,-0.006457545,0.49244878
US-BZB,4.21488955,0.099646176,2017,14,8,0.046867224,0.313532702
US-BZF,4.119570323,0.068400164,2014,14,6,-0.036447151,0.594970993
