site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
US-Uaf,2.279111822,0.161822281,2015,14,10,-0.004049561,0.825092714
CA-Ca3,2.277534384,0.337862602,2013,14,14,-0.033580272,0.007392741
CA-Cbo,4.626688278,0.110282012,2020,14,9,0.006748691,0.41460902
US-Ha1,3.360913753,0.111061742,2001,14,9,0.03312581,0.019364585
US-Ha2,2.222065207,0.377181071,2022,14,14,-0.012350293,0.432281756
US-Var,3.355799749,0.158151355,2002,14,6,-0.055115714,0.001658749
US-Ton,2.42282024,0.195149223,2020,14,14,-0.015157038,0.086991297
US-Los,3.310216585,0.135950044,2001,14,7,0.02531908,0.02472137
US-Wkg,1.101437976,0.280387928,2006,14,12,-0.076710934,0.076169438
US-SRM,1.218811708,0.304032327,2005,14,5,-0.006038135,0.731071277
US-CMW,1.179621682,0.615581106,2021,14,12,-0.081091006,1.39722341391932e-16
US-Ho1,2.943221034,0.359598675,1998,14,14,0.025809351,0.04179736
US-Ho2,2.93460547,0.391585581,2020,14,15,0.017687239,0.022245111
US-GLE,1.240551467,0.457835961,2016,14,10,0.010378539,0.316011915
US-Me2,1.350903608,0.729369037,2002,14,18,-0.03204216,0.014019066
US-NR1,1.636030549,0.256783142,2010,14,11,-0.027654624,0.011988087
US-WCr,3.104267957,0.111046896,2015,14,8,0.017891863,0.249672934
US-UMB,2.949534895,0.147935953,2006,14,9,0.001263244,0.879788411
US-MMS,2.164363996,0.196747318,2015,14,11,-0.013982032,0.119810107
US-PFa,5.735949518,0.096711913,2018,14,7,-0.007791275,0.600702424
US-Syv,3.788981811,0.257584651,2018,14,7,-0.000832648,0.96851606
US-Whs,1.159930203,0.15181064,2012,14,5,-0.022449175,0.620167264
US-ICt,1.923897988,0.133793619,2023,14,4,-0.176522871,0.052081128
US-ICh,1.472320218,0.065036062,2024,14,4,0.025384444,0.337615876
US-ICs,1.698789955,0.106450573,2014,14,4,0.055392862,0.250199905
US-SRG,1.089900061,0.538457337,2012,14,13,-0.041395773,0.000147225
US-IB2,1.822323519,0.420545332,2013,14,8,-0.021542143,0.01458209
US-Kon,3.327950583,0.307547075,2015,14,7,-0.009952221,0.193790505
US-MOz,3.60981792,0.103426068,2021,14,10,0.030297009,0.021778436
US-NC2,2.824093612,0.446791031,2008,14,26,-0.00805421,0.380302892
US-Bar,3.552346999,0.126001028,2016,14,9,-0.048690021,0.022862141
CA-Oas,2.197389238,0.236141021,2005,14,7,-0.006117511,0.684999737
CA-TP4,3.615058175,0.275122367,2022,14,13,-0.013927181,0.094016432
CA-TP3,2.761035328,0.341412481,2018,14,15,-0.07154756,5.67417178533915e-27
CA-Man,0.82730742,0.765550237,1995,14,6,0.020135094,0.29602661
CA-LP1,2.392691181,0.182263202,2009,14,14,-0.041106939,0.006310148
CA-Ca1,3.680426849,0.467893173,2002,14,20,0.031645281,0.003563585
CA-Gro,3.174598158,0.168137495,2011,14,8,0.016261016,0.436810201
CA-Obs,1.399884604,0.470450795,2005,14,11,-0.034938515,0.003704996
CA-Ojp,1.741596184,0.35552204,2005,14,12,-0.014708679,0.13478415
US-Jo2,0.98438784,0.096946169,2019,14,18,-0.066868454,0.051405027
US-MtB,1.301330784,0.259363762,2023,14,21,-0.044751465,0.002665004
