site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
US-Uaf,2.278158414,0.162883912,2015,14,10,-0.001177946,0.949113997
CA-Ca3,2.373004338,0.318703258,2013,14,14,-0.029779834,0.005711139
CA-Cbo,4.632977821,0.107558767,2020,14,9,0.00511326,0.529499917
US-Ha1,3.352392833,0.11570856,2001,14,9,0.04272869,0.002194067
US-Ha2,2.222136876,0.377112973,2022,14,14,-0.017344251,0.26976766
US-Var,3.340441005,0.165848664,2002,14,6,-0.042143494,0.018193073
US-Ton,2.402893443,0.208487919,2020,14,14,0.00532387,0.491925313
US-Los,3.307792535,0.137230468,2001,14,7,0.023713461,0.039227945
US-Wkg,1.09225714,0.292571047,2006,14,12,-0.077730221,0.108137371
US-SRM,1.167866491,0.360251661,2005,14,5,-0.078710683,6.48270325529613e-06
US-CMW,1.148063003,0.635611806,2021,14,12,-0.051431657,2.14120413217208e-11
US-Ho1,2.934932646,0.363233308,1998,14,14,0.023734909,0.100989371
US-Ho2,2.936310023,0.390877509,2020,14,15,0.025857619,0.001729899
US-GLE,1.241527098,0.456893164,2016,14,10,0.017607765,0.077367284
US-Me2,1.376562785,0.720459748,2002,14,18,-0.030523468,0.010811336
US-NR1,1.632968083,0.259590335,2010,14,11,-0.016479481,0.092265037
US-WCr,3.105223992,0.110403287,2015,14,8,0.021721378,0.178678301
US-UMB,2.93271862,0.157559276,2006,14,9,-0.002464361,0.72325144
US-MMS,2.141694199,0.213857019,2015,14,11,-0.023392981,0.001424587
US-PFa,5.7630575,0.088186605,2018,14,7,-0.014250819,0.337515883
US-Syv,3.815345941,0.245870783,2018,14,7,-0.017872122,0.384512226
US-Whs,1.149785078,0.166972838,2012,14,5,-0.068263814,0.205063438
US-ICt,1.923937189,0.134087061,2023,14,4,-0.183038885,0.051905343
US-ICh,1.472344241,0.065324433,2024,14,4,0.029333618,0.286329744
US-ICs,1.691612056,0.1160233,2014,14,4,0.057961206,0.256428738
US-SRG,1.008075451,0.606274877,2012,14,13,-0.040359875,0.00012206
US-IB2,1.812627595,0.426695993,2013,14,8,-0.029170248,0.001387321
US-Kon,3.308511662,0.315781853,2015,14,7,-0.031851823,0.000772953
US-MOz,3.597233667,0.1098081,2021,14,10,0.008336157,0.596513197
US-NC2,2.819311118,0.448699354,2008,14,26,-0.019389026,0.040520249
US-Bar,3.54666201,0.129137194,2016,14,9,-0.053357845,0.011798143
CA-Oas,2.174174993,0.252272854,2005,14,7,-0.021312524,0.072853134
