"site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"US-Uaf",2.26931033557835,0.165738903699677,2015,14,10,-0.00140642968881561,0.946139439508695
"CA-Ca3",2.27514770525075,0.34980922216808,2014,14,14,-0.00546922133302554,0.539722795819739
"CA-Cbo",4.55457971023531,0.137463648296085,2019,14,9,0.0458817314654528,0.00773125530812893
"US-Ha1",3.34359452089885,0.121234163688487,1992,14,9,0.0499758224163233,1.42413477267228e-05
"US-Ha2",2.06459387701842,0.463066569711316,2011,14,14,0.0495831438063001,0.0342925144209138
"US-Var",3.31080700398012,0.17388750659421,2002,14,6,0.00745029470284977,0.637340819146327
"US-Ton",2.41730878575364,0.202263961568138,2020,14,14,0.0129015202153137,0.112922091080312
"US-Los",3.30418214072486,0.139128100567786,2001,14,7,0.0285302299510373,0.0117984053978696
"US-Wkg",1.25606463070437,0.206580101464184,2006,14,12,0.04309649629459,0.0246240023872706
"US-SRM",1.16214207179217,0.36648437488722,2005,14,5,-0.0159151609178875,0.317360071726499
"US-CMW",1.09239736283672,0.669963976212169,2007,14,12,-0.0303086038190322,0.0196466102523203
"US-Ho1",2.92474853047141,0.367612967444923,1998,14,14,0.0485061664098497,7.7427850552069e-05
"US-Ho2",2.89342909440991,0.408515148184143,2020,14,15,0.00620244730991998,0.379997688712658
"US-GLE",1.19341183659213,0.489799443644447,2005,14,7,0.0638275862851605,0.017786794664689
"US-Me2",1.25404927492323,0.725573581946671,2002,14,18,-0.027191987417707,0.0685916648887594
"US-NR1",1.63027238242644,0.26193143257921,2010,14,11,0.022621628439489,0.0506353399159197
"US-WCr",3.10764723761723,0.108441629420886,2015,14,8,0.0474793774390516,0.00135258542288452
"US-UMB",2.9387297957402,0.157161220749083,2006,14,9,0.0104204194027399,0.332428570520516
"US-MMS",2.13799270135863,0.206499992981095,2015,14,11,-0.00688032275180628,0.373150144902967
"US-PFa",5.73342672595553,0.100125509170892,2018,14,7,0.0106892993583921,0.461151830695816
"US-Syv",3.7346963188091,0.27500122146872,2018,14,7,0.013895256770075,0.504141942438208
"US-Whs",1.23133494045426,0.141069034278538,2012,14,5,0.0718294921599579,0.0938704883022075
"US-ICt",2.25424052446225,0.0398252307488647,2015,14,4,0.0136685737116386,0.747864339478567
"US-ICh",1.52565312431253,0.0451246008386466,2024,14,4,-0.00757244696186615,0.585465746015086
"US-ICs",1.77658726822543,0.0717854169782834,2014,14,4,0.0125400959072563,0.64852914970816
"US-SRG",0.98632459665802,0.621943030472905,2012,14,13,-0.00159245107273773,0.850223269066163
"US-IB2",1.79357464567205,0.438698421129728,2016,14,8,0.0279456598532587,0.0564129686614393
"US-Kon",3.21030951714828,0.34041075813464,2010,14,7,-0.0181977666092709,0.190194188593843
"US-MOz",3.60103357781834,0.107797463498594,2021,14,10,0.0605368956829306,5.40729041088395e-06
"US-NC2",2.79363805485627,0.456173972707403,2008,14,26,0.0245529454712138,0.0600388856441819
"US-Bar",3.54642644341656,0.129377111976899,2006,14,9,0.0109127044745825,0.60435132938639
"CA-Oas",2.17037842293829,0.259764203676447,2005,14,7,-0.00983230424860588,0.474194476419141
"CA-TP4",3.60693060547604,0.278038976168553,2019,14,13,0.0504346394442909,9.09632999793953e-06
"CA-TP3",2.75047547791855,0.346073311126443,2023,14,15,0.0368263981301558,0.000194360484456474
"CA-Man",0.828690586984214,0.764763926468905,1995,14,6,0.0356428023432005,0.00884222542977065
"CA-LP1",2.38772557161253,0.193650519071296,2009,14,14,0.0165727733638445,0.382628526830186
"CA-Ca1",3.70080802629366,0.466388459913241,2002,14,20,0.0346871186926261,0.0049245455969845
"CA-Gro",3.22924812419176,0.139144353853304,2010,14,8,0.0391063951220026,0.0403665950110216
"CA-Obs",1.2856345383497,0.631575010503341,2008,14,11,-0.0559979546809499,0.000624058224621332
"CA-Ojp",1.72214794945863,0.370467313219948,2005,14,12,0.0132650713469925,0.3246434888858
"US-Jo2",0.992682204935507,0.117274594323969,2016,14,18,0.0119840118166341,0.551163444030985
"US-MtB",1.29366085728801,0.268599177014761,2023,14,21,-0.0203399957157617,0.179747743487383
"US-LL1",1.92699046279578,0.309601366366684,2009,14,8,0.0110898831321117,0.171960336619541
"US-BZB",4.24708841548046,0.105250317779095,2021,14,8,0.0780887615817289,0.0929007810144896
"US-BZF",4.12530227861247,0.061549607924192,2021,14,6,-0.0216392772493846,0.762474663301816
"US-KL2",2.99516188781965,0.319186366970577,2011,14,8,0.0225692902125171,0.262129685236069
"US-Ro4",1.98895252869172,0.328015194454499,2016,14,6,-0.0155348495984061,0.263931895923426
"US-KM4",3.14517669376351,0.351665660987907,2020,14,7,0.0194754442242689,0.195971636757527
"US-MBP",1.18706797847035,0.323466272419997,2020,14,12,0.0416044349818668,0.169900304100938
"US-Myb",1.3068963105714,0.416800853575523,2019,14,12,0.0215619220280889,0.65522273315735
"US-NC4",3.46658199625708,0.402646541304945,2015,14,16,0.0834381522707769,0.000706574554697387
"US-Tw1",1.14050218933599,0.429594377586636,2021,14,10,0.0367031206831694,0.58358119556691
"US-Ced",2.26221477454268,0.470544772993142,2008,14,12,0.00484486660230293,0.761512459099279
"US-Oho",2.88304667000271,0.155340905027361,2012,14,10,0.0320497324342527,0.0205467718020297
"US-Slt",3.0395919214217,0.321400913193821,2013,14,10,0.0260445325204353,0.360803875199392
"US-Wrc",3.87990981701605,0.0698647710022247,2004,14,13,0.0544135821961113,0.00196741844197573
"AU-Tum",4.39975508817314,0.225555225786749,2001,14,14,-0.0109029463116289,0.421283290431527
"BE-Bra",3.06078444171663,0.177937718844337,2009,14,10,0.064763731338028,0.000159962947806629
"BE-Vie",3.10208981192461,0.245093636962534,1999,14,14,0.0130786678357058,0.0983477105721377
"CH-Lae",4.46230418337253,0.103037538867146,2021,14,11,0.0458810571507776,2.76586272980268e-06
"CZ-BK1",2.48756018824031,0.355784656022277,2016,14,15,0.00898744587629309,0.541906680123103
"CZ-wet",2.1138277231703,0.426309596715986,2012,14,5,0.0172165392162826,0.326426206839125
"DE-Gri",1.91954915589956,0.591264366551645,2016,14,8,0.00503846114134898,0.737382088674829
"DE-Hai",1.61097733614076,0.251573948533681,2009,14,11,0.00651625126258206,0.44009906006763
"DE-Tha",1.64590217187939,0.418517025929736,2006,14,15,0.00978966347074289,0.151593418964172
"DK-Sor",2.53559894931187,0.269657793255151,2007,14,10,-0.0143651201139055,0.0903003609796413
"FI-Hyy",1.22622399235533,0.629410553212619,2005,14,10,-0.0135313589487276,0.00942136761053024
"FI-Sod",1.77198420286793,0.449838989197044,2005,14,10,0.00667870075555615,0.732997464875484
"FR-Pue",1.07020600011147,0.626605134219862,2011,14,13,0.0158314494378777,0.205327533219978
"IT-MBo",2.77244238324275,0.348400850287505,2010,14,4,-0.0175238835472808,0.297006682116206
"IT-Noe",1.39290529205176,0.403349407401931,2006,14,11,0.0260043136838119,0.0755421206637958
"IT-Ren",1.98818162611157,0.325003866160421,2005,14,16,-0.0175903224994052,0.176682632027451
"IT-SRo",2.43788062193008,0.38129564265007,2002,14,16,0.000949819843675287,0.938401599781866
"NL-Loo",2.80032000417129,0.144120011118141,2017,14,11,0.0322123825047103,0.012190906369345
"RU-Fyo",2.46531083877686,0.482945565290059,2013,14,7,-0.013810127988116,0.440065800730734
"ZA-Kru",1.74184345383155,0.581609657097822,2001,14,8,-0.0204675340424516,0.474390811240039
"IT-Tor",2.94790817935527,0.0663223462818983,2016,14,8,0.00290932633663256,0.921360474316344
"BE-Dor",1.8665888272934,0.618080268380967,2016,14,14,0.0122197078033982,0.0766085256705551
"CH-Fru",3.42964188940313,0.401536630590962,2011,14,13,0.00723736710963696,0.312044444670584
"CZ-RAJ",1.61533214214912,0.493493471388234,2019,14,15,0.0286602513203947,0.108049415432963
"CZ-Stn",2.70776238605991,0.173479637202223,2021,14,11,0.00220905403102648,0.873824774856355
"DE-Obe",2.12238526945807,0.553345146867947,2014,14,13,-0.0146788494372611,0.211117766238442
"DE-RuR",1.96847944265177,0.590145536939796,2016,14,10,0.0197116919117076,0.103109350538886
"CH-Aws",3.76476700910287,0.280139811877479,2020,14,10,0.0185320142075688,0.0989510243282256
"ES-LJu",0.640881575859984,0.148501478378313,2020,14,12,-0.0447837979167502,0.0108511203727846
"FR-FBn",1.36803229857826,0.377429892582427,2016,14,18,0.0644596139351045,2.35469778747188e-07
"FR-Fon",3.76455226306642,0.153228162275767,2024,14,12,0.0568941425558266,9.36171221483175e-06
"GF-Guy",5.83182305939169,0.0410548376695328,2010,14,26,0.195106039720433,2.15921883321777e-05
"IL-Yat",0.778616433456893,0.411344552354922,2005,14,11,-0.00257617855658485,0.79317770848247
"SE-Deg",0.353098574468944,0.597996713247426,2020,14,8,0.022113866145479,0.040669634593747
"IT-SR2",3.2243012244233,0.379068364212937,2023,14,16,0.0104922396340705,0.546469351780323
"CH-Dav",5.21395197536619,0.149035967151138,2012,14,13,-0.00829410059115918,0.296526821636352
"DE-Akm",2.8089963324262,0.332308476599968,2022,14,6,0.0334272403644448,0.232950750004474
"DE-Hte",1.82910836787238,0.290868065032067,2016,14,7,0.126988536220751,0.000344824741439903
"DE-Hzd",4.17878587121792,0.20833990729128,2019,14,5,-0.00254512238797737,0.926003675262365
"DE-RuC",1.14050494306182,0.610143149156868,2019,14,4,0.015659605180129,0.378215889045733
"DE-RuW",3.14705344470691,0.355916076969247,2017,14,17,0.0396027131618749,0.0395144117425254
"DE-SfS",4.81981612211038,0.12866388539293,2016,14,18,0.0276991562817181,0.120970717398194
"FR-Bil",1.66831394334488,0.466349829461154,2017,14,17,-0.00955282429994844,0.393806974321219
"SE-Nor",1.93804527898013,0.505807866839987,2015,14,5,-0.00593562774436565,0.860637876746238
"SE-Svb",1.72757499898885,0.479798652149953,2023,14,8,0.00501090781130121,0.820722931536784
"UK-AMo",1.27435695855461,0.404297549183573,2004,14,7,0.0206677946625157,0.238650475130923
"CA-Mer",2.10117036575808,0.249014748153373,2002,14,10,0.0984306806738262,5.53897093276548e-07
"CA-TPD",3.69846140474377,0.187571796404098,2019,14,9,0.0899796505155719,1.25599774606932e-05
"US-BZS",4.58709516056513,0.0454798527987145,2015,14,10,0.024411719429746,0.712306256664596
"US-Cwt",5.69099794695463,0.106083960988908,2024,14,7,0.0258071413052733,0.524654077468336
"US-Rls",1.09666800899649,0.322769513486648,2015,14,10,-0.0165119827289211,0.177331154931935
"US-Rws",0.80662913203328,0.321439704846536,2019,14,8,-0.00151310620691994,0.880770803300754
"BR-Ma2",4.23639445989446,0.214653668116227,2005,14,26,0.0907903607950785,0.00771133306826645
"BR-Sa1",4.48013782146233,0.104798946310707,2009,14,26,-0.132538708063642,0.00304352704579454
"CA-ARB",0.630825988651268,0.441424835545057,2011,14,8,-0.00981056590237211,0.661680571898937
"CA-ARF",0.849597876425454,0.337037704881588,2014,14,8,0.0602308623999865,0.0343421187946364
"CA-KLP",0.520382974745247,0.572259909205815,2018,14,8,-0.0243842631360427,0.29627993354052
"US-BZo",3.12845817147747,0.13032088302805,2025,14,8,0.352611644657082,0.0212808426560154
"US-ChR",4.06537124097942,0.0568910387911383,2011,14,12,0.111268340541583,7.8345581765037e-05
"US-Rms",1.16036850833887,0.494383500738166,2022,14,8,0.0455787556393364,0.0419612474193174
"US-SRS",2.07435718173024,0.122290448417546,2015,14,7,0.0131048871865728,0.668727531453138
