site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
US-Uaf,2.26934877,0.165753206,2015,14,10,-0.001425676,0.945467311
CA-Ca3,2.275275308,0.349625884,2014,14,14,-0.007064702,0.424590331
CA-Cbo,4.56983217,0.131711334,2019,14,9,0.04298339,0.0102248
US-Ha1,3.350539389,0.117578489,1992,14,9,0.044006199,9.18E-05
US-Ha2,2.069973287,0.460373028,2011,14,14,0.039726435,0.078895073
US-Var,3.32712649,0.165857265,2002,14,6,0.010646687,0.483603571
US-Ton,2.417292195,0.202338653,2020,14,14,0.012614213,0.119773398
US-Los,3.309162447,0.136491904,2001,14,7,0.02002816,0.051196852
US-Wkg,1.088464971,0.297988215,2006,14,12,0.025584747,0.380421924
US-SRM,1.166330084,0.361897167,2005,14,5,-0.019294392,0.174392959
US-CMW,1.105187916,0.66216805,2007,14,12,-0.025531573,0.041234187
US-Ho1,2.943850246,0.359279463,1998,14,14,0.034295179,0.002274209
US-Ho2,2.904538614,0.403940613,2020,14,15,0.004047502,0.55126201
US-GLE,1.202320174,0.482217376,2005,14,7,0.072078822,0.008870482
US-Me2,1.265243873,0.720724099,2002,14,18,-0.029308094,0.041733805
US-NR1,1.634844892,0.257619379,2010,14,11,0.020443431,0.060618213
US-WCr,3.12030567,0.101109155,2015,14,8,0.036747205,0.008293547
US-UMB,2.938969193,0.157075284,2006,14,9,0.006681728,0.530024271
US-MMS,2.140501875,0.204689629,2015,14,11,-0.010144174,0.186641369
US-PFa,5.756693107,0.092789515,2018,14,7,0.010915071,0.408486863
US-Syv,3.753735051,0.267636978,2018,14,7,0.011938258,0.512553315
US-Whs,1.148400872,0.169315671,2012,14,5,0.075078328,0.046483103
US-ICt,2.268654068,0.045600829,2015,14,4,-0.015084042,0.706021433
US-ICh,1.525730476,0.044968327,2024,14,4,-0.007183961,0.610351882
US-ICs,1.777485671,0.070709647,2014,14,4,0.013115545,0.64831992
US-SRG,0.993312992,0.616588196,2012,14,13,2.99E-05,0.996651742
US-IB2,1.798493091,0.435646578,2016,14,8,0.025190261,0.084124191
US-Kon,3.233564472,0.331208773,2010,14,7,-0.031070157,0.022758269
US-MOz,3.605410392,0.105573196,2021,14,10,0.046102701,0.000298563
US-NC2,2.798967132,0.454104495,2008,14,26,0.014438811,0.266447333
US-Bar,3.54802133,0.128904707,2006,14,9,0.011275832,0.570690945
CA-Oas,2.172483375,0.258674127,2005,14,7,-0.011919669,0.352555038
CA-TP4,3.630949627,0.268385386,2019,14,13,0.052519011,9.18E-07
CA-TP3,2.765305767,0.33898439,2023,14,15,0.023034853,0.008684932
