"site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"US-Uaf",2.31455776422564,0.150883655911141,2015,14,10,0.0146847370039524,0.490151881254055
"CA-Ca3",2.25594574894531,0.350420810501202,2014,14,14,-0.0118644734172535,0.439696090262923
"CA-Cbo",4.56024388240329,0.137607062181304,2019,14,9,0.0462176734224081,0.0284424942270015
"US-Ha1",3.34696542989223,0.123420120447036,1992,14,9,0.047932914352961,3.0140400803922e-05
"US-Ha2",2.05546361008826,0.46402705045312,2011,14,14,0.0485402767245591,0.0417813687090674
"US-Var",3.32548262428416,0.175050961335382,2002,14,6,0.0197185437927117,0.180610818366183
"US-Ton",2.41149239795713,0.205694207541837,2020,14,14,0.0107398759062065,0.165628951673582
"US-Los",3.30334489388067,0.140484498944755,2001,14,7,0.0248220555630006,0.0343481816283662
"US-Wkg",1.08624490775008,0.300745813494972,2006,14,12,-0.00459279723777881,0.894778387857098
"US-SRM",1.16178715767034,0.366891051667186,2005,14,5,-0.0293222342543441,0.0863187245407602
"US-CMW",1.09217590864097,0.670102445754518,2007,14,12,-0.0339112844741138,0.00879374045495224
"US-Ho1",2.91415921834116,0.369483086825971,1998,14,14,0.0467876862720791,0.000224002134599802
"US-Ho2",2.89110995626369,0.409131804165511,2020,14,15,-0.00333077466399445,0.622295744432171
"US-GLE",1.19586594379411,0.489498484920914,2005,14,7,0.0751589372738838,0.00869923011692246
"US-Me2",1.30928103135457,0.743897609054938,2002,14,18,-0.0277359000719371,0.0343456956128707
"US-NR1",1.6293834047777,0.262786318563566,2010,14,11,0.0213938904309417,0.0631733264765156
"US-WCr",3.10937077489053,0.108858050428965,2015,14,8,0.0456288308057216,0.00209959360994623
"US-UMB",2.90489298143103,0.160515499305309,2006,14,9,0.0193925154894911,0.0633106382116036
"US-MMS",2.14067945655204,0.200792857520858,2015,14,11,-0.0105649034352109,0.179311535730188
"US-PFa",5.71349703215324,0.102011750576761,2018,14,7,0.00943394505236106,0.51022479718078
"US-Syv",3.75663755559385,0.273634900293144,2018,14,7,0.0119943279418936,0.5742758455595
"US-Whs",1.14800418266072,0.173106134010976,2012,14,5,0.000804865220796025,0.987828714365771
"US-ICt",2.25756893243086,0.0374592732534078,2015,14,4,0.00714165530800227,0.926332618341058
"US-ICh",1.5200942049558,0.045165292985149,2024,14,4,-0.00999257926797643,0.592516473758585
"US-ICs",1.66321876015218,0.080276415045023,2014,14,4,0.0085784295283411,0.794641139110035
"US-SRG",0.985851352431976,0.622295816523458,2012,14,13,-0.00289104336481159,0.734446619361675
