"site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"US-Uaf",2.11219616794773,0.2717221595404,2015,14,10,0.0124138417411167,0.476374372143354
"CA-Ca3",2.27823765977369,0.339628885468692,2013,14,14,-0.0241673047426951,0.0120888478359956
"CA-Cbo",4.55429514239526,0.139762662658564,2019,14,9,0.0429739348546135,0.00177404593251209
"US-Ha1",3.34175875569885,0.126019695731776,1992,14,9,0.0330579402292975,4.33118801047739e-05
"US-Ha2",2.04513817552805,0.479166805160037,2011,14,14,0.0108561263074053,0.272781179706305
"US-Var",3.29910592140366,0.187997356015945,2019,14,6,0.00855329948351927,0.4818675550772
"US-Ton",2.3814369065013,0.225638327837564,2008,14,14,0.0129081770800612,0.0167976088098291
"US-Los",3.28081401541898,0.152216094359971,2006,14,7,0.00653324274882111,0.506691301440485
"US-Wkg",1.02292924184657,0.307053411698608,2011,14,12,-0.0200788567110721,0.594557487274844
"US-SRM",1.15478754566716,0.374658560278997,2010,14,5,-0.0271347252963595,0.233794709572299
"US-CMW",1.09078834687981,0.670932187323288,2007,14,12,-0.0289057420783173,0.00990929442196332
"US-Ho1",2.89714174692791,0.37678798989968,2003,14,14,0.0161163310553578,0.0344933392901794
"US-Ho2",2.88655774213529,0.410624839119123,2020,14,15,-0.00239836602061415,0.6121710795973
"US-GLE",1.17324193610942,0.50487214956785,2015,14,10,0.00694144306103977,0.595317334592495
"US-Me2",1.1293026257024,0.819334048331811,2019,14,18,0.0208126990277079,0.0516346599359878
"US-NR1",1.57184798049201,0.274132669730986,2005,14,11,0.018982017274973,0.00896326930942718
"US-WCr",3.0502538090379,0.137979211156139,2020,14,8,0.0120198228417218,0.263079411621829
"US-UMB",2.91860271093541,0.156893114093536,2010,14,9,0.0240585601743734,0.00077496235083684
"US-MMS",2.10923216460465,0.221474287655022,2017,14,11,-0.00644949247908243,0.202693664295231
"US-PFa",5.71387731184625,0.10185132781642,2018,14,7,0.0107332627666466,0.46315105176587
"US-Syv",3.5919583466823,0.335769220770539,2015,14,7,0.00758160862861424,0.583535534926222
"US-Whs",1.14308493653094,0.172510757323462,2011,14,5,0.103264676897904,0.0362996844162577
"US-ICt",2.14691237814043,0.0969158810645762,2015,14,4,-0.00964122165146193,0.803319132033403
"US-ICh",1.51280403656974,0.0540651067535852,2021,14,4,0.0127175012799577,0.307114999555492
"US-ICs",1.65674611875528,0.0857648360366462,2021,14,4,0.0139305497730017,0.252738644647439
"US-SRG",1.02503159078422,0.602134384203536,2009,14,13,-0.0264601581820057,0.0199927980893976
"US-IB2",1.78778884236272,0.443104137112708,2016,14,8,0.0181326731329472,0.0642355861271996
"US-Kon",3.16755854084756,0.371279567664483,2010,14,7,-0.0138234882413334,0.164438098989249
"US-MOz",3.56756679108399,0.116833106458566,2006,14,10,0.029913395337355,0.000670905128246686
"US-NC2",2.71350184917703,0.484340988521329,2008,14,26,0.0201578739926783,0.0188591213710093
"US-Bar",3.53665727501444,0.132633784604705,2006,14,9,0.0257014336810356,0.131334000456398
"CA-Oas",2.16571830653245,0.260229033342771,2007,14,7,0.0261154583528685,0.00190473752098208
"CA-TP4",3.60193152550342,0.28136861250646,2019,14,13,0.0320113636699348,5.04155739206528e-05
"CA-TP3",2.72547436745721,0.349125362424384,2023,14,15,0.0189324526398221,0.0170704160713777
"CA-Man",0.787604904736939,0.808536796698439,2008,14,6,0.00271433957126434,0.823045739202509
"CA-LP1",2.25237903547299,0.242817726499501,2022,14,14,0.0360899695397247,0.0316037274962388
"CA-Ca1",3.54568532012996,0.49005759577145,2002,14,20,0.042286303987896,1.00773976709046e-06
"CA-Gro",3.22387335729165,0.141970985593321,2010,14,8,0.00631464662119909,0.646723265875797
"CA-Obs",1.27017808323614,0.640546167945497,2008,14,11,-0.0125553659580204,0.0220689575587953
"CA-Ojp",1.63200391704875,0.406993176918323,2008,14,12,0.0205910948362264,0.068591945450581
"US-Jo2",0.965017819086167,0.134263285179304,2016,14,18,9.41016327699885e-05,0.99688676745761
"US-MtB",1.26199219407809,0.287036380982573,2021,14,21,0.00933222294569237,0.476492019499049
"US-LL1",1.92730844108322,0.309398615177362,2009,14,8,0.0110094749955672,0.140077316627838
"US-BZB",4.18941618894572,0.110336634234555,2021,14,8,0.0172734575322118,0.332086198396432
"US-BZF",4.12263965831747,0.0676727559126978,2021,14,6,0.00316181782126141,0.909490805809732
"US-KL2",2.98078757060827,0.324300134130062,2011,14,8,0.0142046620255647,0.485482039736991
"US-Ro4",1.97584435647815,0.329311064732011,2015,14,6,-0.00614379439127027,0.610134402156674
"US-KM4",3.12308023289571,0.371369069384874,2013,14,7,0.0252169406691632,0.0262842150688479
"US-MBP",1.11777238496133,0.390514277418038,2020,14,12,0.0110152547053212,0.307376825458179
"US-Myb",1.35396134628432,0.513226120426696,2019,14,12,-0.0148462820319992,0.552249268314351
"US-NC4",3.45487099439098,0.412013173079971,2015,14,16,0.0570299262090565,0.00165850619326912
"US-Tw1",1.1165546904747,0.559053968712523,2021,14,10,-0.0146393137446356,0.511088953976536
"US-Ced",2.24728418574571,0.476226803327542,2008,14,12,0.000410765014642943,0.972925430497057
"US-Oho",2.86935376918759,0.163721787665438,2013,14,10,0.0410818932339361,2.84068088157732e-05
"US-Slt",3.09031173933911,0.306047552852966,2007,14,10,0.00633931715168347,0.709066405455878
"US-Wrc",3.929141818308,0.0775826109454129,2001,14,13,0.0366490911656702,0.015790850100408
"AU-Tum",4.43403175064045,0.217527459975097,2005,14,14,-0.0197903647992419,0.0134665264182981
"BE-Bra",3.02100242052517,0.185351400158239,2009,14,10,0.0313401337987763,0.000611787744933983
"BE-Vie",3.101782847988,0.25431600446568,2005,14,14,0.00766224130718156,0.1261308269989
"CH-Lae",4.38178757043082,0.112093619067928,2021,14,11,0.0392616618129111,2.26547692568053e-08
