"site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"US-Uaf",2.27458175724943,0.162009923292163,2015,14,10,-0.0151021877414973,0.424071615812747
"CA-Ca3",2.25928340934373,0.358535666924371,2014,14,14,0.000997319796801403,0.902647601682052
"CA-Cbo",4.57598654912908,0.12935333690996,2019,14,9,0.0273653998549692,0.0776800303485967
"US-Ha1",3.34920971038075,0.118299465239432,1992,14,9,0.0360985731986778,0.00186773141280001
"US-Ha2",2.07804203553189,0.455999195085812,2011,14,14,0.038724598966052,0.0770187591310045
"US-Var",3.32049545133814,0.168978486328439,2002,14,6,-0.0317371884418262,0.0859291198173496
"US-Ton",2.40764149889371,0.20889103527248,2020,14,14,0.00683235869741786,0.396622831204272
"US-Los",3.30638873879671,0.13795108950962,2001,14,7,0.0276645098277703,0.0168389888791234
"US-Wkg",1.25971346024858,0.202811248620458,2006,14,12,-0.0185446357140642,0.296461263803602
"US-SRM",1.16365462471863,0.364864473175659,2005,14,5,-0.0631341742530941,4.0455769737835e-05
"US-CMW",1.11377263410029,0.656906093387347,2007,14,12,-0.0399317140671522,0.000436088268163757
"US-Ho1",2.93496224597149,0.363207943681367,1998,14,14,0.0259055838495533,0.0663164658461685
"US-Ho2",2.9016478294081,0.405165959539569,2020,14,15,0.00988490028647959,0.165265778198183
"US-GLE",1.20577158214523,0.479178406700251,2005,14,7,0.0585020068716197,0.0136771172553424
"US-Me2",1.2546602615902,0.725445936101228,2002,14,18,-0.0361953776946628,0.0149726362732428
"US-NR1",1.63268538875123,0.259852991224008,2010,14,11,-0.00357021593471331,0.714816133620295
"US-WCr",3.10189661389043,0.11228044203474,2015,14,8,0.0299413027893874,0.0440924305087796
"US-UMB",2.94024295633276,0.157151834016539,2006,14,9,0.00624302118830449,0.40504648306902
"US-MMS",2.12661083134842,0.215249295217143,2015,14,11,-0.0180377411378454,0.0145989897226805
"US-PFa",5.7304073614892,0.10140474392086,2018,14,7,0.00221443180513759,0.868170590775371
"US-Syv",3.75368613736154,0.267515357911311,2018,14,7,0.00661800269836169,0.738126394568354
"US-Whs",1.23532382778723,0.135816470552907,2012,14,5,-0.0212798444555231,0.678553333493327
"US-ICt",2.13374311758706,0.099213823263871,2015,14,4,-0.0237862461963356,0.681495268286331
"US-ICh",1.52827159600698,0.0414089564856122,2024,14,4,0.00321850307358097,0.837750915584698
"US-ICs",1.74758182392887,0.100491279821399,2014,14,4,0.0354937224241192,0.250855013637776
"US-SRG",0.991080327626895,0.618246827567672,2012,14,13,-0.0170331618155377,0.0793102007015549
"US-IB2",1.80953523380844,0.428668477209491,2016,14,8,0.0287167758650783,0.0201433860767295
"US-Kon",3.24455416254067,0.32621129501836,2010,14,7,-0.0406072368773807,0.00716717475485498
"US-MOz",3.59515227586331,0.110808537322982,2021,14,10,0.0204581405019077,0.157396703323122
"US-NC2",2.80026622219525,0.45361594035302,2008,14,26,0.00695512120374153,0.490224524360997
"US-Bar",3.54596206623335,0.130011774363414,2006,14,9,0.0038789609201157,0.841571456393668
