site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
US-Uaf,2.274658,0.1619466,2015,14,10,-0.014753014,0.435192144
CA-Ca3,2.259201,0.3585792,2014,14,14,0.000947476,0.907515547
CA-Cbo,4.575958,0.1293663,2019,14,9,0.027233634,0.079126304
US-Ha1,3.349146,0.118334,1992,14,9,0.036066208,0.001850318
US-Ha2,2.078004,0.4560159,2011,14,14,0.038844415,0.076387366
US-Var,3.320524,0.1689602,2002,14,6,-0.032130682,0.083307544
US-Ton,2.407663,0.2088733,2020,14,14,0.00695899,0.388187566
US-Los,3.306387,0.1379517,2001,14,7,0.027482463,0.016830517
US-Wkg,1.259673,0.2028487,2006,14,12,-0.018414254,0.300959255
US-SRM,1.163662,0.3648568,2005,14,5,-0.06376981,0.000117975
US-CMW,1.113772,0.6569061,2007,14,12,-0.039912876,0.000438039
US-Ho1,2.935028,0.3631791,1998,14,14,0.026141052,0.063737273
US-Ho2,2.90161,0.4051829,2020,14,15,0.009927628,0.163504969
US-GLE,1.205776854,0.479173905,2005,14,7,0.058675104,0.013240031
US-Me2,1.254666302,0.725442849,2002,14,18,-0.036070353,0.015364368
US-NR1,1.632710664,0.259842299,2010,14,11,-0.003632729,0.709912322
US-WCr,3.102005349,0.112208705,2015,14,8,0.030325277,0.041679618
US-UMB,2.940363526,0.157059215,2006,14,9,0.006114927,0.415397765
US-MMS,2.126601603,0.215271608,2015,14,11,-0.01793913,0.014981235
US-PFa,5.730067412,0.101506323,2018,14,7,0.001685239,0.899535529
US-Syv,3.753605257,0.267559837,2018,14,7,0.006566784,0.739942855
US-Whs,1.235299149,0.13585879,2012,14,5,-0.021282251,0.678852255
US-ICt,2.133682379,0.099257975,2015,14,4,-0.025073344,0.664531237
US-ICh,1.528420419,0.041222188,2024,14,4,0.002933683,0.851693112
US-ICs,1.747612896,0.100430994,2014,14,4,0.035590244,0.249345184
US-SRG,0.991073969,0.618252347,2012,14,13,-0.017142646,0.077380818
US-IB2,1.809573506,0.428644427,2016,14,8,0.028506093,0.020971857
US-Kon,3.244566835,0.326210101,2010,14,7,-0.040688229,0.007130583
US-MOz,3.595137187,0.110812558,2021,14,10,0.020501113,0.157249057
US-NC2,2.800262431,0.453613272,2008,14,26,0.00686912,0.495232341
US-Bar,3.546002672,0.129982318,2006,14,9,0.004345724,0.822426722
CA-Oas,2.180789194,0.252704284,2005,14,7,-0.025052187,0.046531534
CA-TP4,3.615682404,0.274619966,2019,14,13,0.034293518,0.001255586
CA-TP3,2.761186086,0.340975814,2023,14,15,0.025211413,0.010408522
CA-Man,0.828389042,0.764933685,1995,14,6,0.025872255,0.070510563
CA-LP1,2.387863673,0.193489262,2009,14,14,0.029633489,0.110343001
