"","site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"1","US-Uaf",2.28070104120391,0.160297787820575,2015,14,10,-0.00298705520055947,0.873242703452923
"2","CA-Ca3",2.28175363705461,0.33558174567601,2013,14,14,-0.0313461903759453,0.00972309559824799
"3","CA-Cbo",4.62657472701596,0.11030997132426,2020,14,9,-0.00269238141302126,0.724494474947825
"4","US-Ha1",3.36141001923338,0.110953314050601,2001,14,9,0.028112537403794,0.0405520390991588
"5","US-Ha2",2.22294258817869,0.376479714751739,2022,14,14,-0.0303520987927124,0.0369487195440697
"6","US-Var",3.3542095517051,0.158852751857776,2002,14,6,-0.0213115037316732,0.0883136863445262
"7","US-Ton",2.41840929295373,0.197962702066291,2020,14,14,-0.00781728391548764,0.299201385710329
"8","US-Los",3.31475964347075,0.133642188911563,2001,14,7,0.020431972221639,0.0479931594748133
"9","US-Wkg",1.10043825774209,0.281696791920433,2006,14,12,-0.0696268430270097,0.105013914311514
"10","US-SRM",1.22117211085211,0.301314370078193,2005,14,5,-0.0483737490576036,0.00018344598757419
"11","US-CMW",1.16053189137921,0.627529381335054,2021,14,12,-0.0745818459010531,1.60529932347845e-16
"12","US-Ho1",2.94689528798894,0.35801141488684,1998,14,14,0.0242757236170646,0.0492857617295937
"13","US-Ho2",2.93749985011955,0.390411800113527,2020,14,15,0.0188450178213278,0.0135160483837273
"14","US-GLE",1.24128345049153,0.457239460591082,2016,14,10,0.0121274847704084,0.235137822952548
"15","US-Me2",1.34113094135768,0.73297839554241,2002,14,18,-0.0286586050144224,0.0245979608495207
"16","US-NR1",1.63461145066361,0.258052930826445,2010,14,11,-0.0137874295933984,0.164527001140343
"17","US-WCr",3.10657338392546,0.10897010147428,2015,14,8,0.000226217294223334,0.9873659922373
"18","US-UMB",2.94406483828711,0.150975001709719,2006,14,9,0.0040753097844997,0.592257202260554
"19","US-MMS",2.15406335595224,0.204386417612639,2015,14,11,-0.0211497468905539,0.0104426010290493
"20","US-PFa",5.72579315524066,0.0983581753624204,2018,14,7,-0.00878542439546997,0.575725348045262
"21","US-Syv",3.79706067897814,0.253613666132358,2018,14,7,-0.000866409093036907,0.966163000003996
