"","site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"1","US-Uaf",2.27966393698271,0.162003746813055,2015,14,10,-0.0052454232693779,0.768127132983915
"2","CA-Ca3",2.27416462919345,0.339853526695277,2013,14,14,-0.0358565064920854,0.00597615575941789
"3","CA-Cbo",4.63984102865814,0.105137881534379,2020,14,9,0.0116009205119399,0.165003449001294
"4","US-Ha1",3.35730060882173,0.11318472144181,2001,14,9,0.0325771889069112,0.0268614756798567
"5","US-Ha2",2.22008694058675,0.378310959901922,2022,14,14,-0.0171886554206178,0.278270285676114
"6","US-Var",3.3574940765284,0.157344018463507,2002,14,6,-0.113895148514601,1.3235785100233e-06
"7","US-Ton",2.41916631008407,0.19769389819013,2020,14,14,-0.0225122433768937,0.0216704477322907
"8","US-Los",3.30970142989451,0.136222488697739,2001,14,7,0.0225499563051012,0.0511005559458389
"9","US-Wkg",1.10103141616201,0.281085553159895,2006,14,12,-0.177229490096312,0.00183067028468423
"10","US-SRM",1.20841428281775,0.315101537319245,2005,14,5,-0.135713806104454,8.89879435564844e-11
"11","US-CMW",1.17798562822404,0.616673840538832,2021,14,12,-0.0832202646973061,1.03463519625529e-16
"12","US-Ho1",2.93465606349753,0.363359820543582,1998,14,14,0.0206527769233167,0.153538861007964
"13","US-Ho2",2.93556139719257,0.39118499390159,2020,14,15,0.0211754786667134,0.011247009505787
"14","US-GLE",1.24063704752487,0.457710759703559,2016,14,10,0.0106902016873158,0.29676759066185
"15","US-Me2",1.3370486085062,0.735321234091466,2002,14,18,-0.0326812458898899,0.013699907249516
"16","US-NR1",1.63424540780385,0.258479488822314,2010,14,11,-0.0362907575603971,0.00216693228871368
"17","US-WCr",3.10505101932127,0.110569016841455,2015,14,8,0.0161353457742939,0.333312993933437
"18","US-UMB",2.94440243784691,0.151012828748399,2006,14,9,-0.00220129299944099,0.794540852112803
"19","US-MMS",2.15395402053131,0.204838702639529,2015,14,11,-0.0256169673702663,0.00646471875917153
"20","US-PFa",5.76305312300426,0.0882873621367092,2018,14,7,-0.0206720689843231,0.169318803955771
"21","US-Syv",3.79912837838216,0.253053123636768,2018,14,7,-0.027451237736099,0.232424850029298
"22","US-Whs",1.15815305197384,0.154203480285736,2012,14,5,-0.175603360485006,0.00111450494689871
"23","US-ICt",1.92240452618493,0.135296472935999,2023,14,4,-0.177390768212129,0.0617829087534166
"24","US-ICh",1.47189180636141,0.0658907649119733,2024,14,4,0.032260721787051,0.225608311197544
"25","US-ICs",1.69527662089689,0.111194859528587,2014,14,4,0.0629558155943466,0.207501771989949
"26","US-SRG",1.0795861404132,0.54701920675096,2012,14,13,-0.0918530509883895,1.5320611320646e-08
"27","US-IB2",1.8208009529906,0.421540053098424,2013,14,8,-0.0274479536871617,0.00416114693901856
"28","US-Kon",3.30500625300721,0.317380852280308,2015,14,7,-0.0286892010769533,0.00431820487617028
"29","US-MOz",3.60359516493224,0.106606368832157,2021,14,10,-0.00510139860078244,0.769975003269554
"30","US-NC2",2.82402702476951,0.446837815258132,2008,14,26,-0.0205634222356586,0.0324423872431915
"31","US-Bar",3.54686296394065,0.129051425571321,2016,14,9,-0.0526423476330868,0.0119403417064162
"32","CA-Oas",2.18603170605998,0.244445498062428,2005,14,7,-0.0112242242965653,0.493836344159479
"33","CA-TP4",3.61108245412722,0.276854139781534,2022,14,13,-0.0178242421086301,0.0343038283782501
"34","CA-TP3",2.76502645896044,0.339436925150804,2018,14,15,-0.0747937919239326,6.9743074516248e-28
"35","CA-Man",0.82838476746018,0.764935779638451,1995,14,6,0.0338906664976383,0.0880131486004559
"36","CA-LP1",2.38695603701139,0.186302224380357,2009,14,14,-0.0355745605042263,0.0490199363085953
"37","CA-Ca1",3.68877134383652,0.465562843975474,2002,14,20,0.025609238297875,0.0185720804551536
"38","CA-Gro",3.16647701643262,0.172429112908373,2011,14,8,0.00873495630101394,0.704526231489664
"39","CA-Obs",1.39326442482277,0.475517304099587,2005,14,11,-0.0343426606393086,0.00462943188162858
"40","CA-Ojp",1.73655278624573,0.35948967441552,2005,14,12,-0.0164249558223644,0.0978034057884
"41","US-Jo2",0.983420897210466,0.0989629714210514,2019,14,18,-0.0534135862403862,0.121942846909168
"42","US-MtB",1.29942095758352,0.261685211017765,2023,14,21,-0.0512786860888175,0.000904937269892993
"43","US-LL1",1.95528172390254,0.289178256828423,2020,14,8,-0.0254328286542124,0.00120201074532236
"44","US-BZB",4.25143563284201,0.103495760816274,2017,14,8,-0.0451695463306266,0.000978351193960395
"45","US-BZF",4.12336570893314,0.0681660899299977,2014,14,6,-0.0471261236248993,0.0258045009349634
