"","site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"1","US-Uaf",2.39398264230043,0.099670129934914,2015,28,5,0.00569039620334595,0.839844987932522
"2","CA-Ca3",2.28365941365149,0.333644783263491,2013,28,7,-0.0559029595988971,0.00859502786407909
"3","CA-Cbo",4.75177986088638,0.0770146397856223,2020,28,4,0.0197163163021648,0.0772756808836848
"4","US-Ha1",3.42133622982456,0.0855803613859296,2001,28,4,0.0262510944962672,0.325574778734377
"5","US-Ha2",2.24005517281405,0.36597329041956,2022,28,7,-0.0196048025670072,0.373495321112806
"6","US-Var",3.42139041966939,0.131198627479587,2002,28,3,-0.120136897946634,0.000256540890957301
"7","US-Ton",2.42657589862157,0.19283147378139,2020,28,7,-0.0308900422223044,0.0458004551014268
"8","US-Los",3.29107440114377,0.135308328315757,2001,28,4,0.0081341210180492,0.570113940935424
"9","US-Wkg",1.01142845245123,0.28391075202307,2006,28,6,-0.296078020668524,0.00267481532573361
"10","US-SRM",1.22628028086395,0.286808993341059,2005,28,3,-0.177016058144468,2.2578540888264e-09
"11","US-CMW",1.24808377330814,0.569556961431128,2021,28,6,-0.0843667185509325,1.00132330836066e-09
"12","US-Ho1",2.99435667886992,0.336917531965579,1998,28,7,-0.0226189282814112,0.346425556348945
"13","US-Ho2",2.97461891210111,0.375129316538753,2020,28,8,0.00116684428657596,0.917214454527077
"14","US-GLE",1.27243203045665,0.430992299648574,2016,28,5,0.0123146677742825,0.49063233937569
"15","US-Me2",1.3536790321285,0.727886066173165,2002,28,9,-0.041430873947647,0.0680838939245962
"16","US-NR1",1.63175654190632,0.264555905829735,2010,28,6,-0.0505538224374043,0.0032854106143385
"17","US-WCr",3.14178392805439,0.0950303284785524,2015,28,4,-0.00448906233388515,0.853780134443619
"18","US-UMB",3.01009592459876,0.130725006316157,2006,28,4,-0.00519638909490672,0.731253382605653
"19","US-MMS",2.1625490502068,0.19961257801395,2015,28,6,-0.0251743534445772,0.0845211469098825
"20","US-PFa",5.90131012396133,0.0701178376936462,2018,28,3,-0.0306061989466365,0.264197085707969
"21","US-Syv",3.8450918893774,0.231362332727368,2018,28,4,-0.0431745101920307,0.226486891223953
"22","US-Whs",1.15376408867056,0.141530175386096,2012,28,3,-0.253269389715296,0.000158495418742823
"23","US-ICt",1.93725711443333,0.128823441105556,2023,28,2,-0.194383516852731,0.191594132020688
"24","US-ICh",1.48346136694686,0.0658716226717381,2024,28,2,0.0524933941794891,0.211947625384198
"25","US-ICs",1.69198954861768,0.108129219919498,2014,28,2,0.0873868691192503,0.332126909113014
"26","US-SRG",1.10578407416062,0.526010675054406,2012,28,6,-0.0993564635340601,4.31135727130504e-05
"27","US-IB2",1.83942913190765,0.411424138202865,2013,28,4,-0.0402487097104579,0.00407712104769551
"28","US-Kon",3.30286623897399,0.306940491275319,2015,28,4,-0.0340292659884278,0.017042582336369
"29","US-MOz",3.62693188436974,0.0987172165645146,2021,28,5,-0.0238774198225282,0.40847583763502
"30","US-NC2",2.79332258402496,0.458002216889523,2008,28,13,-0.0356642917812541,0.0133412525904376
"31","US-Bar",3.51747525949832,0.122730923532981,2016,28,5,-0.0654513214282063,0.0418045337189029
"32","CA-Oas",2.20536609399784,0.227158028512947,2005,28,4,-0.0206494122451678,0.386129585146809
"33","CA-TP4",3.67319582773929,0.268940689171447,2022,28,6,-0.0287036713676801,0.0340254325209836
"34","CA-TP3",2.78242220517286,0.324960555203319,2018,28,8,-0.0855314871064388,1.90548839814242e-23
"35","CA-Man",0.884737370560506,0.760740446162199,1995,28,3,0.00983088866276515,0.744573765712207
"36","CA-LP1",2.27049465012082,0.227086595114319,2009,28,7,-0.000493352101771203,0.986013494606406
"37","CA-Ca1",3.71070691858522,0.46376977338977,2002,28,10,0.0309564921599021,0.073191469966261
"38","CA-Gro",3.17698465634473,0.165006675976897,2011,28,4,0.00320415091249149,0.938609921560403
"39","CA-Obs",1.38585096481836,0.47422390253197,2005,28,6,-0.0345322835036793,0.052804088231965
"40","CA-Ojp",1.6201199974189,0.41218443854737,2005,28,6,-0.0245136622553034,0.126498854521486
"41","US-Jo2",0.992815312043984,0.0849999558607589,2019,28,9,-0.0808596166965963,0.103247308163434
"42","US-MtB",1.28813084505445,0.262300715011432,2023,28,11,-0.0323519456747689,0.179752600324266
"43","US-LL1",1.96859918542874,0.28269455883554,2020,28,4,-0.0355510786744354,0.00316504723337734
"44","US-BZB",4.27386487000752,0.0994273378180969,2017,28,4,-0.059364230981313,0.0059271790363085
"45","US-BZF",4.12666454000359,0.0704620091800608,2014,28,3,-0.0686500485345885,0.0203007792050162
"46","US-KL2",3.0705411046343,0.27799920046713,2019,28,4,-0.0398819512004845,0.00101387671503647
"47","US-Ro4",2.06961571808643,0.277310383430617,2016,28,3,-0.0255644229655796,0.313028664933856
"48","US-KM4",3.16052064842941,0.340912548935411,2020,28,4,-0.0127595478118501,0.59785699939873
"49","US-MBP",1.21168176867381,0.301147536433768,2019,28,6,-0.0601244660690469,0.0019446469713845
