"","site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"1","US-Uaf",2.27808594872685,0.162886902959248,2015,14,10,-0.00181596869944647,0.921954334634174
"2","CA-Ca3",2.27404094036414,0.339928707976871,2013,14,14,-0.0357056894040207,0.0061524218734721
"3","CA-Cbo",4.63287771651485,0.107602428420397,2020,14,9,0.00517048659815769,0.525010375452907
"4","US-Ha1",3.35728393020398,0.113201156628266,2001,14,9,0.0331694006569346,0.024373924083883
"5","US-Ha2",2.22002159019096,0.378364786247744,2022,14,14,-0.0169397098617357,0.28519434898772
"6","US-Var",3.34047486936665,0.16583819899622,2002,14,6,-0.0422091952217659,0.0181010213429054
"7","US-Ton",2.40289773667169,0.208499788205327,2020,14,14,0.005400673770308,0.484718965907787
"8","US-Los",3.30981687514646,0.136160417269296,2001,14,7,0.0227742095774244,0.050195683968712
"9","US-Wkg",1.09226533954621,0.292559598405504,2006,14,12,-0.0773817663031073,0.10967290684972
"10","US-SRM",1.16783317003202,0.360280077084342,2005,14,5,-0.0788671141010438,6.03117570226227e-06
"11","US-CMW",1.14808758352042,0.635593685493359,2021,14,12,-0.0513929937836307,2.22339572809758e-11
"12","US-Ho1",2.93474673790947,0.363313929183285,1998,14,14,0.0208740385342006,0.149546395821175
"13","US-Ho2",2.93552212552692,0.391200011256955,2020,14,15,0.0212781821697073,0.0107627347715207
"14","US-GLE",1.24058747541853,0.457755019736291,2016,14,10,0.0106093744559252,0.300023369100441
"15","US-Me2",1.33704760155935,0.735300816965162,2002,14,18,-0.0327307699450359,0.0135909158978128
"16","US-NR1",1.63292516755316,0.25963306513974,2010,14,11,-0.0167731313837004,0.0872561510762296
"17","US-WCr",3.10528463962825,0.110366236379844,2015,14,8,0.0217049069323774,0.178268529622669
"18","US-UMB",2.93292097168761,0.157401979545722,2006,14,9,-0.00257755582788964,0.710668559477855
"19","US-MMS",2.14163584890973,0.213888386678805,2015,14,11,-0.023773242330318,0.00116888925934913
"20","US-PFa",5.7633105473197,0.0882584174910103,2018,14,7,-0.0204530523908566,0.1744207006238
"21","US-Syv",3.81521592796032,0.245927575211018,2018,14,7,-0.0178774131003348,0.383998686272419
"22","US-Whs",1.14974713338896,0.167022424596274,2012,14,5,-0.0685422632946754,0.204278928017259
"23","US-ICt",1.92271742415295,0.13503997222571,2023,14,4,-0.178328589068753,0.0606693503974352
"24","US-ICh",1.47184529204037,0.0659494434058482,2024,14,4,0.0318986455884883,0.22989609594822
"25","US-ICs",1.6954737574501,0.110937884735392,2014,14,4,0.0635831516647116,0.202224174187488
"26","US-SRG",1.00808464530176,0.606259970510064,2012,14,13,-0.0403137518830301,0.000125202205174949
"27","US-IB2",1.82065328404699,0.421628867321154,2013,14,8,-0.0274927810263523,0.00406293398455616
"28","US-Kon",3.30505782878259,0.317360365954212,2015,14,7,-0.0285804568060994,0.00450145288870722
"29","US-MOz",3.59725983583591,0.109788543820496,2021,14,10,0.00832147001619598,0.596928919822415
"30","US-NC2",2.82396700979049,0.44686584643733,2008,14,26,-0.020329545881276,0.0345554233793174
"31","US-Bar",3.54665746254748,0.129164976006442,2016,14,9,-0.0533723251398608,0.0119590515606905
"32","CA-Oas",2.17431562070659,0.252183316079533,2005,14,7,-0.0210885444185869,0.0757161776352913
"33","CA-TP4",3.59977868613944,0.281317861515378,2022,14,13,-0.00792821607522451,0.322094905717895
"34","CA-TP3",2.76551070726086,0.339203367039156,2018,14,15,-0.075495733358418,2.6501368844198e-28
"35","CA-Man",0.828436573788767,0.764907797660382,1995,14,6,0.0340097044294631,0.0867556802859055
"36","CA-LP1",2.38574467780987,0.18714905393172,2009,14,14,-0.0242496415892074,0.196807664285222
"37","CA-Ca1",3.68558313287584,0.466535720848951,2002,14,20,0.0289761795299662,0.00785065809662819
"38","CA-Gro",3.16140645549588,0.175125339301644,2011,14,8,0.0304803356147791,0.161535447507466
"39","CA-Obs",1.39270399577518,0.475639669991288,2005,14,11,-0.0371024389843058,0.0012064573029092
"40","CA-Ojp",1.72249045199217,0.369114097422536,2005,14,12,0.00114879126112501,0.892470134055939
"41","US-Jo2",0.97355121050043,0.11655489390713,2019,14,18,-0.0383879642606907,0.171951585012258
"42","US-MtB",1.29941442044254,0.261691512983827,2023,14,21,-0.0517256598793214,0.000827377463660331
"43","US-LL1",1.95569540020484,0.288880335800357,2020,14,8,-0.0212773769853841,0.00382000597624562
"44","US-BZB",4.25157712207976,0.103441652896888,2017,14,8,-0.045016012423228,0.00102538149078719
"45","US-BZF",4.12325259313356,0.0682182898455863,2014,14,6,-0.0474054799529505,0.0244326837566917
"46","US-KL2",3.0782894912663,0.281744430347977,2019,14,8,-0.0344693234896612,3.6740642568839e-05
"47","US-Ro4",2.02277670637176,0.305107826951297,2016,14,6,-0.0160596254825806,0.317859670817698
"48","US-KM4",3.18186665957374,0.34311325173164,2020,14,7,0.00534076315335686,0.710340856987356
"49","US-MBP",1.20508126152722,0.303851601817784,2019,14,12,-0.0587366043307434,1.48137386309444e-05
"50","US-Myb",1.45448954169846,0.436988112400566,2020,14,12,0.0749364018737214,0.0680465171238053
"51","US-NC4",3.53337353885554,0.380101964445068,2014,14,16,0.00236862513574803,0.917866652020863
"52","US-Tw1",1.13508429024311,0.539281403232152,2017,14,10,0.0125572472086396,0.618575335723343
"53","US-Ced",2.29675303111887,0.454317432862768,2008,14,12,0.00780479381435808,0.717412008374582
"54","US-Oho",2.89501711564268,0.145209215812336,2012,14,10,0.0166591924708486,0.125133841081435
"55","US-Slt",3.09061602815782,0.300008772120451,2013,14,10,-0.004797664988881,0.885248762318268
"56","US-Wrc",3.87314563578288,0.076741574513066,2004,14,13,0.0187707970584324,0.31902892425256
"57","AU-Tum",4.57305353949546,0.193562653967175,2001,14,14,-0.000900602050828117,0.94262918217773
"58","BE-Bra",3.1035177099582,0.146245869384659,2007,14,10,-0.0387196362739454,0.0589447668974377
"59","BE-Vie",3.11020864062788,0.246289543953027,1999,14,14,0.0117143881443563,0.193874336982588
"60","CH-Lae",4.44039442081585,0.108500963215714,2014,14,11,-0.0418681848031037,2.39078801412508e-05
"61","CZ-BK1",2.51001847697028,0.344454732197768,2016,14,15,0.0397860789158666,0.0061343615539404
"62","CZ-wet",2.13976374392246,0.412165465031907,2012,14,5,0.0130945828332297,0.41178451859629
"63","DE-Gri",1.96575935908463,0.562133647303227,2016,14,8,0.0190101291553497,0.255139701908794
"64","DE-Hai",1.61546053664049,0.245489436420569,2009,14,11,-0.0142047418412577,0.138634456963665
"65","DE-Tha",1.65891457490341,0.408913025340965,2006,14,15,-0.00787261273026034,0.0955229800079099
"66","DK-Sor",2.55579046977869,0.256992943487885,2007,14,10,-0.0258356126522554,4.24609835326036e-05
"67","FI-Hyy",1.24114641372698,0.617666559984783,2005,14,10,-0.0222031538922672,2.8729899157701e-07
"68","FI-Sod",1.88580910745333,0.350794646551572,2007,14,10,-0.0607785322395258,8.72533236759203e-08
"69","FR-Pue",1.12562963071037,0.595995187086092,2011,14,13,-0.00103530912455598,0.946738780250587
"70","IT-Lav",2.21976266285198,0.100479649810825,2014,14,13,-0.007195545599939,0.672996008409541
"71","IT-MBo",2.7903108619492,0.340018187496712,2010,14,4,-0.0224002633861756,0.103570044844648
"72","IT-Noe",1.47535561580768,0.387310502299491,2006,14,11,0.0568585957641252,0.0015968942930443
"73","IT-Ren",2.0787894435854,0.280373050654686,2004,14,16,-0.0294979911140608,0.0189815144709154
"74","IT-SRo",2.45468946499316,0.356511413334049,2002,14,16,-0.0331685471758484,0.00185343603529687
"75","NL-Loo",2.8492313183398,0.109175912192062,2012,14,11,-0.0269695580814303,0.0257517597273062
"76","RU-Fyo",2.50364113564577,0.48343369176373,2013,14,7,-0.0378449094789335,0.0119642766041209
"77","ZA-Kru",1.8277116925583,0.540053621642491,2008,14,8,-0.134519590657601,2.63737817980417e-09
"78","IT-Tor",2.80096360233862,0.050185065453928,2011,14,8,0.00349833574773495,0.875899820244284
"79","BE-Dor",1.88163824956485,0.595448343581592,2014,14,14,-0.00673407741614034,0.437329431070687
"80","CH-Fru",3.45067392440929,0.392259778989502,2011,14,13,0.00741448546627871,0.262320229385089
"81","CZ-RAJ",1.44812219721927,0.58584940926204,2019,14,15,0.0172026824690588,0.340013349985205
"82","CZ-Stn",2.69460264427397,0.179632118488758,2021,14,11,-0.00570990625613716,0.610463869384479
"83","DE-Obe",2.17052486392533,0.533713718220377,2014,14,13,0.00573987750527842,0.609406183291291
"84","DE-RuR",2.03011154584305,0.56178000302881,2016,14,10,0.0162911035307539,0.0593584613274608
"85","CH-Aws",3.77908321860835,0.274626196642753,2020,14,10,0.00466338942168939,0.655152863427748
"86","ES-LJu",0.609733127337495,0.233099801234071,2020,14,12,-0.138640848011858,0.000319921651962807
"87","FR-FBn",1.38990870924919,0.360739003362481,2016,14,18,0.0636704120349552,0.000148208487348662
"88","FR-Fon",3.78653130203528,0.143372841558527,2024,14,12,0.0229255423646177,0.0897742728033345
"89","GF-Guy",5.78622541524905,0.0447338052503544,2005,14,26,0.0442279027196708,0.00244059341822866
"90","IL-Yat",0.785558301548061,0.403499886765838,2005,14,11,-0.0254144463049209,0.0382205057744989
"91","SE-Deg",0.364466500396492,0.574216600177196,2020,14,8,0.0221505810926148,0.0496513161647875
"92","IT-SR2",3.25925769978483,0.36189474101478,2023,14,16,-0.00444021932053442,0.733521211413612
"93","CH-Dav",5.29757933626109,0.136387785791636,2012,14,13,-0.0188112083774872,0.0617516576063166
"94","DE-Akm",2.84012335015287,0.317339694462392,2022,14,6,0.0238379859687553,0.382764563934798
"95","DE-Hte",1.81745488348507,0.299889587225213,2016,14,7,0.0873956594702751,0.0162119718159303
"96","DE-Hzd",4.22008610632653,0.194536673578268,2019,14,5,-0.0575645757348552,0.0550030783991231
"97","DE-RuC",1.20429253867931,0.565710790225567,2023,14,4,0.00752972785804605,0.793871405553833
"98","DE-RuW",3.20851560684072,0.338797216161529,2017,14,17,0.0348608322261312,0.0305315052480347
"99","DE-SfS",4.93432110002197,0.120556007896753,2014,14,18,0.020174302854997,0.385678990612787
"100","FR-Bil",1.7090701807699,0.440034428253214,2015,14,17,-0.0459351220123455,0.000582513599275047
"101","IT-TrF",2.9350318788887,0.0198075137056166,2017,14,13,0.059090355442427,8.04919719547515e-05
"102","SE-Nor",1.95004761484917,0.499708247611995,2015,14,5,-0.0571570646384472,0.0389529353964722
"103","SE-Svb",1.7695777202262,0.467447583145496,2023,14,8,-0.0198038611784705,0.247616500051374
"104","UK-AMo",1.34392346676969,0.333315281832919,2007,14,7,0.00207087801894614,0.901544825214291
"105","CA-Mer",2.18360448851567,0.190204865804079,2009,14,10,-0.0606020952057797,5.74855135005672e-06
"106","CA-TPD",3.7398008307122,0.169291811960384,2019,14,9,0.0296843279286945,0.0602428139571745
"107","US-BZS",4.64158888488783,0.0642699919410598,2019,14,10,0.10024220564626,0.0046455173569151
