"","site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"1","US-Uaf",2.3621331127227,0.124482546885392,2015,21,7,0.00749386687272319,0.74187473561137
"2","CA-Ca3",2.27180858846249,0.335728543047309,2013,21,10,-0.049792929329938,0.00440150569077602
"3","CA-Cbo",4.63884339673516,0.0968996320729858,2020,21,6,0.0096264732994024,0.338769733886369
"4","US-Ha1",3.35511630289423,0.103447254505337,2001,21,6,0.0326448805141355,0.105667226735933
"5","US-Ha2",2.20770471477571,0.372156389705418,2022,21,10,-0.0177588902708168,0.32155753232847
"6","US-Var",3.37490698202184,0.152361215212932,2002,21,4,-0.0317580715922217,0.132760168224682
"7","US-Ton",2.41973945770271,0.210288947423434,2020,21,9,0.00504573341432915,0.630010802517784
"8","US-Los",3.29403254542203,0.137149131920017,2001,21,5,0.0233663492104337,0.0653710453361288
"9","US-Wkg",1.08797326556011,0.287320204727818,2006,21,8,-0.103511125517569,0.139589314131406
"10","US-SRM",1.15964438488828,0.361064172060059,2005,21,4,-0.0922317827650486,7.89961054355163e-06
"11","US-CMW",1.18155985801143,0.615962057896507,2021,21,8,-0.0460442354467233,6.10370726985344e-08
"12","US-Ho1",2.93101477079697,0.356163920895982,1998,21,10,0.0171881428007251,0.307459467516456
"13","US-Ho2",2.94770253457083,0.384294499345769,2020,21,10,0.00774013246115482,0.446844898696958
"14","US-GLE",1.25047535857196,0.447675225661962,2016,21,7,0.0110046153637944,0.421292637988874
"15","US-Me2",1.33820988124893,0.738219705713993,2002,21,12,-0.0452196988543545,0.00977984660460911
"16","US-NR1",1.60158299198709,0.279970635558913,2010,21,8,-0.0147081448002223,0.138475588693522
"17","US-WCr",3.17398259075284,0.0939091298716629,2015,21,5,0.0107916830612211,0.615938271387
"18","US-UMB",2.92532161348369,0.157076028311433,2006,21,6,-0.0180917045482519,0.072571053065844
"19","US-MMS",2.17828029787525,0.199695873496748,2015,21,7,-0.0333176937025703,0.00134500525115859
"20","US-PFa",5.88812302910916,0.0766623166550258,2018,21,4,-0.0284688878863273,0.196992104591919
"21","US-Syv",3.81028862222066,0.239943892593066,2018,21,5,-0.0145434219056976,0.582177246680971
"22","US-Whs",1.20831665951855,0.139296840802143,2012,21,3,-0.093101901106686,0.171888779499537
"23","US-ICt",1.87035621887018,0.141133058076193,2023,21,3,-0.21195062205258,0.0288226648928363
"24","US-ICh",1.4585077392162,0.0625730785595194,2024,21,2,0.0391660362593865,0.389993108409627
"25","US-ICs",1.59163858409773,0.137499563316547,2014,21,2,0.0190328744583814,0.81229825959854
"26","US-SRG",1.06283901503443,0.589404913793313,2012,21,9,-0.0319188538488195,0.0171679807081515
"27","US-IB2",1.831966327758,0.403510231439787,2013,21,6,-0.0327008293486151,0.00282529376177849
"28","US-Kon",3.31221262735634,0.308538729658993,2015,21,5,-0.0314546581515918,0.00859283577193407
"29","US-MOz",3.60948563912749,0.106048481321113,2021,21,7,0.00604860960854343,0.74865995888747
"30","US-NC2",2.79108776566665,0.465054526550305,2008,21,17,-0.0348041186678462,0.00714678768704557
"31","US-Bar",3.54682025426288,0.129689697537285,2016,21,6,-0.0643127114069338,0.0257863459988846
"32","CA-Oas",2.15876581066642,0.255855839469231,2005,21,5,-0.0312216660984359,0.0241818505096784
"33","CA-TP4",3.64912199576407,0.278730895108704,2022,21,8,-0.00936441951494678,0.378449186185486
"34","CA-TP3",2.77123328650842,0.332050882122433,2018,21,10,-0.08581416168503,2.2672683814184e-26
"35","CA-Man",0.808014230241559,0.728238457116191,1995,21,4,0.0340900213302987,0.216812892496011
"36","CA-LP1",2.29775535789346,0.21110083012967,2009,21,9,-0.0194073258213322,0.449724685806902
"37","CA-Ca1",3.73799593464266,0.463932350502624,2002,21,13,0.0412181157261053,0.0026591693888615
"38","CA-Gro",3.18453212055053,0.173544729435759,2011,21,5,0.0402058706206576,0.215240116194391
"39","CA-Obs",1.46329829505057,0.358192868016703,2005,21,7,-0.0328705982427311,0.0257419809083247
"40","CA-Ojp",1.62863895591447,0.410707604834273,2005,21,8,0.00748389052054232,0.504693442719593
"41","US-Jo2",0.976131094302143,0.113635763359253,2019,21,12,-0.0233109292454335,0.478627272786381
"42","US-MtB",1.3194076874067,0.250394157849187,2023,21,14,-0.055267217591399,0.00663690600920318
"43","US-LL1",1.96964617640882,0.275280480471872,2020,21,5,-0.0193654579311689,0.0534469641312972
"44","US-BZB",4.25383518696085,0.105136725767324,2017,21,5,-0.0532457460870167,0.00335761372949176
"45","US-BZF",4.07715121295328,0.0771082233287634,2014,21,4,-0.0475842815808153,0.067600892330472
"46","US-KL2",3.06532376952375,0.28747363671011,2019,21,6,-0.0382279558818723,5.18884010127665e-05
"47","US-Ro4",2.02878171241279,0.285027363467457,2016,21,4,-0.0228275890511524,0.262988779691728
"48","US-KM4",3.17164929149562,0.340458447965953,2020,21,5,-0.00703242085269275,0.690486973030573
"49","US-MBP",1.20983136464783,0.2982937824756,2019,21,8,-0.0602260722422772,0.00019844266792451
"50","US-Myb",1.48953149493731,0.414876848920517,2020,21,8,0.164578622885075,0.0128773468007069
"51","US-NC4",3.5517302991859,0.379091435959463,2014,21,10,0.00524973423446816,0.859645592223073
"52","US-Tw1",1.14697827181697,0.536576909660253,2017,21,7,0.0211385249620735,0.49124206462815
"53","US-Ced",2.30568217948083,0.444648071892558,2008,21,8,0.0110866625314139,0.748821163284443
"54","US-Oho",2.88488088728477,0.144133674476596,2012,21,7,0.023999832622839,0.0766530847875471
"55","US-Slt",3.11416753558405,0.291682824408621,2013,21,7,-0.0307562622255925,0.450935404616986
"56","US-Wrc",3.94302355893814,0.0685422531290162,2004,21,9,-0.00482199693744618,0.822780218022056
"57","AU-Tum",4.53415145229109,0.191228316126206,2001,21,9,-0.000691795496419095,0.969282767160003
"58","BE-Bra",3.0971146896814,0.150049043868665,2007,21,7,-0.029580688306854,0.24727227955117
"59","BE-Vie",3.11548198188615,0.251980745967184,1999,21,9,0.0170269368740308,0.154615564748678
"60","CH-Lae",4.47077154116732,0.106218873517769,2014,21,7,-0.0429083260791994,0.00113875706753916
"61","CZ-BK1",2.48938615791682,0.344512584836317,2016,21,10,0.0580812748358573,0.0025111144635471
"62","CZ-wet",2.11097913827919,0.420597458761831,2012,21,3,0.00650702613457464,0.751938104977004
"63","DE-Gri",1.96893310035772,0.563656814648153,2016,21,5,0.0214110923031027,0.351202430791642
"64","DE-Hai",1.63120355540852,0.229974598988746,2009,21,7,-0.0267113213915264,0.0415613009865788
"65","DE-Tha",1.66861563838439,0.402673450692621,2006,21,10,-0.00827074409369576,0.172265239837332
"66","DK-Sor",2.56101904677158,0.257455868999607,2007,21,7,-0.0250683828831469,0.000978283073653353
"67","FI-Hyy",1.20905281629187,0.636446367537808,2005,21,6,-0.0264498369810677,9.5510584029792e-06
