"","site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"1","US-Uaf",2.27651171906516,0.163244791781009,2015,14,10,0.0015165004931968,0.938896255949373
"2","CA-Ca3",2.27768295608632,0.337773708356668,2013,14,14,-0.0335224389022086,0.00746393895324246
"3","CA-Cbo",4.60815110705617,0.117547247944532,2020,14,9,-0.000945377354174295,0.905905408663188
"4","US-Ha1",3.36083047917232,0.111112941725549,2001,14,9,0.0330927076597482,0.0193109750285877
"5","US-Ha2",2.22230645732055,0.37703771153008,2022,14,14,-0.0123549910408605,0.431992048854143
"6","US-Var",3.33720855307288,0.167433791574139,2002,14,6,-0.00132233177794219,0.925321958735906
"7","US-Ton",2.40647835308365,0.205994033979491,2020,14,14,0.0061646658862613,0.407389285047356
"8","US-Los",3.31020445911851,0.135955408019726,2001,14,7,0.0251869044309785,0.0251641311535931
"9","US-Wkg",1.09310624386792,0.291563462487719,2006,14,12,-0.0183806149667106,0.505019340990244
"10","US-SRM",1.17137880048943,0.356342436242617,2005,14,5,-0.0238863767495064,0.125153191680052
"11","US-CMW",1.14934015715882,0.63471246872768,2021,14,12,-0.0464231386560703,2.86804103855873e-10
"12","US-Ho1",2.94316906064784,0.359623203059201,1998,14,14,0.0254812582406004,0.0442883380379547
"13","US-Ho2",2.93450203008072,0.391626968062215,2020,14,15,0.0175819277750285,0.0228950023272395
"14","US-GLE",1.24056780463395,0.457813402082312,2016,14,10,0.0103266392437533,0.318779167478971
"15","US-Me2",1.35068394292816,0.729450790134848,2002,14,18,-0.0320793937232233,0.0139250761819556
"16","US-NR1",1.6343993565328,0.258251336835651,2010,14,11,-0.011290689792416,0.225712979426434
"17","US-WCr",3.1045487693031,0.110771967750311,2015,14,8,0.0211389169797501,0.148536884351091
"18","US-UMB",2.93658927208029,0.15533510932905,2006,14,9,0.00111058539711406,0.870758711373403
"19","US-MMS",2.14569550619243,0.210799272295384,2015,14,11,-0.0183816196298163,0.0115248457442706
"20","US-PFa",5.73655739139197,0.0964944226614384,2018,14,7,-0.00765059174393893,0.605859936416456
"21","US-Syv",3.78466551253426,0.25864512381594,2018,14,7,0.00505330367739463,0.790055923863375
"22","US-Whs",1.15101506649951,0.165312683944895,2012,14,5,-0.047666616291454,0.371613860839275
"23","US-ICt",1.92411070710112,0.133592267000172,2023,14,4,-0.176379763954389,0.0526280649340728
"24","US-ICh",1.47216209496064,0.0651907086787436,2024,14,4,0.0256662060433305,0.332444868948533
"25","US-ICs",1.69901020423846,0.106282031489578,2014,14,4,0.0552288437280955,0.251669207708479
"26","US-SRG",0.996307486314561,0.614274764427768,2012,14,13,-0.00717530193478487,0.359274988518866
"27","US-IB2",1.82208409324187,0.420698255293816,2013,14,8,-0.0216476968053719,0.0139536164336585
"28","US-Kon",3.32848386000398,0.30732454653396,2015,14,7,-0.0099190758229773,0.198276631387469
"29","US-MOz",3.60252636175114,0.107065285036963,2021,14,10,0.0373776985075275,0.00257397215029613
"30","US-NC2",2.82388289747193,0.446875851857798,2008,14,26,-0.00806639845269466,0.378655800177441
"31","US-Bar",3.5519440720254,0.126154684559093,2016,14,9,-0.0493187363746555,0.0234620013132393
"32","CA-Oas",2.17649122980355,0.250603335780703,2005,14,7,-0.018695260263858,0.105092528815929
"33","CA-TP4",3.60227938981237,0.280256207660194,2022,14,13,-0.00303475653984168,0.700789780641484
"34","CA-TP3",2.76074038696575,0.341555228147517,2018,14,15,-0.0726774403640147,1.66692999149042e-27
"35","CA-Man",0.827303032495021,0.765550372858304,1995,14,6,0.020231042989305,0.293446594734072
"36","CA-LP1",2.39057523918593,0.183775788656585,2009,14,14,-0.0221966915900768,0.167785981032228
"37","CA-Ca1",3.67642698470442,0.469086328346008,2002,14,20,0.0344158865904282,0.00157576477814244
"38","CA-Gro",3.16707034448488,0.172116565405549,2011,14,8,0.0395271725339883,0.0497308866397704
"39","CA-Obs",1.39872699038226,0.47094777738509,2005,14,11,-0.0381028469130536,0.000827141492417175
"40","CA-Ojp",1.72511286324051,0.36708935330345,2005,14,12,0.0023871451575059,0.778912588576413
"41","US-Jo2",0.972661572973149,0.118126986398016,2019,14,18,-0.00763983646884336,0.759415833413227
"42","US-MtB",1.30126405925728,0.259442687218936,2023,14,21,-0.0445768102369747,0.00277348319673769
"43","US-LL1",1.96025629647366,0.285594407691107,2020,14,8,-0.00915376052172643,0.107824328807268
"44","US-BZB",4.25377815176065,0.102442887373766,2017,14,8,-0.0406994602230166,0.00308885071585582
"45","US-BZF",4.12841269184962,0.0658752240032063,2014,14,6,-0.0284197626694167,0.134709752084867
"46","US-KL2",3.10653564159876,0.268341161539391,2019,14,8,-0.0192595791346987,0.00228659145671457
"47","US-Ro4",2.01781963675856,0.308256864088619,2016,14,6,-0.00952205998492927,0.409586683081194
"48","US-KM4",3.1835847045294,0.342228600850433,2020,14,7,0.00586238147385006,0.660312647019707
"49","US-MBP",1.20535781412874,0.303130522555519,2019,14,12,-0.057532934989112,1.42234947725479e-05
"50","US-Myb",1.46467043265551,0.428455339540372,2020,14,12,0.068168835823736,0.0779655508482271
"51","US-NC4",3.5499392111849,0.373994884376971,2014,14,16,0.00816669820841125,0.725608511882571
"52","US-Tw1",1.13485013380419,0.539534536825779,2017,14,10,0.0140062436231784,0.586690611837013
"53","US-Ced",2.30280524126026,0.451395964551434,2008,14,12,0.0160604703949596,0.420823353106256
"54","US-Oho",2.89369934829802,0.145982401493373,2012,14,10,0.0209516271323325,0.0501081386009718
"55","US-Slt",3.121131973948,0.285874052186271,2013,14,10,0.0197287472214502,0.510937040203593
