"","site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"1","US-Uaf",2.39071800405993,0.100677892321153,2015,28,5,0.0350572654248233,0.2678156531878
"2","CA-Ca3",2.28650121251163,0.331966664084264,2013,28,7,-0.0543370765143402,0.00884388159323883
"3","CA-Cbo",4.71345785449741,0.0920565951651237,2020,28,4,-0.00146685310012351,0.891512630560387
"4","US-Ha1",3.42325258048817,0.0844819030257658,2001,28,4,0.0270236536723029,0.280759880498708
"5","US-Ha2",2.24154090397821,0.365116887629392,2022,28,7,-0.0182710899303899,0.407462602412146
"6","US-Var",3.38279265183825,0.150705690617021,2002,28,3,0.000898137781875813,0.962951045753341
"7","US-Ton",2.40694231963121,0.205863271194811,2020,28,7,0.00123607567043497,0.915377835294444
"8","US-Los",3.29069193338399,0.1355089508222,2001,28,4,0.00855459769560174,0.54036595665708
"9","US-Wkg",1.00295914683894,0.29612829617531,2006,28,6,-0.0539158991870132,0.36690482741207
"10","US-SRM",1.16124319661782,0.360453568737297,2005,28,3,-0.0504672641529006,0.00949100814676126
"11","US-CMW",1.18993871794187,0.608620305005064,2021,28,6,-0.052060965901374,8.28021907659462e-08
"12","US-Ho1",2.99680054327421,0.335831083021037,1998,28,7,-0.00437838871426274,0.814827658946045
"13","US-Ho2",2.97187899693408,0.376280091569239,2020,28,8,-0.00268283031710087,0.797560717446997
"14","US-GLE",1.27203883182562,0.431344783446663,2016,28,5,0.0129937794301755,0.469045666941136
"15","US-Me2",1.36244834695081,0.724219160271348,2002,28,9,-0.0393745278376414,0.0774620720891109
"16","US-NR1",1.62728901331511,0.268510159437048,2010,28,6,-0.0151687500994156,0.225142718976273
"17","US-WCr",3.14087737329572,0.0954160677684425,2015,28,4,0.010496776804092,0.624042724136183
"18","US-UMB",2.99443480099538,0.140223584757973,2006,28,4,-0.00546026894186126,0.661243398490396
"19","US-MMS",2.15405051749825,0.205808559291114,2015,28,6,-0.0193472712983512,0.0842103197695652
"20","US-PFa",5.88638268185819,0.0749745218438139,2018,28,3,-0.0325483572244059,0.190767193970985
"21","US-Syv",3.83431645072486,0.235469474102333,2018,28,4,-0.00862341959996995,0.777566193487901
"22","US-Whs",1.1407550220471,0.16164936888888,2012,28,3,-0.00412602851834209,0.943809463181286
"23","US-ICt",1.9382214430219,0.127872631880631,2023,28,2,-0.196797523538613,0.176931038933819
"24","US-ICh",1.48319941534658,0.0661834971659594,2024,28,2,0.0470537067756472,0.257898958240772
"25","US-ICs",1.69510554630469,0.104496045437762,2014,28,2,0.0852398222983461,0.328658675117896
"26","US-SRG",0.996993914017485,0.614855786382316,2012,28,6,-0.0141408977938239,0.231994512610214
"27","US-IB2",1.82809708477309,0.418669256430121,2013,28,4,-0.0321556808816861,0.0122384213931859
"28","US-Kon",3.32925937956779,0.295675404839291,2015,28,4,-0.0153657078847971,0.158881949254341
"29","US-MOz",3.62368207800921,0.100285781136684,2021,28,5,0.0233085858768925,0.187256443839172
"30","US-NC2",2.79592080145349,0.456990439529632,2008,28,13,-0.0242714809727423,0.0831047122516866
"31","US-Bar",3.51878703120814,0.121989732415874,2016,28,5,-0.0642316566943291,0.0503257225540418
"32","CA-Oas",2.1859359241262,0.240785437878451,2005,28,4,-0.0325025578800735,0.0445008722373482
"33","CA-TP4",3.66133561156066,0.273644083646588,2022,28,6,-0.00619159301152506,0.625368804605215
"34","CA-TP3",2.77697609326639,0.327626825063616,2018,28,8,-0.0838632602480241,5.71478692801734e-23
"35","CA-Man",0.883362759149299,0.761481993108961,1995,28,3,0.000139975249193911,0.996315318640167
"36","CA-LP1",2.27241751033476,0.225846187404843,2009,28,7,-0.01387183459571,0.543041571704358
"37","CA-Ca1",3.7027636315798,0.466078120587159,2002,28,10,0.0349392650397279,0.0392136722958687
"38","CA-Gro",3.17276956243785,0.167257496961185,2011,28,4,0.0425257168023828,0.243037296401688
"39","CA-Obs",1.38742090538856,0.472849621538842,2005,28,6,-0.0373612427769044,0.0235581461546606
"40","CA-Ojp",1.60795757010189,0.421199075595738,2005,28,6,0.00363912425154828,0.797952464593583
"41","US-Jo2",0.978090767797852,0.112007440329301,2019,28,9,0.00573192023849806,0.845538382905489
"42","US-MtB",1.28743785121094,0.263071132926726,2023,28,11,-0.0257977267353236,0.271627779294123
"43","US-LL1",1.97539688087174,0.277743035459763,2020,28,4,-0.0156185112803845,0.0683099083086764
"44","US-BZB",4.27312716799649,0.0997163547892958,2017,28,4,-0.0543034398126826,0.0119666391901311
"45","US-BZF",4.13117644762819,0.0680965309328416,2014,28,3,-0.0498321653608554,0.0479112682828775
"46","US-KL2",3.09493474602177,0.266251606229534,2019,28,4,-0.0168065691528001,0.0502695731184545
"47","US-Ro4",2.04024933699976,0.297667920864789,2016,28,3,-0.010939456315816,0.551823926260382
"48","US-KM4",3.14954685533068,0.345310259650877,2020,28,4,-0.00560423450673355,0.773041739356173
"49","US-MBP",1.21030617374081,0.301913068401881,2019,28,6,-0.0604543826744677,0.00117437037144043
"50","US-Myb",1.50682432545232,0.394770606332593,2020,28,6,0.0684602166621438,0.262957561827753
"51","US-NC4",3.53237959331392,0.373455403089223,2014,28,8,0.0221831696026703,0.601210843985774
"52","US-Tw1",1.1622694885416,0.523355501339112,2017,28,5,-0.000956343091754537,0.979882400459566
"53","US-Ced",2.32614385147724,0.442816987735803,2008,28,6,0.0283864458797934,0.464328900883333
"54","US-Oho",2.91200832373658,0.134279314163206,2012,28,5,0.00853253520127547,0.58164472763969
"55","US-Slt",3.14724456922819,0.279177454691823,2013,28,5,-0.00729928407261212,0.887879068294662
"56","US-Wrc",3.72985889060079,0.0780388234044658,2004,28,6,0.00490936086889888,0.858893033462906
"57","AU-Tum",4.5345817234924,0.208565292699796,2001,28,7,-0.0109995111855873,0.60108984314838
"58","BE-Bra",3.13066549955081,0.133956096371376,2007,28,5,-0.0160396987106759,0.568802686166622
"59","BE-Vie",3.11425182229472,0.24403229815499,1999,28,7,0.0101193385314107,0.501226828864933
"60","CH-Lae",4.47085617113333,0.103058098370076,2014,28,6,-0.0409141481633246,0.00606129965329407
"61","CZ-BK1",2.45423993707612,0.340419177135043,2016,28,8,0.0520797505656291,0.0211004220714758
"62","CZ-wet",2.14716450549679,0.41227337110358,2012,28,3,-0.0162101243607619,0.466699927514253
"63","DE-Gri",1.93765601910136,0.572707036137451,2016,28,4,0.00503648105998286,0.820041823636783
"64","DE-Hai",1.65265921612164,0.221627820759263,2009,28,5,-0.00590642224428564,0.660644647711069
"65","DE-Tha",1.66607471751997,0.3977640953873,2006,28,8,-0.0084838416857223,0.203512584910909
"66","DK-Sor",2.57992399674419,0.242790805646641,2007,28,5,-0.0324065508765748,0.000254058935437406
