"scenario","replicate","total_est","total_se","direct_est","direct_se","apparent_est","apparent_se","total_true","direct_true","apparent_true","residual_true","hidden_true"
"Direct only",1,0.0347426966315794,0.00343248450349281,0.0250197079189376,0.00527981769694027,0.00972298871264176,0.00378419242179551,0.04,0.04,0,0,0
"Direct only",2,0.0451495803508555,0.00654298352289787,0.0464448967291542,0.00711591371129497,-0.00129531637829863,0.002689775429089,0.04,0.04,0,0,0
"Direct only",3,0.0341111052007872,0.00515042688751145,0.034060163565834,0.00471117325332156,5.09416349532224e-05,0.0019014190655338,0.04,0.04,0,0,0
"Direct only",4,0.041608172034157,0.00539386065699215,0.0397609812723928,0.00614685892324063,0.00184719076176424,0.0029431961152923,0.04,0.04,0,0,0
"Direct only",5,0.0406255352432965,0.00371165292522442,0.0373462893940942,0.00505401594742639,0.00327924584920233,0.00372956179921503,0.04,0.04,0,0,0
"Direct only",6,0.0382581571629778,0.00477242706869131,0.0395839818163932,0.00416486991623739,-0.00132582465341541,0.00254880898043844,0.04,0.04,0,0,0
"Direct only",7,0.0342649793783538,0.00525118228337621,0.0352023442767271,0.00549674401744369,-0.000937364898373328,0.00272671583495809,0.04,0.04,0,0,0
"Direct only",8,0.0367402028944355,0.00450497070853867,0.0315379112324663,0.00448148421750174,0.00520229166196921,0.00288722171419212,0.04,0.04,0,0,0
"Direct only",9,0.0366620730608662,0.00496645254323722,0.0383001528117925,0.00496962126942237,-0.00163807975092627,0.00275098595946539,0.04,0.04,0,0,0
"Direct only",10,0.0362545282466993,0.00497143052503303,0.037214659568675,0.00472766359274901,-0.000960131321975747,0.00284992966249574,0.04,0.04,0,0,0
"Direct only",11,0.0423437990316761,0.0048015686053898,0.0396001623741015,0.00478141731834947,0.0027436366575746,0.00211993790557585,0.04,0.04,0,0,0
"Direct only",12,0.0399993959662166,0.00510027835072257,0.0386217112111581,0.00686196708394274,0.00137768475505843,0.00338391373978526,0.04,0.04,0,0,0
