"scenario","component","target","truth","mean_est","sd_est","bias","rmse","coverage"
"Direct + measured indirect","total","total_true",0.0449,0.0463350801176562,0.00508513826656691,0.0014350801176562,0.0052222236982384,0.95
"Direct + measured indirect","direct","direct_true",0.03,0.0312254237563488,0.00467377504560817,0.00122542375634877,0.00477490651533094,0.925
"Direct + measured indirect","apparent","apparent_true",0.0149,0.0151096563613074,0.00409017411583122,0.000209656361307423,0.00404416146811758,0.875
"Direct + measured indirect","apparent","residual_true",0.0149,0.0151096563613074,0.00409017411583122,0.000209656361307423,0.00404416146811758,0.875
"Direct + measured indirect + hidden indirect","total","total_true",0.0633,0.0640631709631502,0.00930151968328874,0.000763170963150175,0.00921616740446582,0.95
"Direct + measured indirect + hidden indirect","direct","direct_true",0.03,0.0307876665850524,0.00572227249450874,0.000787666585052415,0.00570492866634493,0.875
"Direct + measured indirect + hidden indirect","apparent","apparent_true",0.0149,0.0332755043780978,0.00888787471265905,0.0183755043780977,0.0203636593011844,0.3
"Direct + measured indirect + hidden indirect","apparent","residual_true",0.0333,0.0332755043780978,0.00888787471265905,-2.44956219022542e-05,0.00877610728174618,0.875
"Direct only","total","total_true",0.04,0.0396240015410988,0.00587495265550785,-0.000375998458901207,0.0058132234455544,0.9
"Direct only","direct","direct_true",0.04,0.0396932598312629,0.00434891734037217,-0.000306740168737121,0.00430515325089269,0.975
"Direct only","apparent","apparent_true",0,-6.92582901640817e-05,0.00356848180236776,-6.92582901640817e-05,0.00352427404230156,0.975
"Direct only","apparent","residual_true",0,-6.92582901640817e-05,0.00356848180236776,-6.92582901640817e-05,0.00352427404230156,0.975
"Measured indirect only","total","total_true",0.0199,0.018565221112157,0.00694054817604705,-0.00133477888784305,0.00698201714684666,0.85
"Measured indirect only","direct","direct_true",0,-0.00088808543488075,0.00498111104796017,-0.00088808543488075,0.00499798722787038,0.95
"Measured indirect only","apparent","apparent_true",0.0199,0.0194533065470377,0.00400010826889126,-0.000446693452962296,0.00397496912562857,0.875
"Measured indirect only","apparent","residual_true",0.0199,0.0194533065470377,0.00400010826889126,-0.000446693452962296,0.00397496912562857,0.875
