site_ID,source,overlap,estimate_Ts,year_removed,NEE,FC,TA,TS,TS_more,SWC,SWC_more,SW_IN,USTAR,RH,VPD,comment,gStart,gEnd,SWC_use
US-Uaf,AmeriFlux_BASE,,NO,"2003:2007, 2010, 2012, 2014, 2015, 2019:2020",FC + SC_PI_F,FC,TA_PI_F_1_1_1,TS_PI_F_1_1_1,,SWC_PI_F_1_1_1,,SW_IN_PI_F,USTAR,RH_1_1_1,,,,,YES
CA-Ca3,AmeriFlux_BASE,,YES,"2001:2004, 2006:2009",FC+SC,FC,T_SONIC,TS_PI_F_1,,SWC_PI_F_1,,SW_IN_1_1_2,USTAR,RH_PI_F_1,,,,,NO
CA-Cbo,AmeriFlux_FLUXNET,,NO,"1994:1997, 1999:2000, 2003:2005",FC+SC,FC,TA_2_1_1,TS_2_1_1,,SWC_2_1_1,,PPFD_IN_1_2_1,USTAR,RH_1_3_1,,,,,YES
US-Ha1,AmeriFlux_BASE,,YES,"1991:1995, 2005, 2007:2012, 2016, 2017, 2019",FC_1_1_1  +  SC,FC_1_1_1 ,TA_PI_F_1_1_1,TS_PI_1_1_A,,SWC_7_1_1,,PPFD_IN_PI_F_1_1_1 ,USTAR,RH_PI_F_1_1_1,,,,,NO
US-Ha2,AmeriFlux_BASE,,NO,"2004, 2005, 2007, 2009, 2014, 2023",FC_A_1_1,FC_A_1_1,TA_A_1_1,TS_PI_1,,,,PPFD_IN_A_1_1,USTAR_A_1_1,RH_A_1_1,,,,,NO
US-Var,AmeriFlux_FLUXNET,,NO,"2000, 2021:2023",FC,FC,TA_PI_F,TS_PI_1_1_A,,SWC_PI_F_1_1_A,,SW_IN_1_1_2,USTAR,RH_PI_F,,,,,YES
US-Ton,AmeriFlux_FLUXNET,,NO,"2001, 2021:2022",FC_1_1_1 + SC_1_1_1,FC_1_1_1,TA_PI_F_1_1_1,TS_PI_F_1_1_A,,SWC_PI_F_1_1_A,,SW_IN_1_1_1,USTAR_1_1_1,RH_PI_F_1_1_1,,,,,YES
US-Los,AmeriFlux_BASE,,YES,"2000, 2009:2013, 2022:2023",NEE_PI,FC_1_1_1,TA_PI_F_1_1_1,TS_1_1_1,,,,SW_IN_1_1_1,USTAR_PI_F_1_1_1,,VPD_PI_F_1_1_1,convert VPD to RH,,,NO
US-Wkg,AmeriFlux_FLUXNET,,NO,2016,FC,FC,TA_1_1_1,TS_1_1_1,,SWC_1_1_1,,SW_IN,USTAR,RH_1_1_1,,,,,YES
US-SRM,AmeriFlux_FLUXNET,,NO,,FC,FC,TA_1_1_1,TS_PI_1_1_A,,SWC_PI_1_1_A,,SW_IN,USTAR,RH_1_1_1,,,,,YES
US-CMW,AmeriFlux_BASE,,NO,"2001, 2003, 2010, 2019",NEE_PI,FC,TA_1_1_2,TS_1_1_1,,SWC_PI_1_1_A,,SW_IN,USTAR,RH_1_1_1,,,,,YES
US-Ho1,AmeriFlux_FLUXNET,,YES,"1995, 1998, 1999, 2005, 2009, 2011, 2012, 2020",NEE_PI_1_1_1,,T_SONIC_1_1_1,TS_2_1_1,,,,PPFD_IN_1_1_1,USTAR_1_1_1,RH_PI_F_2_1_1,,,,,NO
US-Ho2,AmeriFlux_FLUXNET,,YES,"2014, 2015, 2017, 2019",NEE_PI_1_1_1,,T_SONIC_1_1_1,TS_1_1_1,,,,PPFD_IN_1_1_1,USTAR_1_1_1,RH_PI_F_2_1_1,,,,,NO
US-GLE,AmeriFlux_FLUXNET,,NO,"1999:2004, 2008:2009, 2017",FC_1_1_1 + SC_1_1_1,FC_1_1_1,TA_PI_F_1_1_1,TS_1_1_1,,SWC_1_1_1,,SW_IN_PI_F_1_1_1,USTAR_PI_F_1_1_1,,VPD_PI_1_1_1,,,,NO
US-Me2,AmeriFlux_FLUXNET,,NO,"2006, 2008, 2010, 2013:2017, 2020:2022",NEE_PI_F,FC,TA_1_1_1,TS_1_1_1,,SWC_1_1_1,,SW_IN,USTAR,RH,,,,,NO
