"YEAR","MONTH","DAY","DOY","HOUR","MINUTE","NEE","TA","TS","SWC"
2005,1,1,1,1,15,0.8,-3.1,1.3,42.1
2005,1,1,1,1,45,0.9,-3.2,1.4,41.8
2005,1,1,1,2,15,0.5,-3.1,1.3,41.5
2005,1,1,1,2,45,0.8,-3.2,1.3,41.2
2005,1,1,1,3,15,0.7,-3.5,1.3,41
2005,1,1,1,3,45,0.5,-4,1.3,40.7
2005,1,1,1,5,15,0.4,-5.2,1.3,40.1
2005,1,1,1,5,45,0.4,-5.2,1.3,40
2005,1,1,1,6,15,0.2,-4.5,1.3,39.8
2005,1,1,1,6,45,0.4,-4.8,1.3,39.6
2005,1,1,1,17,15,4.5,1.2,1.3,35.7
2005,1,1,1,17,45,0.9,1.2,1.3,35.7
2005,1,1,1,18,15,2.7,1,1.3,35.7
2005,1,1,1,18,45,1.8,1.2,1.3,35.7
2005,1,1,1,19,15,0.8,1.3,1.3,35.7
2005,1,2,2,0,45,12.4,6.5,1.4,46.2
2005,1,2,2,1,15,4.8,6.9,1.4,46.1
2005,1,2,2,3,15,-0.9,10,1.4,45.7
2005,1,2,2,4,15,7,10,1.4,45.6
2005,1,2,2,4,45,-1.8,10.8,1.4,45.5
2005,1,2,2,5,15,1.7,11.1,1.4,45.5
2005,1,2,2,5,45,18,11.3,1.5,45.4
2005,1,2,2,17,15,0.7,1.5,1.9,46.4
2005,1,2,2,17,45,0.1,1.3,1.8,46.5
2005,1,2,2,18,15,0.4,1.2,1.7,46.3
2005,1,2,2,18,45,0.5,1.1,1.7,46.3
2005,1,2,2,23,15,0.6,-0.2,1.4,45.2
2005,1,3,3,3,45,0.1,0.3,1.4,45.3
2005,1,3,3,5,15,2.7,0,1.4,45.2
2005,1,3,3,6,45,3.3,0,1.4,45.5
2005,1,3,3,17,15,1.8,0.6,1.6,45.3
2005,1,3,3,17,45,0.3,0.6,1.6,45.4
2005,1,3,3,18,15,0.2,0.5,1.5,45.4
2005,1,3,3,18,45,0.3,0.5,1.5,45.5
2005,1,3,3,19,15,0.4,0.5,1.5,45.5
2005,1,3,3,19,45,-1.2,0.2,1.5,45.4
2005,1,3,3,20,15,0.9,0.1,1.5,45.5
2005,1,3,3,20,45,-0.2,-0.1,1.4,45.5
2005,1,3,3,22,45,-0.2,-0.5,1.4,45.5
2005,1,3,3,23,15,0.5,-0.7,1.4,45.5
2005,1,3,3,23,45,0.8,-0.7,1.4,45.5
2005,1,4,4,0,15,0.6,-0.8,1.4,45.5
2005,1,4,4,0,45,-0.7,-0.8,1.4,45.5
2005,1,4,4,1,15,-0.2,-0.9,1.4,45.5
2005,1,4,4,1,45,0.5,-0.9,1.4,45.5
2005,1,4,4,2,15,0.4,-1,1.4,45.6
2005,1,4,4,2,45,0.1,-1,1.4,45.6
2005,1,4,4,3,15,0.4,-1,1.4,45.7
2005,1,4,4,3,45,0.2,-1,1.4,45.8
2005,1,4,4,4,15,0.2,-1.1,1.4,45.9
2005,1,4,4,4,45,0.8,-1.1,1.4,45.7
2005,1,4,4,5,15,0.3,-1.1,1.4,45.6
2005,1,4,4,5,45,0.3,-1.2,1.4,45.6
2005,1,4,4,6,15,0.4,-1.3,1.4,45.5
2005,1,4,4,6,45,0.2,-1.3,1.4,45.5
2005,1,4,4,17,15,0.4,0.7,1.4,45.9
2005,1,4,4,17,45,0.9,0.6,1.4,45.8
2005,1,4,4,18,15,0.3,0.6,1.4,45.7
2005,1,4,4,18,45,0.8,0.6,1.4,45.7
2005,1,4,4,19,15,5.3,0.6,1.4,45.6
2005,1,4,4,19,45,0.2,0.2,1.4,45.5
2005,1,4,4,20,15,2.1,0,1.4,45.5
2005,1,4,4,20,45,-1.7,0,1.4,45.4
2005,1,4,4,21,15,-4.5,0,1.4,45.4
2005,1,4,4,21,45,-4.3,-0.3,1.4,45.3
2005,1,4,4,22,15,0.9,-0.6,1.4,45.3
2005,1,4,4,22,45,3.1,-0.8,1.4,45.3
2005,1,4,4,23,15,0.2,-1.3,1.4,45.2
2005,1,5,5,0,15,-2.1,-1.3,1.4,45.2
2005,1,5,5,1,45,1.9,-1.5,1.4,45.2
2005,1,5,5,2,45,3.1,-1.6,1.4,45.3
2005,1,5,5,3,15,-0.3,-1.7,1.4,45.3
2005,1,5,5,4,15,0.7,-1.8,1.4,45.4
2005,1,5,5,4,45,0.8,-1.9,1.4,45.5
2005,1,5,5,5,15,1.1,-2.1,1.4,45.6
2005,1,5,5,5,45,1.6,-2.3,1.4,45.6
2005,1,5,5,6,15,0.7,-2.4,1.4,45.7
2005,1,5,5,6,45,0.6,-2.4,1.4,45.7
2005,1,5,5,17,15,1.2,-3.1,1.4,46.1
2005,1,5,5,17,45,-1.3,-3.2,1.4,46.1
2005,1,5,5,18,15,1,-3.3,1.4,46.2
2005,1,5,5,18,45,-0.9,-3.5,1.4,46.2
2005,1,5,5,19,15,2,-3.5,1.4,46.2
2005,1,5,5,19,45,1.1,-3.4,1.3,46.2
2005,1,5,5,20,15,1.4,-3.4,1.4,46.2
2005,1,5,5,20,45,0.2,-3.4,1.4,46.2
2005,1,5,5,21,15,0.1,-3.5,1.4,46.2
2005,1,5,5,21,45,-0.4,-3.5,1.4,46.2
2005,1,5,5,22,15,1,-3.5,1.4,46.2
2005,1,5,5,22,45,1.3,-3.4,1.4,46.2
2005,1,5,5,23,15,-2,-3.4,1.4,46.2
2005,1,5,5,23,45,-0.1,-3.4,1.4,46.2
2005,1,6,6,0,15,1,-3.4,1.4,46.2
2005,1,6,6,0,45,0.3,-3.5,1.4,46.2
2005,1,6,6,1,15,-1,-3.7,1.4,46.2
2005,1,6,6,1,45,-0.8,-3.8,1.4,46.2
2005,1,6,6,2,45,1.7,-3.9,1.4,46.2
2005,1,6,6,3,15,2.4,-4,1.4,46.2
2005,1,6,6,3,45,-2,-4,1.4,46.2
2005,1,6,6,4,15,2.1,-4,1.4,46.2
2005,1,6,6,6,15,-0.8,-3.9,1.4,46.2
2005,1,6,6,6,45,1.3,-3.7,1.4,46.2
2005,1,6,6,17,15,0.6,-8.6,1.3,46.2
2005,1,6,6,17,45,0,-9.2,1.3,46.2
2005,1,6,6,18,15,0.6,-9.9,1.3,46.2
2005,1,6,6,18,45,-0.1,-9,1.4,46.2
2005,1,6,6,19,15,0.1,-9.3,1.3,46.2
2005,1,6,6,19,45,0.3,-10.2,1.3,46.2
2005,1,6,6,20,15,-0.1,-11.1,1.3,46.2
2005,1,6,6,20,45,0.1,-11.8,1.3,46.2
2005,1,6,6,21,15,-0.2,-12.3,1.3,46.2
2005,1,6,6,21,45,0,-12.5,1.3,46.2
2005,1,6,6,22,15,0.1,-12,1.3,46.2
2005,1,6,6,22,45,0.7,-12,1.3,46.2
2005,1,6,6,23,15,-0.1,-12.6,1.3,46.2
2005,1,6,6,23,45,1,-13,1.3,46.2
2005,1,7,7,3,15,-4.4,-12.2,1.3,46
2005,1,7,7,3,45,4,-11.5,1.3,46
2005,1,7,7,5,45,-0.3,-10,1.4,45.9
2005,1,7,7,6,15,-5,-9.2,1.4,45.8
2005,1,7,7,6,45,-14.6,-9,1.4,45.8
2005,1,7,7,17,15,-0.1,-3.6,1.4,45.8
2005,1,7,7,17,45,0.1,-3.5,1.4,45.8
2005,1,7,7,18,15,0.1,-3.5,1.4,45.8
2005,1,7,7,18,45,-0.1,-3.4,1.4,45.8
2005,1,8,8,4,15,1,-4.2,1.4,45.5
2005,1,8,8,4,45,0.5,-3.9,1.4,45.5
2005,1,8,8,5,15,-0.2,-4.1,1.4,45.5
2005,1,8,8,5,45,0.5,-4.2,1.4,45.5
2005,1,8,8,6,15,0.4,-4.3,1.4,45.5
2005,1,8,8,6,45,0.2,-4.4,1.4,45.4
2005,1,8,8,18,45,1.2,-4.4,1.4,45.3
2005,1,8,8,19,15,0.5,-4.2,1.4,45.3
2005,1,8,8,19,45,-0.3,-4.2,1.4,45.3
2005,1,8,8,20,15,0.1,-4,1.4,45.3
2005,1,8,8,20,45,0.5,-3.9,1.4,45.3
2005,1,8,8,21,15,0.9,-3.8,1.4,45.2
2005,1,8,8,21,45,-1.2,-3.7,1.4,45.2
2005,1,8,8,22,15,0.1,-3.8,1.4,45.2
2005,1,8,8,22,45,0.1,-3.8,1.4,45.2
2005,1,8,8,23,15,-0.1,-3.7,1.4,45.2
2005,1,8,8,23,45,-0.2,-3.5,1.4,45.2
2005,1,9,9,0,15,-1,-3.3,1.4,45.1
2005,1,9,9,0,45,-0.4,-3.2,1.4,45.1
2005,1,9,9,1,15,0.3,-3.1,1.4,45.1
2005,1,9,9,1,45,0.1,-3.1,1.4,45.1
2005,1,9,9,2,15,0.2,-3.4,1.4,45.1
2005,1,9,9,2,45,0,-3.4,1.4,45.1
