site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MAT,SST,IAT,DRT,EVI,NDVI,LAI,GPP,SOC,nyear,TRS,TRS_p,SWC_use
US-Uaf,64.8663,-147.8555,155,ENF,Dwc,263,-43.44210835,-203.1938797,159.7517714,-3.158701326,15.18247267,0.813147273,11.98598139,0.179164665,0.394520554,0.712008287,0.56765336,92,9,-0.035127135,0.510365237,YES
CA-Ca3,49.5346,-124.9004,171,ENF,Cfb,1676,-401.9615861,-911.5711569,509.6095708,12.11220326,6.648384293,0.790508783,7.023772043,0.476286339,0.839664297,3.910329136,1.358377202,134.0891517,13,-0.243719511,0.035192316,NO
CA-Cbo,44.3167,-79.9333,120,DBF,Dfb,876.34,-317.773761,-829.9273287,512.1535677,7.399306436,9.96851082,0.711017084,9.215556747,0.306903643,0.518906739,2.195338242,1.270836305,67.82142639,13,-0.069839854,0.000533816,YES
US-Ha1,42.5378,-72.1715,340,DBF,Dfb,1071,-249.878731,-730.1211945,480.2424635,8.333618946,9.826442988,0.824807467,8.063295217,0.407885428,0.696744261,2.523674626,1.316334653,76,17,-0.133216892,0.067933564,NO
US-Ha2,42.5393,-72.1779,360,ENF,Dfb,1071,-451.4456613,-789.6537293,338.208068,8.380819942,9.992757385,0.454056189,8.221450739,0.407885428,0.696744261,2.580073167,1.319673153,114.5196877,14,-0.035192583,0.450574642,NO
US-Var,38.4133,-120.9508,129,GRA,Csa,559,-2.382595006,-272.8074046,270.4248096,16.06884679,6.689476718,0.635297252,14.50298739,0.275641348,0.479888525,1.064990867,0.945197162,42,19,-0.003581033,0.92476708,YES
US-Ton,38.4309,-120.966,177,WSA,Csa,559,-87.78523895,-518.0675461,430.2823071,16.5034199,6.711133234,0.635855937,11.68929128,0.244297268,0.462846084,1.022669113,0.965097332,36,16,0.014446721,0.71680776,YES
US-Los,46.0827,-89.9792,480,WET,Dfb,828,-97.09165032,-364.569071,267.4774207,5.136668083,11.57599535,0.866939282,11.27276168,0.289120765,0.503046447,1.670840976,1.235168488,128.0277475,14,-0.005963527,0.889861894,NO
US-Wkg,31.7365,-109.9419,1531,GRA,Bsk,407,-34.94999402,-113.5659558,78.61596176,17.46696084,7.024189303,0.548858371,10.31235518,0.130761566,0.216930055,0.295155393,0.308057877,65.55297065,17,0.038144086,0.54352076,YES
US-SRM,31.8214,-110.8661,1120,WSA,Bsk,380,-2.048663385,-128.0577189,126.0090555,19.1929747,7.268810499,0.527757959,12.23006917,0.15647541,0.262902186,0.387477148,0.359231676,69.17284495,17,-0.109916588,0.001184557,YES
US-CMW,31.6637,-110.1777,1199,DBF,Bsh,288,-369.0413717,-671.4651119,302.4237402,17.00916756,7.454600939,0.417830572,18.14666131,0.165610018,0.310798907,0.530073127,0.45274127,12,17,-0.057165056,0.025062844,YES
US-Ho1,45.2041,-68.7402,60,ENF,Dfb,1070,-301.4686432,-771.2518037,469.7831605,6.378704367,10.5055833,0.559052322,11.92953566,0.388709654,0.73863989,2.628793461,1.28289551,78.46355864,18,-0.134127451,0.359294787,NO
US-Ho2,45.2091,-68.747,61,ENF,Dfb,1064,-310.7730113,-806.8876368,496.1146255,7.302299432,10.31562874,1.166349421,11.96921374,0.391009107,0.730902367,2.734186514,1.265205969,79.26513582,18,-0.08900439,0.200579682,NO
US-GLE,41.3665,-106.2399,3197,ENF,Dfc,1200,-42.16740981,-303.7482654,261.5808555,0.332191423,9.374343379,0.758923001,6.965512273,0.193030601,0.393832605,0.447440588,0.425221199,34,13,-0.064922887,0.083742791,NO
US-Me2,44.4526,-121.5589,1253,ENF,Csb,523,-352.5980349,-794.3348432,441.7368083,7.987600512,7.889475541,0.60097062,7.803709045,0.303453005,0.599737887,1.735374796,1.189038531,61.18021908,10,-0.152337722,0.091740161,NO
US-NR1,40.0329,-105.5464,3050,ENF,Dfc,800,-196.5633546,-442.4785174,245.9151628,2.345043828,8.8085458,0.510132141,7.424043558,0.262152095,0.511645173,1.289853762,0.90748113,41,19,-0.122800969,0.00240179,YES
US-WCr,45.8059,-90.0799,520,DBF,Dfb,787,-264.6097699,-594.7452109,330.135441,5.290872409,11.56472237,0.944811536,8.538840913,0.324777007,0.510299999,2.007769682,1.173234792,139.6122077,14,-0.071915697,0.21686045,YES
US-UMB,45.5598,-84.7138,234,DBF,Dfb,803,-205.2807624,-642.3135711,437.0328087,7.161236439,10.61522024,1.072063384,7.403141505,0.325870384,0.505593966,2.09945159,1.698150834,81.89252768,11,-0.019674119,0.358170864,YES
US-MMS,39.3232,-86.4131,275,DBF,Cfa,1032,-357.6526654,-761.0851419,403.4324765,12.46218875,10.09743104,0.709031044,7.952342885,0.40109581,0.656686701,2.604296201,1.574815798,35,23,-0.06693713,0.024480761,YES
US-PFa,45.9459,-90.2723,470,MF,Dfb,823,7.975747813,-304.5182918,312.4940397,5.432131327,11.70020063,1.220741534,8.595218812,0.324410383,0.566614754,1.798080465,1.207535629,139.6122077,13,-0.018890604,0.587631274,NO
US-Syv,46.242,-89.3477,540,MF,Dfb,826,-150.4379914,-563.1934906,412.7554992,4.556907988,11.58489278,1.035114274,8.032082431,0.269279599,0.511117668,1.79716639,1.188754308,142.5774866,10,-0.104061905,0.086831725,YES
US-Whs,31.7438,-110.0522,1370,OSH,Bsk,320,15.04390492,-31.53611515,46.58002008,17.12019327,7.40634181,0.482012043,15.08684879,0.116662295,0.196230055,0.254113346,0.260624101,7,15,-0.137406379,0.108621157,YES
US-ICt,68.6063,-149.3041,930,OSH,ET,318,-2.683328755,-59.82856871,57.14523995,-5.477109569,11.79047789,0.888020401,6.775430009,0.312571204,0.530333508,0.446757683,0.291911265,128,11,-0.330949294,0.021148836,NO
US-ICh,68.6068,-149.2958,940,OSH,ET,318,14.82423916,-43.06028159,57.88452075,-6.61624533,12.63194625,1.234770613,7.410667804,0.302821244,0.518109845,0.422070537,0.283587571,128,11,-0.157539707,0.008732491,NO
US-ICs,68.6058,-149.311,920,WET,ET,318,81.02792002,-22.66316454,103.6910846,-6.541218561,12.79600992,1.117733952,8.30155097,0.312571204,0.530333508,0.456655293,0.296282896,128,10,-0.077095364,0.338963739,NO
