"site_ID","growing_year","window","nobsv","extend_days","alpha","beta","C0","Hs","k2","TS","ERref","lnRatio"
"US-IB2",2005,"124_138",103,0,0.092502255015,-0.0019110411633105,1.466563272,NA,NA,16.2009771869229,3.63431317465483,-0.0150400906620015
"US-IB2",2006,"124_138",116,3,0.12326614805,-0.0022278498578,1.1111073015,NA,NA,14.6739934722575,4.17614719123108,0.12392886093225
"US-IB2",2007,"124_138",164,0,0.0213016623614549,-0.00077383357667625,2.658435739875,NA,NA,17.9211148134407,3.0079184260406,-0.20421194925183
"US-IB2",2008,"124_138",125,0,0.12961190155,-0.00306299087746,1.0330915665,NA,NA,15.2365946667939,3.50806557992272,-0.0503954672432977
"US-IB2",2009,"124_138",128,3,0.14192829505,-0.00167745751583,0.5400669475,NA,NA,15.8119789255024,3.17815762633748,-0.14915856985958
"US-IB2",2010,"124_138",140,0,0.100277466755,-0.002498796544505,1.409642583,NA,NA,14.0715236151996,3.47644087387333,-0.059451202928328
"US-IB2",2011,"124_138",146,0,0.093707401,-0.001662458924495,1.246122435,NA,NA,15.4080299156364,3.46941347949421,-0.0614746823793483
"US-IB2",2012,"124_138",113,3,0.11856017829,-0.00309743617165,1.9090508175,NA,NA,16.4876551745994,5.17461153129312,0.338304033947782
"US-IB2",2013,"124_138",106,3,0.0819365967,-0.00084644118082,1.2684961765,NA,NA,16.3660557539088,3.64765273080165,-0.0113763626958717
"US-IB2",2014,"124_138",134,0,0.1002704194,-0.00204673811603,1.334629329,NA,NA,15.3954350427035,3.7379312332575,0.0130720762275782
"US-IB2",2015,"124_138",133,0,0.10384068795,-0.001474383483105,1.2737750235,NA,NA,16.6672453771394,4.38607991115464,0.172975633457984
"US-IB2",2016,"124_138",103,3,0.103465010485,-0.002946452596625,1.6024212435,NA,NA,14.3927381802877,3.68938669148712,0
"US-IB2",2017,"124_138",104,12,0.12478522745,-0.0011888703085715,0.520261737,NA,NA,15.556143390913,2.59819534207309,-0.350643131142835
"US-IB2",2018,"124_138",117,3,0.1407425977,-0.001988112302415,1.047616674,NA,NA,17.0302314272784,5.54908006380829,0.408171923781572
"US-IB2",2005,"138_152",101,3,0.13309325115,-0.00128899673248,0.7189130415,NA,NA,17.4085306682495,4.98183512552581,-0.165928158580467
"US-IB2",2006,"138_152",114,6,0.1435922093,-0.001943778663115,0.8044652075,NA,NA,18.7187598956607,5.42115680682064,-0.0814172551687659
"US-IB2",2007,"138_152",129,3,0.0718585494744,-0.00231813622047,2.442599824,NA,NA,19.5107522706595,3.86759503026704,-0.41909360617865
"US-IB2",2008,"138_152",104,0,0.099807009925,-0.002380893338875,1.9059619935,NA,NA,15.8482161941124,4.97159141454476,-0.167986487851589
"US-IB2",2009,"138_152",118,0,0.1029865941795,-0.0035128720013,2.439520253,NA,NA,17.2873843005421,4.45403479613989,-0.277916099699863
"US-IB2",2010,"138_152",110,3,0.1427330496,-0.00246161949815,1.029703965,NA,NA,19.9138230547427,5.72691261374983,-0.0265499061874702
"US-IB2",2011,"138_152",134,0,0.0758446826,-0.001124723870895,1.7942414685,NA,NA,17.3105806132819,4.74311004727126,-0.215033432174137
"US-IB2",2012,"138_152",118,0,0.12800257028,-0.00326133751455,1.644759121,NA,NA,19.0749501510516,5.28992575258495,-0.105922270495942
"US-IB2",2013,"138_152",117,0,0.05997123069875,-0.000935069246078875,2.625123344125,NA,NA,18.0622652128678,5.53949004518861,-0.059824033922055
"US-IB2",2014,"138_152",121,3,0.15090946875,-0.00334590237525,1.275073726,NA,NA,18.9912259597565,6.19733377140519,0.052392681849065
"US-IB2",2015,"138_152",136,0,0.0594502854875,-0.00065717663249405,2.292986617,NA,NA,16.5639492969701,5.35573150284108,-0.0935591844312104
"US-IB2",2016,"138_152",123,6,0.1337932241,-0.001783435933205,1.000471613,NA,NA,18.4406759745732,5.88099803199224,0
"US-IB2",2017,"138_152",105,12,0.1500594246,-0.0023221774783,0.646236985,NA,NA,16.1820256321334,4.29002815940016,-0.315433183958353
"US-IB2",2018,"138_152",137,3,0.10561074295,-0.00178152430664335,1.9201557215,NA,NA,19.8619937934648,6.72560973040707,0.134196106770025
"US-IB2",2005,"152_166",118,0,0.0922784425,-0.001206192718672,1.383356027,NA,NA,21.7967112529173,4.69144612224258,-0.571692858733011
"US-IB2",2006,"152_166",106,3,0.07171992818,-0.001608671284225,3.8108688875,NA,NA,18.5377199235744,7.66102665288386,-0.0812877327300314
"US-IB2",2007,"152_166",162,9,0.062170585926325,-0.00132576645017975,2.947468874,NA,NA,20.369845277493,5.39888779389638,-0.431240767029787
"US-IB2",2008,"152_166",127,0,0.08232341195,-0.00107128760766,2.041803507,NA,NA,21.2125447363807,6.17220838781099,-0.297377037945088
"US-IB2",2009,"152_166",111,3,0.071616521045,-0.0011326984217715,2.42716348,NA,NA,16.719165249014,5.99709888006255,-0.32615790298824
"US-IB2",2010,"152_166",117,6,0.104281267415,-0.002294949955435,2.276885307,NA,NA,19.2062449055827,6.4724615181524,-0.249877248105377
"US-IB2",2011,"152_166",132,0,0.10370532935,-0.0018492610388,1.7297378185,NA,NA,19.4363958210477,5.86626107709919,-0.348216258892511
"US-IB2",2012,"152_166",183,6,0.12400314257,-0.003424751479,2.011780075,NA,NA,18.3023135935042,5.7154683089219,-0.374257497585318
"US-IB2",2013,"152_166",134,3,0.0545147255084375,-0.001354348446563,3.853913547875,NA,NA,17.5483428188646,6.26075210382135,-0.283133413017579
"US-IB2",2014,"152_166",165,3,0.03746554834203,-0.001002244029578,4.4778507885,NA,NA,18.7926981425187,6.10410260885318,-0.308472631351913
"US-IB2",2015,"152_166",155,3,0.10588857515,-0.00227714073215,1.942289006,NA,NA,18.9479350047004,6.00998959460888,-0.324010718093895
"US-IB2",2016,"152_166",105,3,0.10242373746,-0.00211221779847,2.8999797495,NA,NA,19.3119874718613,8.30978499338056,0
"US-IB2",2017,"152_166",124,3,0.10148084331105,-0.00248765573415,2.673812928,NA,NA,20.6349021828021,6.5344618442622,-0.240343741376579
"US-IB2",2018,"152_166",116,0,0.066661479633,-0.001844682442345,3.7684690355,NA,NA,19.0931628809762,6.26490883029554,-0.282469699278458
"US-IB2",2005,"166_180",128,6,0.0751254150293625,-0.0017976076750325,2.242065965375,NA,NA,21.8802542230192,4.234579108359,-0.722613470697344
"US-IB2",2006,"166_180",110,3,0.0912248112,-0.00316797636365,5.82105373,NA,NA,20.4198832369759,9.17068286861385,0.050114341406764
"US-IB2",2007,"166_180",113,3,0.1015384023605,-0.00207969187377,1.92181339,NA,NA,21.1671488274642,5.71776086429598,-0.422320138306361
