"site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"CA-Cbo",4.59837293761287,0.123131374934146,2019,14,9,0.0113753844782446,0.528332815582665
NA,NA,NA,NA,NA,NA,NA,NA
"US-Ha2",2.07207100851248,0.455252086880596,2011,14,14,0.0212422499099732,0.332875257319712
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"US-CMW",1.14918714633355,0.634772170571685,2007,14,12,-0.0967957714896341,1.45287592191649e-12
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"US-GLE",1.24999161679163,0.463461230429761,2015,14,10,-0.0473464334581167,0.048474002185875
"US-Me2",1.12778752616162,0.814286419776226,2019,14,18,0.0137803385804864,0.34369282569028
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"US-Syv",3.80089524124481,0.287904778431674,2015,14,7,0.00564584336843754,0.868245645001708
NA,NA,NA,NA,NA,NA,NA,NA
"US-ICt",2.13417653401689,0.0991697601877727,2015,14,4,-0.0894251757276558,0.514283646306423
