"site_ID","growing_year","window","nobsv","extend_days","alpha","beta","C0","Hs","k2","TS","ERref","lnRatio"
"US-Uaf",2009,"117_131",105,36,0.1832535885,-0.0045733515715,0.5499669195,NA,NA,7.66084197222222,1.27410254734748,-0.30660322030952
"US-Uaf",2010,"117_131",104,27,0.17693388945,-0.00793342052,1.208151796,NA,NA,6.85543054027778,2.46388455048355,0.352893923418414
"US-Uaf",2011,"117_131",129,15,0.1683010914,-0.0062422552087,0.564311987,NA,NA,3.92897079305556,1.15172238313422,-0.407586720274563
"US-Uaf",2013,"117_131",101,18,0.1629372329,-0.0078764696355,1.148372328,NA,NA,-0.820004595388888,2.17899734471859,0.230019570740157
"US-Uaf",2014,"117_131",100,18,NA,NA,NA,NA,NA,NA,NA,NA
"US-Uaf",2015,"117_131",100,15,NA,NA,NA,NA,NA,NA,NA,NA
"US-Uaf",2016,"117_131",103,9,0.0582742570005,-0.00156139057145,1.697721491,NA,NA,7.35327492085972,2.18772051349995,0.234014873696833
"US-Uaf",2017,"117_131",129,9,0.12031204125,-0.00381181137866,0.7043285195,NA,NA,6.38485081180278,1.19456348701817,-0.371064430822138
"US-Uaf",2018,"117_131",123,15,0.16130024545,-0.006586559212,0.59929441,NA,NA,4.31586867866528,1.16904262709014,-0.392660120241807
"US-Uaf",2020,"117_131",108,9,0.1061491165,-0.0022217564652845,0.8692582495,NA,NA,5.59720487444444,1.43035822772075,-0.190920344848273
"US-Uaf",2021,"117_131",102,33,0.1169112049,-0.0055962003664,1.3976657055,NA,NA,6.02645370898333,2.20779261084324,0.243147931111362
"US-Uaf",2024,"117_131",123,15,0.09850017901,-0.0074792531988,1.5068681555,NA,NA,5.0954567519625,2.05434298730016,0.17111081597594
"US-Uaf",2009,"131_145",114,51,0.1849973045,-0.004357307825,0.5523883595,NA,NA,10.7532830138889,2.23968228367609,-0.355491005040742
"US-Uaf",2010,"131_145",106,39,0.1787194292,-0.008145844775,1.2445573985,NA,NA,12.5065146097222,3.27496601931853,0.0244824700496052
"US-Uaf",2011,"131_145",100,24,NA,NA,NA,NA,NA,NA,NA,NA
